event,	id,	pt,	eta,	phi,	momentum,	mass
0,	-11,	19.4321,	-0.994252,	0.529934,	29.8546,	0.000511
0,	211,	45.1625,	-0.864399,	0.842701,	63.1119,	0.13957
0,	11,	46.7229,	-1.14232,	-2.44378,	80.6698,	0.000511
0,	-211,	12.4909,	-0.734067,	-2.39746,	16.0102,	0.13957
1,	-11,	7.26695,	-1.40535,	-0.134406,	15.7047,	0.000511
1,	211,	23.9602,	-0.70781,	-0.395031,	30.217,	0.13957
1,	11,	22.6986,	1.35876,	3.06356,	47.0806,	0.000511
1,	-211,	13.7893,	1.7726,	-2.83566,	41.7545,	0.13957
2,	-11,	10.2171,	-0.924075,	0.152494,	14.8987,	0.000511
2,	211,	42.2876,	-0.61307,	0.520474,	50.4866,	0.13957
2,	11,	65.4833,	-0.0799163,	-2.67929,	65.6926,	0.000511
2,	-211,	2.28208,	-0.189825,	2.77185,	2.32332,	0.13957
3,	-11,	84.9863,	0.634468,	0.693044,	102.673,	0.000511
3,	211,	50.6889,	0.705097,	0.828094,	63.82,	0.13957
3,	11,	8.79082,	1.82959,	2.82748,	28.0945,	0.000511
3,	-211,	17.1528,	2.1798,	2.07567,	76.8243,	0.13957
4,	-11,	4.50802,	-4.27819,	-0.439657,	162.567,	0.000511
4,	211,	9.95339,	-4.33955,	1.24351,	381.642,	0.13957
4,	11,	17.8131,	-0.605118,	2.76155,	21.1751,	0.000511
4,	-211,	1.20209,	1.25947,	2.5318,	2.28838,	0.13957
5,	-11,	24.6732,	-2.73318,	0.441184,	190.56,	0.000511
5,	211,	17.6949,	-3.20384,	0.498843,	218.244,	0.13957
5,	11,	34.8539,	-0.857876,	-2.88468,	48.4855,	0.000511
5,	-211,	1.60086,	-1.93896,	2.6744,	5.67932,	0.13957
6,	-11,	17.1072,	1.10055,	2.80442,	28.5563,	0.000511
6,	211,	44.7308,	1.40873,	2.99157,	96.9585,	0.13957
6,	11,	27.1335,	-0.225596,	-1.11329,	27.8269,	0.000511
6,	-211,	18.0284,	0.220626,	-1.15674,	18.4689,	0.13957
7,	-11,	46.8099,	1.64162,	-0.382565,	125.385,	0.000511
7,	211,	42.071,	1.85838,	-0.442487,	138.188,	0.13957
7,	11,	5.47851,	0.753525,	1.94673,	7.10885,	0.000511
7,	-211,	31.7363,	0.942523,	2.69862,	46.9077,	0.13957
8,	-11,	5.87383,	2.77299,	-2.44532,	47.1929,	0.000511
8,	211,	38.2374,	2.95632,	-1.79235,	368.59,	0.13957
8,	11,	13.1998,	0.718601,	2.51255,	16.7571,	0.000511
8,	-211,	12.6968,	0.181265,	1.95711,	12.906,	0.13957
9,	-11,	25.2386,	2.83228,	-2.68214,	215.071,	0.000511
9,	211,	9.3663,	2.20211,	-2.79219,	42.8727,	0.13957
9,	11,	20.1479,	0.501497,	1.75957,	22.735,	0.000511
9,	-211,	23.7616,	0.309624,	2.17717,	24.9097,	0.13957
10,	-11,	176.364,	-1.39169,	0.039647,	376.563,	0.000511
10,	211,	32.6331,	-1.43587,	-0.0845385,	72.4652,	0.13957
10,	11,	108.448,	-1.47135,	-0.551625,	248.602,	0.000511
10,	-211,	99.5651,	-1.56031,	-0.588204,	247.438,	0.13957
11,	-11,	21.829,	-0.453071,	3.05408,	24.108,	0.000511
11,	211,	27.6883,	-0.847496,	2.96573,	38.2415,	0.13957
11,	11,	66.9825,	-0.762381,	-0.043043,	87.4097,	0.000511
11,	-211,	9.67444,	-1.15062,	-0.00434815,	16.817,	0.13957
12,	-11,	4.44801,	-0.477906,	0.100541,	4.9657,	0.000511
12,	211,	34.7049,	0.175632,	-0.356332,	35.2415,	0.13957
12,	11,	9.90364,	-2.67785,	2.63917,	72.408,	0.000511
12,	-211,	13.9227,	-2.48878,	-2.78798,	84.4381,	0.13957
13,	-11,	10.9768,	-3.11729,	2.76013,	124.199,	0.000511
13,	211,	58.1042,	-3.23453,	2.37969,	738.904,	0.13957
13,	11,	3.30529,	-1.3548,	-1.08955,	6.83203,	0.000511
13,	-211,	40.2095,	-2.18397,	-1.24606,	180.824,	0.13957
14,	-11,	41.0724,	0.638772,	1.49573,	49.7406,	0.000511
14,	211,	11.7465,	0.792127,	1.92749,	15.6286,	0.13957
14,	11,	2.84558,	0.119024,	-1.67563,	2.86576,	0.000511
14,	-211,	71.2631,	0.797067,	-1.79983,	95.1246,	0.13957
15,	-11,	25.2223,	-0.105068,	0.701592,	25.3617,	0.000511
15,	211,	15.7041,	0.389619,	0.752547,	16.9112,	0.13957
15,	11,	54.7793,	0.823708,	-2.88183,	74.4379,	0.000511
15,	-211,	33.2581,	0.676326,	-3.06401,	41.1589,	0.13957
16,	-11,	18.7064,	-1.17685,	1.69086,	33.2264,	0.000511
16,	211,	11.9306,	-0.802154,	1.13061,	15.9793,	0.13957
16,	11,	27.1497,	0.374118,	2.05024,	29.072,	0.000511
16,	-211,	184.267,	0.237547,	2.08635,	189.491,	0.13957
17,	-11,	42.7109,	-2.68841,	1.79024,	315.554,	0.000511
17,	211,	5.75469,	-3.30179,	1.92553,	78.2585,	0.13957
17,	11,	10.863,	-0.707259,	-1.61036,	13.695,	0.000511
17,	-211,	18.5163,	-0.546387,	-0.909778,	21.3496,	0.13957
18,	-11,	36.4601,	2.12107,	-1.37245,	154.225,	0.000511
18,	211,	49.7212,	1.8911,	-1.41742,	168.494,	0.13957
18,	11,	8.46618,	0.498786,	1.09052,	9.54133,	0.000511
18,	-211,	23.9436,	0.925576,	1.65312,	34.9532,	0.13957
19,	-11,	18.7518,	-2.22166,	-0.522706,	87.4873,	0.000511
19,	211,	22.3215,	-2.51936,	-0.133533,	139.522,	0.13957
19,	11,	26.8362,	0.0404267,	3.01852,	26.8581,	0.000511
19,	-211,	2.09434,	-0.594666,	1.77449,	2.4757,	0.13957
20,	-11,	45.5545,	0.862582,	-2.04667,	63.5791,	0.000511
20,	211,	8.93219,	1.34492,	-2.13806,	18.3041,	0.13957
20,	11,	47.9687,	-0.14298,	0.871157,	48.4598,	0.000511
20,	-211,	5.31206,	-0.346596,	0.270467,	5.63433,	0.13957
21,	-11,	5.08714,	-1.11192,	0.855959,	8.56957,	0.000511
21,	211,	45.9981,	-1.75354,	0.8203,	136.802,	0.13957
21,	11,	21.7194,	-2.60971,	-1.7361,	148.437,	0.000511
21,	-211,	41.1952,	-2.59743,	-2.07171,	278.143,	0.13957
22,	-11,	39.3902,	1.03805,	-2.89147,	62.588,	0.000511
22,	211,	13.3695,	1.43895,	-2.72732,	29.7702,	0.13957
22,	11,	7.36468,	0.808056,	1.01837,	9.9028,	0.000511
22,	-211,	62.8254,	0.61002,	0.594818,	74.8818,	0.13957
23,	-11,	18.2895,	2.21029,	3.07174,	84.3882,	0.000511
23,	211,	39.5606,	1.84206,	3.03963,	127.939,	0.13957
23,	11,	32.7315,	1.49264,	0.613741,	76.4871,	0.000511
23,	-211,	33.3234,	1.25065,	0.432391,	62.9635,	0.13957
24,	-11,	36.2243,	0.956103,	-2.01134,	54.0815,	0.000511
