mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction,exclusion_reason
0.22,1199988,13566,True,139869.7798445312,2.736991293594482e-06,8.94552128238733e-08,1.8271013485554753e-05,False,False,64721.120455775796,1911.8076268801374,0.0036014030420512193,76960.25495992346,2315.1464231471314,0.0013347776387232836,442.800079450295,170.55222824133324,0.03278272914662277,
0.24,1199988,13661,True,84150.675639965,2.17377224535631e-06,7.645140930364122e-08,1.4237857050169701e-05,False,False,65367.15438461043,1848.7771867509414,0.0027352899952162693,77500.83177271538,2066.296007874513,0.0015972971340461452,1607.5211924722748,203.10206736530253,0.02131757505806922,
0.26,1199988,13456,True,59567.767778387766,1.8337670514125026e-06,7.034252941098886e-08,1.1914049463985098e-05,False,False,69012.85546313168,1988.85529390667,0.0024256017670146383,79357.79136107198,2093.366660047519,0.001580550829891809,3039.159387884308,256.0553836220016,0.015808153903321884,
0.28,1199988,13680,True,44072.85980110629,1.5861506523034926e-06,6.446050670536e-08,1.060615105782131e-05,False,False,67689.78513693895,1932.9327536393441,0.0023542816636800833,77565.20170688599,2122.0481197941135,0.001771368829326352,3995.931400387418,252.80244724598043,0.021101594966412795,
0.3,1199988,13463,True,35674.19072364643,1.4619177146854765e-06,6.150563594774319e-08,9.418905775805243e-06,False,False,62549.949062941174,1829.833138677978,0.0026824024296266706,76539.89077338598,2103.0437063823456,0.0018004843609596135,4692.709473158509,245.84071883628366,0.018303931007105513,
0.32,1199988,13586,True,28952.698472950484,1.3132429878790721e-06,5.9018217876018e-08,8.562694532495679e-06,False,False,65489.5642975336,1894.283413756811,0.0023835336141810027,76998.73380058474,2174.9936437015594,0.0014849018555980627,4886.340572482008,233.87022557940134,0.014489965209204276,
0.34,1199988,13557,True,24545.720282574075,1.1829188275978758e-06,5.651269632129459e-08,7.880755696139558e-06,False,False,68072.75076456342,1941.2851514264544,0.0021864613303872703,77455.11497774131,2190.443757827863,0.001526642637289875,5673.381444476274,239.0547054821089,0.015419966711855224,
0.36,1199988,13571,True,21910.55261381254,1.130560009153704e-06,5.475723282516873e-08,7.286983857764135e-06,False,False,65836.07954092225,1925.637139014752,0.0021865783005417024,75395.16566395832,2133.666649446204,0.0015668513451992936,6082.244792466156,237.73637528619142,0.01704767780631733,
0.38,1199988,13686,True,19311.5548614701,1.0197542942523554e-06,5.2624148077730575e-08,6.747584135766786e-06,False,False,73367.90691018119,2111.805541578853,0.00217184513831663,79322.65540607099,2245.92270979344,0.0017141575201697465,6520.0947579286185,237.41029961277317,0.01788056194263796,
0.4,1199988,13448,True,16813.740329548582,9.466645058119848e-07,5.066537969418819e-08,6.323183381037602e-06,False,False,67552.54114643026,1976.4151272871964,0.0026344988341983106,79894.16913370157,2241.177759472022,0.0015820476485837278,7738.951593232182,269.0105967218359,0.011991973713771248,
