variation,axis,mass_GeV,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,central_has_sensitivity,central_peak_N,central_peak_invf,central_invf_min,central_invf_max,central_invf_min_open,central_invf_max_open,restores_sensitivity,removes_sensitivity,topology_differs,comparison_role,included_in_pointwise_halo
decay_2310_structural,decay_structure,0.22,True,149698.57820713572,2.7998547741645367e-06,8.902677876512639e-08,1.6847067949432725e-05,False,False,True,148956.58407967046,2.8720631177978283e-06,8.883304987039888e-08,1.6926762761933988e-05,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.24,True,83127.04367561334,2.1638470071655978e-06,7.716586827244827e-08,1.2482073495276014e-05,False,False,True,82810.07983018474,2.1106426791015547e-06,7.706030289350357e-08,1.2540978311394952e-05,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.26,True,58564.20231227558,1.8676859388423056e-06,6.954935670602826e-08,1.1996608628354985e-05,False,False,True,58559.92637015559,1.865962923181746e-06,6.944992387237935e-08,1.2063724549436903e-05,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.28,True,43546.053601800384,1.6173902681576657e-06,6.543338211644707e-08,1.0681986513230169e-05,False,False,True,43516.716621026775,1.6496480740980203e-06,6.536731357455812e-08,1.086885237372415e-05,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.3,True,36311.82559675362,1.4323808024991424e-06,6.157546291008992e-08,8.714738080275276e-06,False,False,True,36337.82230846207,1.4584098829439864e-06,6.149839393893997e-08,8.870813531167872e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.32,True,28914.59748354884,1.301179230606392e-06,5.9517366958826374e-08,8.049188992163614e-06,False,False,True,28953.269874780657,1.2893412965257158e-06,5.9513791273025826e-08,8.067246794281537e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.34,True,25797.87899805161,1.191526628400333e-06,5.650733093071736e-08,7.376478627495165e-06,False,False,True,25634.46660708103,1.212305401337653e-06,5.64415284637789e-08,7.399442812810515e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.36,True,21566.214688040964,1.1020204046122908e-06,5.4557822472806625e-08,7.140364273507595e-06,False,False,True,21688.869183398467,1.0717668854455034e-06,5.4488642247719164e-08,7.193073528516637e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.38,True,18540.646692157527,1.0239266991348136e-06,5.3344163888851586e-08,6.247436626728693e-06,False,False,True,18514.66647759203,1.0077306820944618e-06,5.3249594574360243e-08,6.260503940327993e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.4,True,17016.330153208786,9.621476754780066e-07,5.1128238148702824e-08,6.086375046311149e-06,False,False,True,17011.47232936616,9.475205302806548e-07,5.1040948535895594e-08,6.14455969731428e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.42,True,15235.3833680043,9.01875287076057e-07,4.982656844264844e-08,5.5598659095607475e-06,False,False,True,15172.067159715678,8.909078300934143e-07,4.978276656285614e-08,5.578549270715323e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.44,True,13275.903325075142,8.440132178245022e-07,4.881020732625886e-08,4.913800013819398e-06,False,False,True,13293.781975200784,8.376776400682924e-07,4.873152065664561e-08,4.949962373726277e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.46,True,12801.116923583051,8.093573616977459e-07,4.6946685374763585e-08,4.969082442786292e-06,False,False,True,12803.144941137143,7.876278611187062e-07,4.686225631306189e-08,4.963831339280115e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.48,True,11557.081471089125,7.621272241621808e-07,4.5566008402077734e-08,4.642818737326299e-06,False,False,True,11510.152278623862,7.405684692262443e-07,4.550112678447669e-08,4.668890363418988e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.5,True,10129.903365243028,7.10693471906196e-07,4.5000572910248786e-08,4.523554362646511e-06,False,False,True,10067.041093141,6.96320793976389e-07,4.4982339314691346e-08,4.568121923609563e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.52,True,9878.596816030977,7.044845486856297e-07,4.40718791858377e-08,4.1828826338301255e-06,False,False,True,9821.614035650146,6.96320793976389e-07,4.4014822535907783e-08,4.203128749260914e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.54,False,,,,,False,False,False,,,,,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.56,True,8339.65264567362,6.481607174836529e-07,4.243515185764423e-08,4.030831561727465e-06,False,False,True,8378.730401897354,6.547168402004742e-07,4.241651605666835e-08,4.076004112450461e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.58,True,7931.460453843053,6.379812926739042e-07,4.22422376159898e-08,3.562730080681068e-06,False,False,True,7899.8595529086015,6.155986501483502e-07,4.2089299969244065e-08,3.589952006261446e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.6,True,7328.107347145481,6.034166880892998e-07,4.123980848453494e-08,3.5315492196217767e-06,False,False,True,7324.107114776007,6.155986501483502e-07,4.1162413586930667e-08,3.5486231639089782e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.62,True,6912.787925367517,5.75515218353237e-07,4.0439331770783066e-08,3.5358842959643557e-06,False,False,True,6928.144832300627,5.788177037701268e-07,4.039700954655016e-08,3.55866478228687e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.64,True,6592.647398951252,5.678397585803129e-07,3.9919159397433433e-08,3.3635105989113776e-06,False,False,True,6602.779591252978,5.788177037701268e-07,3.990000731179315e-08,3.3870071770086177e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.66,True,6092.526250156551,5.498831337157257e-07,3.917973247850548e-08,3.707773794280469e-06,False,False,True,6080.816048505581,5.44234354830026e-07,3.9089443928077674e-08,3.7067970012924913e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.68,True,5705.838110909564,5.286289572070132e-07,3.8626202585693355e-08,3.0868217188445995e-06,False,False,True,5701.0380639399045,5.44234354830026e-07,3.8595960178707366e-08,3.068794295654707e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.7,True,5326.928970852682,5.191319691776209e-07,3.8337562069245594e-08,3.1455248177047733e-06,False,False,True,5307.595529579525,5.117173007114599e-07,3.8408092609513975e-08,3.155925720477351e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.72,True,5175.670927018109,5.027585697869335e-07,3.8193459241921544e-08,3.048814937042723e-06,False,False,True,5166.7250856736255,5.117173007114599e-07,3.8132548120408774e-08,3.048476836055925e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.74,True,4947.44681416076,4.931945087721344e-07,3.751797306086066e-08,3.2917439606331825e-06,False,False,True,4942.244857707316,4.811430839003254e-07,3.7499654050382996e-08,3.329777772579864e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.76,True,4674.525326025618,4.822050126337375e-07,3.730660364532473e-08,3.1111499425457737e-06,False,False,True,4681.215187600216,4.811430839003254e-07,3.7206990471311115e-08,3.124142955864161e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.78,True,4552.807416267206,4.789429237975794e-07,3.6367722081929496e-08,2.564555463605051e-06,False,False,True,4566.852365410139,4.811430839003254e-07,3.636079758118608e-08,2.578842709107974e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
