variation,axis,mass_GeV,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,central_has_sensitivity,central_peak_N,central_peak_invf,central_invf_min,central_invf_max,central_invf_min_open,central_invf_max_open,restores_sensitivity,removes_sensitivity,topology_differs,comparison_role,included_in_pointwise_halo
decay_2310_structural,decay_structure,0.22,True,139994.84124889868,2.7404220187141357e-06,8.950366354866318e-08,1.8207658967421984e-05,False,False,True,139869.7798445312,2.736991293594482e-06,8.94552128238733e-08,1.8271013485554753e-05,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.24,True,84278.1980853634,2.1768464177683103e-06,7.649806634943148e-08,1.4232624708088638e-05,False,False,True,84150.675639965,2.17377224535631e-06,7.645140930364122e-08,1.42378570501697e-05,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.26,True,59336.91547654744,1.834052218502538e-06,7.035496220573859e-08,1.192944806245014e-05,False,False,True,59567.767778387766,1.8337670514125024e-06,7.034252941098886e-08,1.1914049463985098e-05,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.28,True,44283.039484056666,1.5869417328330503e-06,6.447965807600253e-08,1.0596952374523155e-05,False,False,True,44072.85980110629,1.5861506523034926e-06,6.446050670536e-08,1.060615105782131e-05,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.3,True,35561.971287864,1.4632066381796089e-06,6.15476267621939e-08,9.403264347216754e-06,False,False,True,35674.19072364643,1.4619177146854765e-06,6.15056359477432e-08,9.418905775805245e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.32,True,28943.63801929064,1.3149202585800794e-06,5.911566658008158e-08,8.57000653313227e-06,False,False,True,28952.698472950484,1.313242987879072e-06,5.9018217876018e-08,8.562694532495679e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.34,True,24477.825434865863,1.1821449842051349e-06,5.6554414995168056e-08,7.87725972310859e-06,False,False,True,24545.720282574075,1.1829188275978758e-06,5.651269632129459e-08,7.880755696139558e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.36,True,21920.24848226131,1.131001410782268e-06,5.475311498291011e-08,7.288312915036448e-06,False,False,True,21910.55261381254,1.130560009153704e-06,5.475723282516874e-08,7.286983857764135e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.38,True,19327.509932819863,1.0199077407605584e-06,5.262157571408156e-08,6.743126396180833e-06,False,False,True,19311.5548614701,1.0197542942523554e-06,5.2624148077730575e-08,6.747584135766786e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,0.4,True,16782.050423945508,9.45356167011898e-07,5.065514062610196e-08,6.322321536888837e-06,False,False,True,16813.740329548582,9.466645058119848e-07,5.06653796941882e-08,6.323183381037602e-06,False,False,False,False,False,one_sided_structural_model_comparison,False
