mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction,exclusion_reason
0.22,1199988,13566,True,139994.84124889868,2.7404220187141357e-06,8.950366354866317e-08,1.8207658967421984e-05,False,False,65058.39098624047,1936.3088206938382,0.003128654305645832,76817.31401242358,2312.364875456835,0.0012940070985241988,409.4639609297908,165.60996748943634,0.023064483657116254,
0.24,1199988,13661,True,84278.1980853634,2.1768464177683103e-06,7.649806634943147e-08,1.4232624708088638e-05,False,False,65571.82143005054,1863.1344054798874,0.0028357442353202883,77674.81028558871,2073.6610603405657,0.0016359384636267832,1580.6744240509627,197.32122114509488,0.020819223348653233,
0.26,1199988,13456,True,59336.91547654744,1.834052218502538e-06,7.035496220573858e-08,1.192944806245014e-05,False,False,68675.67759564667,1941.998802625358,0.002751255365047035,79259.12630263982,2103.8078780643978,0.0015877466805538632,3005.3495831635914,246.07632919898512,0.014120844065639293,
0.28,1199988,13680,True,44283.039484056666,1.5869417328330503e-06,6.447965807600252e-08,1.0596952374523157e-05,False,False,67928.60667925102,1937.6300152948602,0.0022635027756559116,77716.86603356217,2111.5977663258186,0.0017066270308930818,3843.108816479922,244.51857397655152,0.023955931063089082,
0.3,1199988,13463,True,35561.971287864,1.4632066381796089e-06,6.154762676219389e-08,9.403264347216754e-06,False,False,62369.815450942384,1832.8624427894852,0.0026660089530267184,76218.60272351178,2093.1322185467175,0.001737726407429862,4743.077834974248,262.6847139677308,0.014873348249885577,
0.32,1199988,13586,True,28943.63801929064,1.3149202585800794e-06,5.911566658008157e-08,8.57000653313227e-06,False,False,65980.15962756083,1917.5055139340209,0.0021367807192366798,76773.84246272985,2158.1381012035135,0.0015249358973439104,4873.559038352445,227.1852139193574,0.016195973961420286,
0.34,1199988,13557,True,24477.825434865863,1.1821449842051349e-06,5.655441499516805e-08,7.87725972310859e-06,False,False,67933.12293704393,1954.1837440923775,0.0023754608839410226,77458.94210115356,2201.542473759325,0.00147803583824047,5518.981594118468,231.18797680437177,0.018812953105567142,
0.36,1199988,13571,True,21920.24848226131,1.131001410782268e-06,5.475311498291011e-08,7.288312915036448e-06,False,False,65080.63340179452,1920.5329735104858,0.002285566021290136,75287.75270914995,2132.2646348157814,0.0014917672602348143,6085.741133901522,240.4695182573568,0.01509301050976632,
0.38,1199988,13686,True,19327.509932819863,1.0199077407605584e-06,5.262157571408155e-08,6.743126396180833e-06,False,False,73122.59975936936,2119.376387089507,0.002085620147860235,79276.62863194852,2243.128053067531,0.0016609455357372465,6476.97655156381,240.0411813013574,0.01856951317502389,
0.4,1199988,13448,True,16782.050423945508,9.45356167011898e-07,5.0655140626101957e-08,6.322321536888837e-06,False,False,67546.93106544146,1976.109094325279,0.002920892172867998,79991.55764320618,2251.8577195002845,0.0013861425436277083,7732.2502246398235,270.52190310811415,0.013114283394370253,
