variation,axis,mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,exclusion_reason,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction
central,central,0.22,599994,6294,True,148956.58407967046,2.8720631177978283e-06,8.883304987039888e-08,1.6926762761933988e-05,False,False,,,,,,,,,,
central,central,0.24,599994,6171,True,82810.07983018474,2.1106426791015547e-06,7.706030289350357e-08,1.2540978311394952e-05,False,False,,,,,,,,,,
central,central,0.26,599994,6201,True,58559.92637015559,1.865962923181746e-06,6.944992387237935e-08,1.2063724549436903e-05,False,False,,,,,,,,,,
central,central,0.28,599994,6125,True,43516.716621026775,1.6496480740980203e-06,6.536731357455812e-08,1.086885237372415e-05,False,False,,,,,,,,,,
central,central,0.3,599994,6265,True,36337.82230846207,1.4584098829439864e-06,6.149839393893997e-08,8.870813531167872e-06,False,False,,,,,,,,,,
central,central,0.32,599994,6125,True,28953.269874780657,1.2893412965257158e-06,5.9513791273025826e-08,8.067246794281537e-06,False,False,,,,,,,,,,
central,central,0.34,599994,6240,True,25634.46660708103,1.212305401337653e-06,5.64415284637789e-08,7.399442812810515e-06,False,False,,,,,,,,,,
central,central,0.36,599994,6153,True,21688.869183398467,1.0717668854455034e-06,5.4488642247719164e-08,7.193073528516637e-06,False,False,,,,,,,,,,
central,central,0.38,599994,6101,True,18514.66647759203,1.0077306820944618e-06,5.3249594574360243e-08,6.260503940327993e-06,False,False,,,,,,,,,,
central,central,0.4,599994,6224,True,17011.47232936616,9.475205302806548e-07,5.1040948535895594e-08,6.14455969731428e-06,False,False,,,,,,,,,,
central,central,0.42,599994,6056,True,15172.067159715678,8.909078300934143e-07,4.978276656285614e-08,5.578549270715323e-06,False,False,,,,,,,,,,
central,central,0.44,599994,6074,True,13293.781975200784,8.376776400682924e-07,4.873152065664561e-08,4.949962373726277e-06,False,False,,,,,,,,,,
central,central,0.46,599994,6347,True,12803.144941137143,7.876278611187062e-07,4.686225631306189e-08,4.963831339280115e-06,False,False,,,,,,,,,,
central,central,0.48,599994,6234,True,11510.152278623862,7.405684692262443e-07,4.550112678447669e-08,4.668890363418988e-06,False,False,,,,,,,,,,
central,central,0.5,599994,6200,True,10067.041093141,6.96320793976389e-07,4.4982339314691346e-08,4.568121923609563e-06,False,False,,,,,,,,,,
central,central,0.52,599994,6148,True,9821.614035650146,6.96320793976389e-07,4.4014822535907783e-08,4.203128749260914e-06,False,False,,,,,,,,,,
central,central,0.54,0,0,False,,,,,False,False,unsupported eta resonance,,,,,,,,,
central,central,0.56,599994,6047,True,8378.730401897354,6.547168402004742e-07,4.241651605666835e-08,4.076004112450461e-06,False,False,,,,,,,,,,
central,central,0.58,599994,5957,True,7899.8595529086015,6.155986501483502e-07,4.2089299969244065e-08,3.589952006261446e-06,False,False,,,,,,,,,,
central,central,0.6,599994,6061,True,7324.107114776007,6.155986501483502e-07,4.1162413586930667e-08,3.5486231639089782e-06,False,False,,,,,,,,,,
central,central,0.62,599994,6094,True,6928.144832300627,5.788177037701268e-07,4.039700954655016e-08,3.55866478228687e-06,False,False,,,,,,,,,,
central,central,0.64,599994,6176,True,6602.779591252978,5.788177037701268e-07,3.990000731179315e-08,3.3870071770086177e-06,False,False,,,,,,,,,,
central,central,0.66,599994,6074,True,6080.816048505581,5.44234354830026e-07,3.9089443928077674e-08,3.7067970012924913e-06,False,False,,,,,,,,,,
central,central,0.68,599994,5936,True,5701.0380639399045,5.44234354830026e-07,3.8595960178707366e-08,3.068794295654707e-06,False,False,,,,,,,,,,
central,central,0.7,599994,5940,True,5307.595529579525,5.117173007114599e-07,3.8408092609513975e-08,3.155925720477351e-06,False,False,,,,,,,,,,
central,central,0.72,599994,5842,True,5166.7250856736255,5.117173007114599e-07,3.8132548120408774e-08,3.048476836055925e-06,False,False,,,,,,,,,,
central,central,0.74,599994,5878,True,4942.244857707316,4.811430839003254e-07,3.7499654050382996e-08,3.329777772579864e-06,False,False,,,,,,,,,,
central,central,0.76,599994,5816,True,4681.215187600216,4.811430839003254e-07,3.7206990471311115e-08,3.124142955864161e-06,False,False,,,,,,,,,,
central,central,0.78,599994,5994,True,4566.852365410139,4.811430839003254e-07,3.636079758118608e-08,2.578842709107974e-06,False,False,,,,,,,,,,
central,central,0.8,599994,5790,True,3854.1758940440673,4.523956232538049e-07,3.643130085981474e-08,2.380933039138681e-06,False,False,,,,,,,,,,
central,central,0.82,599994,6000,True,4049.03526861781,4.523956232538049e-07,3.593140608116874e-08,2.659347400070969e-06,False,False,,,,,,,,,,
central,central,0.84,599994,5824,True,3762.3710514453255,4.2536577327503834e-07,3.5123557909290635e-08,2.3697302793540392e-06,False,False,,,,,,,,,,
central,central,0.86,599994,5932,True,3460.1233474811233,4.2536577327503834e-07,3.4929304237022714e-08,2.224126150454236e-06,False,False,,,,,,,,,,
central,central,0.88,599994,6018,True,3384.894982163096,3.999509097203662e-07,3.4373984145591956e-08,2.370988270182762e-06,False,False,,,,,,,,,,
central,central,0.9,599994,5821,True,3036.8401779562028,3.999509097203662e-07,3.429824919072794e-08,2.3452889165960387e-06,False,False,,,,,,,,,,
central,central,0.92,599994,5800,True,2412.655582226911,3.535859366535176e-07,3.2975135017629266e-08,1.9426146078221738e-06,False,False,,,,,,,,,,
central,central,0.94,599994,5770,True,813.4229003663273,2.2972275360711513e-07,2.7808928443001012e-08,1.073243580399074e-06,False,False,,,,,,,,,,
central,central,0.96,0,0,False,,,,,False,False,unsupported eta-prime resonance,,,,,,,,,
central,central,0.98,599994,5918,True,267.8069201767117,1.4033215376054846e-07,2.262597876769353e-08,6.49250576145046e-07,False,False,,,,,,,,,,
central,central,1.0,599994,5790,True,386.3851900635834,1.6882033167003626e-07,2.4324911781506908e-08,7.058845288804558e-07,False,False,,,,,,,,,,
central,central,1.05,599994,5700,True,250.927493981891,1.4033215376054846e-07,2.285783427583638e-08,5.929964238690361e-07,False,False,,,,,,,,,,
central,central,1.1,599994,5593,True,102.06027962908732,9.117299484984922e-08,1.9208467190979482e-08,3.32512383600205e-07,False,False,,,,,,,,,,
central,central,1.15,599994,5571,True,39.55690541094354,5.5695409058001254e-08,1.5870087044509693e-08,1.753148059386185e-07,False,False,,,,,,,,,,
central,central,1.2,599994,5566,True,14.568280147372802,3.6184987596427426e-08,1.3419607798011148e-08,8.400975123028366e-08,False,False,,,,,,,,,,
central,central,1.25,599994,5533,True,3.0969563832034326,1.6244350109588655e-08,1.412525511966762e-08,1.8019406568101545e-08,False,False,,,,,,,,,,
central,central,1.3,599994,5372,False,0.5319521136323073,6.856782936641738e-09,,,False,False,,,,,,,,,,
central,central,1.35,599994,5572,False,1.6736308867577736,1.1937766417144358e-08,,,False,False,,,,,,,,,,
central,central,1.4,599994,5493,True,3.183789615711767,1.6244350109588655e-08,1.3682033277433775e-08,1.904323728472495e-08,False,False,,,,,,,,,,
central,central,1.45,599994,5393,False,1.3855230569556856,1.0553861030365231e-08,,,False,False,,,,,,,,,,
central,central,1.5,599994,5409,True,4.484905214682684,1.9542040079740516e-08,1.2337003578288732e-08,2.9420182980587785e-08,False,False,,,,,,,,,,
central,central,1.55,599994,5326,True,6.025790617302806,2.3509178754572845e-08,1.243157126005699e-08,4.0366774399394194e-08,False,False,,,,,,,,,,
central,central,1.6,599994,5237,True,6.8071932337166885,2.3509178754572845e-08,1.2348402895787656e-08,4.4575137243146096e-08,False,False,,,,,,,,,,
central,central,1.65,599994,5203,True,7.3107301114646495,2.5003068519063217e-08,1.2444563715144557e-08,4.651268801229069e-08,False,False,,,,,,,,,,
central,central,1.7,599994,5231,True,8.366832606962522,2.6591887445126912e-08,1.2506272315210821e-08,5.143838699216202e-08,False,False,,,,,,,,,,
central,central,1.75,599994,5147,True,9.224377787492918,2.8281667802300298e-08,1.2603522691586948e-08,5.5439492304751624e-08,False,False,,,,,,,,,,
central,central,1.8,599994,5022,True,10.39901930371977,3.0078825180430956e-08,1.2915491664732612e-08,6.425674758158877e-08,False,False,,,,,,,,,,
central,central,1.85,599994,5136,True,12.38441449706595,3.199018284775061e-08,1.3082206662029562e-08,6.875648800020447e-08,False,False,,,,,,,,,,
central,central,1.9,599994,5118,True,15.566246291805712,3.6184987596427426e-08,1.3419393714859993e-08,8.47219490803546e-08,False,False,,,,,,,,,,
central,central,1.95,599994,4894,True,18.10796549537428,3.8484361094874256e-08,1.4042082359183756e-08,9.465381710016697e-08,False,False,,,,,,,,,,
central,central,2.0,599994,4819,True,21.794119401785803,4.3530733647318836e-08,1.4451298130415456e-08,1.0970137182965065e-07,False,False,,,,,,,,,,
central,central,2.05,599994,4990,True,21.869142936290167,4.3530733647318836e-08,1.4340658141513984e-08,1.0718303894334442e-07,False,False,,,,,,,,,,
central,central,2.1,599994,5016,True,22.379136545216387,4.3530733647318836e-08,1.4394258970306146e-08,1.0893922173465654e-07,False,False,,,,,,,,,,
central,central,2.15,599994,4905,True,22.808743542963946,4.3530733647318836e-08,1.4603376985334244e-08,1.0933186780297873e-07,False,False,,,,,,,,,,
central,central,2.2,599994,4911,True,21.860755599698177,4.3530733647318836e-08,1.4774099662219933e-08,1.0529075621370569e-07,False,False,,,,,,,,,,
central,central,2.25,599994,4882,True,21.180271920507128,4.3530733647318836e-08,1.491954625996002e-08,1.0469494986008905e-07,False,False,,,,,,,,,,
