"mass_GeV","channel_001","channel_002","channel_003","channel_004","channel_005","channel_006","channel_007","channel_008","channel_009","channel_010","channel_011","channel_012","channel_013","channel_014","channel_015","channel_016","channel_017","channel_018","channel_019","channel_020","channel_021","channel_022","channel_023","channel_024","channel_025","channel_026","channel_027","channel_028","channel_029","channel_030","channel_031","channel_032"
0.01,0.9996904266560966,2.263967063164712e-90,2.263967063164712e-90,0.0003095733439032809,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,0,2.263967063164712e-90,0,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90,2.263967063164712e-90
0.011,0.9996311958095684,2.0562283670558475e-90,2.0562283670558475e-90,0.00036880419043179124,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,0,2.0562283670558475e-90,0,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90,2.0562283670558475e-90
0.012,0.9995667789080621,1.8835014696253459e-90,1.8835014696253459e-90,0.0004332210919378241,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,0,1.8835014696253459e-90,0,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90,1.8835014696253459e-90
0.013000000000000001,0.9994971769901594,1.7375971652383623e-90,1.7375971652383623e-90,0.0005028230098406741,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,0,1.7375971652383623e-90,0,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90,1.7375971652383623e-90
0.014,0.9994223938030417,1.612701311351442e-90,1.612701311351442e-90,0.0005776061969583925,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,0,1.612701311351442e-90,0,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90,1.612701311351442e-90
0.015,0.9993424356430307,1.5045703142086115e-90,1.5045703142086115e-90,0.0006575643569692612,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,0,1.5045703142086115e-90,0,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90,1.5045703142086115e-90
0.016,0.9992573111769476,1.4100334410557798e-90,1.4100334410557798e-90,0.0007426888230524317,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,0,1.4100334410557798e-90,0,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90,1.4100334410557798e-90
0.017,0.999167031271512,1.326673395491942e-90,1.326673395491942e-90,0.0008329687284880891,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,0,1.326673395491942e-90,0,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90,1.326673395491942e-90
0.018000000000000002,0.9990716088400958,1.2526147599731872e-90,1.2526147599731872e-90,0.0009283911599042307,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,0,1.2526147599731872e-90,0,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90,1.2526147599731872e-90
0.019000000000000003,0.9989710587086597,1.1863800210977997e-90,1.1863800210977997e-90,0.0010289412913403206,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,0,1.1863800210977997e-90,0,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90,1.1863800210977997e-90
