# Dark photon (A') branching ratios from DeLiVeR (VMD + PDG R-ratio)
# Ref: arXiv:2201.01788, https://github.com/preimitz/DeLiVeR
# Model: kinetic mixing portal (EM charges x e per SM fermion), gQ = epsilon
# Generated: 2026-02-27 with DeLiVeR commit 7b2bbd7
# scipy>=1.14 compat: scipy.integrate.quadrature replaced by quad with scalar-wrap
# Coverage: 0.20 -- 1.70 GeV (VMD non-perturbative). Above ~1.7 GeV use perturbative QCD.
# Columns:
#   mass_GeV : A' mass
#   ee       : BR(A' -> e+ e-)
#   mumu     : BR(A' -> mu+ mu-)
#   tau      : BR(A' -> tau+ tau-)  [zero below 2*m_tau = 3.554 GeV]
#   pipi     : BR(A' -> pi+ pi-)
#   pi3      : BR(A' -> pi0 pi+ pi-)
#   pi4c     : BR(A' -> pi+ pi+ pi- pi-)
#   pi4n     : BR(A' -> pi0 pi0 pi+ pi-)
#   KKc      : BR(A' -> K+ K-)
#   KKn      : BR(A' -> K0 K0bar)
#   PiGamma  : BR(A' -> pi0 gamma)
#   EtaGamma : BR(A' -> eta gamma)
#   ppbar    : BR(A' -> p pbar)
#   had_other: BR into remaining hadronic channels (sum of minor modes)
#   BRqcd    : total hadronic BR (= sum of all had channels below 1.7 GeV)
mass_GeV,ee,mumu,tau,pipi,pi3,pi4c,pi4n,KKc,KKn,PiGamma,EtaGamma,ppbar,had_other,BRqcd
0.2000,0.99999532,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000468,0.00000000,0.00000000,0.00000000,0.00000468
0.2500,0.57958328,0.42040558,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001114,0.00000000,0.00000000,0.00000000,0.00001114
0.3000,0.52523892,0.46533240,0.00000000,0.00940474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002395,0.00000000,0.00000000,0.00000000,0.00942868
0.3500,0.49108717,0.46283734,0.00000000,0.04603220,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004329,0.00000000,0.00000000,0.00000000,0.04607549
0.4000,0.46347831,0.44844022,0.00000000,0.08800929,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00007218,0.00000000,0.00000000,0.00000000,0.08808147
0.4500,0.43587883,0.42726268,0.00000000,0.13674270,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00011577,0.00000000,0.00000000,0.00000000,0.13685849
0.5000,0.40350650,0.39835950,0.00000000,0.19795016,0.00000107,0.00000000,0.00000000,0.00000000,0.00000000,0.00018276,0.00000000,0.00000000,0.00000000,0.19813400
0.5500,0.36144515,0.35833328,0.00000000,0.27992297,0.00001086,0.00000000,0.00000000,0.00000000,0.00000000,0.00028773,0.00000000,0.00000000,0.00000000,0.28022156
0.6000,0.30429223,0.30245867,0.00000000,0.39273120,0.00006110,0.00000000,0.00000000,0.00000000,0.00000000,0.00045382,0.00000298,0.00000000,0.00000000,0.39324910
0.6500,0.22919199,0.22819605,0.00000000,0.54160788,0.00026651,0.00000006,0.00000000,0.00000000,0.00000000,0.00071365,0.00002386,0.00000000,0.00000000,0.54261196
0.7000,0.14724029,0.14676710,0.00000000,0.70363740,0.00113962,0.00000182,0.00000000,0.00000000,0.00000000,0.00113120,0.00008257,0.00000000,0.00000000,0.70599261
0.7700,0.08412053,0.08393692,0.00000000,0.73734256,0.08325888,0.00003257,0.00000000,0.00000000,0.00000000,0.01100705,0.00030149,0.00000000,0.00000000,0.83194255
0.8000,0.11691580,0.11669721,0.00000000,0.65891522,0.09772899,0.00009469,0.00000000,0.00000000,0.00000000,0.00925366,0.00039443,0.00000000,0.00000000,0.76638699
0.8500,0.19373926,0.19345584,0.00000000,0.58442859,0.02550059,0.00033191,0.00013659,0.00000000,0.00000000,0.00196678,0.00044043,0.00000000,0.00000001,0.61280490
0.9000,0.26771832,0.26740744,0.00000000,0.43550767,0.02620081,0.00085337,0.00041281,0.00000000,0.00000000,0.00134774,0.00055123,0.00000000,0.00000060,0.46487423
0.9500,0.31923131,0.31893329,0.00000000,0.31378929,0.03680995,0.00191173,0.00660161,0.00000000,0.00000000,0.00112699,0.00083710,0.00000000,0.00075875,0.36183541
1.0000,0.31910597,0.31886373,0.00000000,0.20812233,0.09882272,0.00370437,0.02006603,0.01697228,0.00659179,0.00158424,0.00390222,0.00000000,0.00226433,0.36203031
1.0500,0.31029915,0.31010564,0.00000000,0.14397501,0.00394713,0.00741723,0.03439380,0.12177243,0.06402760,0.00012544,0.00042411,0.00000000,0.00351246,0.37959521
