ctau_m,BR_full_selection,BR_acceptance_only
9.480269926203671203e-04,inf,inf
1.297729984551119955e-03,inf,inf
1.776429496113979267e-03,3.464307405669612305e+12,inf
2.431709055220219236e-03,3.921561473477034569e+08,5.772883528861210346e+08
3.328704540301458559e-03,4.153798494704930927e+05,6.294023652945215581e+05
4.556578794999016635e-03,3.021882871998400788e+03,4.675841335756820627e+03
6.237384563171348428e-03,8.993170097274553143e+01,1.411432048261999341e+02
8.538196734705344806e-03,7.450956990970566629e+00,1.168056292646687666e+01
1.168771986755084633e-02,1.264259359254694459e+00,1.864576356882687858e+00
1.599902180130047605e-02,3.327971148306323457e-01,4.078102472057749117e-01
2.190065312132826944e-02,1.087295443064331540e-01,1.037771943927007917e-01
2.997924580000000186e-02,4.022519847217613520e-02,3.186648954920634491e-02
4.103782539076662045e-02,1.619630666517897846e-02,1.159178198008603035e-02
5.617563310425407325e-02,6.562849510664993738e-03,4.491658285741295144e-03
7.689739221352054344e-02,2.630974889087224315e-03,1.766108847667667353e-03
1.052628800509635837e-01,1.117712781182519368e-03,7.325692698186373484e-04
1.440916733022234442e-01,5.294772306228984768e-04,3.335991393808040604e-04
1.972434186199585882e-01,2.836975380572300280e-04,1.704266447960382021e-04
2.700014879228120890e-01,1.726109822752893894e-04,9.918710430707733654e-05
3.695981543546217329e-01,1.191902715314560000e-04,6.609329070290572295e-05
5.059334922679935564e-01,9.263469488492105577e-05,5.003071042477037642e-05
6.925594610867328305e-01,7.987801275950515958e-05,4.235983424683307180e-05
9.480269926203671593e-01,7.520180898283013410e-05,3.942585457192952656e-05
1.297729984551119875e+00,7.617786124715106928e-05,3.969770531180073385e-05
1.776429496113979267e+00,8.202135084647823248e-05,4.265127474302845331e-05
2.431709055220219184e+00,9.291681778168892698e-05,4.832876337410955947e-05
3.328704540301458348e+00,1.097704234490291651e-04,5.717791204498762713e-05
4.556578794999016857e+00,1.341786595845432216e-04,7.002344969376427192e-05
6.237384563171348262e+00,1.685323097663395239e-04,8.811598089446639245e-05
8.538196734705326918e+00,2.162299223695831837e-04,1.132411396283603287e-04
1.168771986755087156e+01,2.820050638793266274e-04,1.478900637773045048e-04
1.599902180130047569e+01,3.723921939284948260e-04,1.955037163368371800e-04
2.190065312132826847e+01,4.963741146083219119e-04,2.608133399317451718e-04
2.997924579999999750e+01,6.662739133239750384e-04,3.503099760963863181e-04
4.103782539076654245e+01,8.989794412300680529e-04,4.728892999564270386e-04
5.617563310425396139e+01,1.217621771058391075e-03,6.407356699401706374e-04
7.689739221352054699e+01,1.653874353313519556e-03,8.705331731981908643e-04
1.052628800509635880e+02,2.251101353727739084e-03,1.185123999791838460e-03
1.440916733022234553e+02,3.068668094601156426e-03,1.615778967336979404e-03
1.972434186199581916e+02,4.187842051622574918e-03,2.205305878101770835e-03
2.700014879228126006e+02,5.719870968330237337e-03,3.012304678286593929e-03
3.695981543546225225e+02,7.817041062794507708e-03,4.116992386215522978e-03
5.059334922679935858e+02,1.068781452889473217e-02,5.629176795323800366e-03
6.925594610867327674e+02,1.461755102407987124e-02,7.699171550406426479e-03
9.480269926203670821e+02,1.999687289348770630e-02,1.053273757341162409e-02
