flavor,mass_GeV,channel,production_weight_fraction,accepted_peak_fraction
Ue,0.2,Bmeson,7.529493343263457e-05,0.0015622246235951298
Ue,0.2,Dmeson,0.0005587283600661961,0.004580335434763416
Ue,0.2,Bc,1.0467551456434276e-07,1.8669033799440245e-06
Ue,0.2,tau,3.3272382203310576e-08,2.8152485698312005e-07
Ue,0.2,induced_tau,5.555508955432452e-06,5.695373959993039e-05
Ue,0.2,Kmeson,0.9993602190505986,0.9937977961748569
Ue,0.2,WZ,6.419905033357513e-08,5.415989478346763e-07
Ue,0.215,Bmeson,6.801563927199976e-05,0.0014358595931083713
Ue,0.215,Dmeson,0.0004896331262837207,0.0035541063881725054
Ue,0.215,Bc,9.606892744374096e-08,1.6635789917028137e-06
Ue,0.215,tau,2.996050115059153e-08,2.799018540543475e-07
Ue,0.215,induced_tau,5.039098060473325e-06,6.113761456024577e-05
Ue,0.215,Kmeson,0.999437126823816,0.9949463449710714
Ue,0.215,WZ,5.928313932275808e-08,6.079522416950381e-07
Ue,0.23,Bmeson,6.541537695147098e-05,0.0016507615203091885
Ue,0.23,Dmeson,0.00045711879239647933,0.0038702615436376755
Ue,0.23,Bc,8.789735027887524e-08,1.8056160564718324e-06
Ue,0.23,tau,2.8055300277988155e-08,3.33657936276066e-07
Ue,0.23,induced_tau,4.646506910609452e-06,4.3487808364016e-05
Ue,0.23,Kmeson,0.9994726477626875,0.9944324670652953
Ue,0.23,WZ,5.5608403320620675e-08,8.827884010655195e-07
Ue,0.245,Bmeson,6.173280064377113e-05,0.0014807894281918656
Ue,0.245,Dmeson,0.0004393837800196455,0.0039667308084794664
Ue,0.245,Bc,8.194786961156569e-08,1.4405474356133584e-06
Ue,0.245,tau,2.654201384733489e-08,3.2060034947416523e-07
Ue,0.245,induced_tau,4.397633275171775e-06,3.458969282281153e-05
Ue,0.245,Kmeson,0.9994943243116144,0.9945150045648087
Ue,0.245,WZ,5.2984563578725756e-08,1.1243579121568624e-06
Ue,0.26,Bmeson,5.9219022563672695e-05,0.0016871326575938986
Ue,0.26,Dmeson,0.0004165557039667254,0.004203353541253995
Ue,0.26,Bc,8.02457889448192e-08,1.7859915494699263e-06
Ue,0.26,tau,2.475517366198055e-08,4.418651060329378e-07
Ue,0.26,induced_tau,3.995951427890675e-06,5.079570007468985e-05
Ue,0.26,Kmeson,0.999520073079107,0.9940550164865333
Ue,0.26,WZ,5.1241972088049393e-08,1.4737578885986125e-06
Ue,0.275,Bmeson,5.7055991865332734e-05,0.0014457678700615794
Ue,0.275,Dmeson,0.00040459033732218974,0.0030616154744607244
Ue,0.275,Bc,7.775454929879068e-08,1.4042326808845483e-06
Ue,0.275,tau,2.4765683809419337e-08,3.7949710594138057e-07
Ue,0.275,induced_tau,3.982698296009192e-06,2.9365016376984117e-05
Ue,0.275,Kmeson,0.9995342181221726,0.9954599818810479
Ue,0.275,WZ,5.0330110814988e-08,1.4860282659422087e-06
Ue,0.29,Bmeson,5.814962211274854e-05,0.0015154535749089147
Ue,0.29,Dmeson,0.00039502322488701606,0.0036993387047153585
Ue,0.29,Bc,7.650044052356893e-08,1.7467359240425575e-06
Ue,0.29,tau,2.339221267384126e-08,3.4315107520379346e-07
Ue,0.29,induced_tau,3.861436345362053e-06,3.711822991068435e-05
Ue,0.29,Kmeson,0.9995428155957128,0.9947447605084475
Ue,0.29,WZ,5.022828878276353e-08,1.2390950183030405e-06
Ue,0.305,Bmeson,5.827925443730896e-05,0.0013412071438093855
Ue,0.305,Dmeson,0.0004016589982907655,0.003234194435871985
Ue,0.305,Bc,7.718466692922731e-08,1.3321629219036897e-06
Ue,0.305,tau,2.42665522102269e-08,3.314001166607628e-07
Ue,0.305,induced_tau,3.880999631781507e-06,3.252707320689983e-05
Ue,0.305,Kmeson,0.9995360283258962,0.9953891906917579
Ue,0.305,WZ,5.097052483598114e-08,1.2170923153561612e-06
Ue,0.32,Bmeson,6.0768846885444054e-05,0.0016756468919116479
Ue,0.32,Dmeson,0.00040061170762219466,0.003953231906030122
Ue,0.32,Bc,7.832778975972497e-08,1.624900649360038e-06
Ue,0.32,tau,2.3924141709189196e-08,3.882941116081695e-07
Ue,0.32,induced_tau,3.9464969711322e-06,4.307701025680549e-05
Ue,0.32,Kmeson,0.9995345180306167,0.9943244989698615
Ue,0.32,WZ,5.266597297382547e-08,1.5320271787887262e-06
Ue,0.335,Bmeson,6.254652611553113e-05,0.0016528572150297412
Ue,0.335,Dmeson,0.0004171252078210889,0.00396968852107737
Ue,0.335,Bc,8.188327812808452e-08,1.4582854590137539e-06
Ue,0.335,tau,2.4138718917908818e-08,3.82119746713175e-07
Ue,0.335,induced_tau,4.069206155270871e-06,5.3807811430717365e-05
Ue,0.335,Kmeson,0.9995160975267341,0.9943203620834323
Ue,0.335,WZ,5.551117694495094e-08,1.4439638242016243e-06
Ue,0.35,Bmeson,6.789804512121545e-05,0.0015396685441388498
Ue,0.35,Dmeson,0.00044939327793862776,0.003846667298551254
Ue,0.35,Bc,8.681071864756793e-08,1.3870131777797487e-06
Ue,0.35,tau,2.5736529011521494e-08,3.6404239556313273e-07
Ue,0.35,induced_tau,4.16319794018114e-06,5.190999076994495e-05
Ue,0.35,Kmeson,0.9994783730900118,0.9945585129487853
Ue,0.35,WZ,5.984174052669468e-08,1.4901621813870387e-06
Ue,0.365,Bmeson,7.388980727331731e-05,0.0013392437110143172
Ue,0.365,Dmeson,0.0004826824077520493,0.003388857537251224
Ue,0.365,Bc,9.756796104165435e-08,1.5264865347480497e-06
Ue,0.365,tau,2.773805179123092e-08,3.042136833912789e-07
Ue,0.365,induced_tau,4.547652813828305e-06,2.017564981067677e-05
Ue,0.365,Kmeson,0.9994386886047123,0.995248603808135
Ue,0.365,WZ,6.622143575234877e-08,1.2885935706524299e-06
Ue,0.38,Bmeson,8.465618274581941e-05,0.0015199762336197307
Ue,0.38,Dmeson,0.0005299130749991421,0.003629283668518346
Ue,0.38,Bc,1.0365655552020944e-07,1.4743500681035097e-06
Ue,0.38,tau,3.177713655097027e-08,2.888886614134889e-07
Ue,0.38,induced_tau,5.307165406780812e-06,4.436687394925034e-05
Ue,0.38,Kmeson,0.9993799125283338,0.9948033470944937
Ue,0.38,WZ,7.561482236465084e-08,1.2628906893972246e-06
Ue,0.395,Bmeson,9.971192563934418e-05,0.0017606383189671356
Ue,0.395,Dmeson,0.0006338601413957864,0.004168365191410841
Ue,0.395,Bc,1.257059924698975e-07,1.6243885431632458e-06
Ue,0.395,tau,3.4304107140877274e-08,3.3661628933091284e-07
Ue,0.395,induced_tau,6.088332854486157e-06,2.37088348482318e-05
Ue,0.395,Kmeson,0.9992600898355952,0.9940438231743601
Ue,0.395,WZ,8.975441573226794e-08,1.5034755811603214e-06
Ue,0.41,Bmeson,0.00012641807406326325,0.0020268599861193565
Ue,0.41,Dmeson,0.0007907778041217853,0.0055844391280660145
Ue,0.41,Bc,1.5347779570771132e-07,1.9470212040310154e-06
Ue,0.41,tau,4.257517791669331e-08,4.281010233065426e-07
Ue,0.41,induced_tau,7.056320815340239e-06,3.6367222845218935e-05
Ue,0.41,Kmeson,0.9990754397308789,0.9923480221794714
Ue,0.41,WZ,1.120171470869696e-07,1.9363612706653623e-06
Ue,0.425,Bmeson,0.00016617849066625392,0.002456179354234445
Ue,0.425,Dmeson,0.00100783391490117,0.0072708323597644765
Ue,0.425,Bc,2.0529329962446134e-07,2.7469606881474403e-06
Ue,0.425,tau,5.700874113473861e-08,4.928076023905835e-07
Ue,0.425,induced_tau,9.046818261164964e-06,5.064667946042356e-05
Ue,0.425,Kmeson,0.9988165287631899,0.9902168914446153
Ue,0.425,WZ,1.4971094069998708e-07,2.210393634760421e-06
Ue,0.44,Bmeson,0.00024170734213201653,0.0033249504493003765
Ue,0.44,Dmeson,0.0014745952652177295,0.008791776364228645
Ue,0.44,Bc,2.931042670038517e-07,3.011091952724204e-06
Ue,0.44,tau,7.874969320118133e-08,6.886781048875213e-07
Ue,0.44,induced_tau,1.3782627201254232e-05,8.671021479939512e-05
Ue,0.44,Kmeson,0.9982693216667871,0.9877897061816706
Ue,0.44,WZ,2.2124470173035333e-07,3.157019943249389e-06
Ue,0.455,Bmeson,0.0004248312450853193,0.004913186705285911
Ue,0.455,Dmeson,0.0025622893901756953,0.012125100807327779
Ue,0.455,Bc,5.125537528279537e-07,5.625372213931222e-06
Ue,0.455,tau,1.3330861204819587e-07,9.874203602335007e-07
Ue,0.455,induced_tau,2.208995751166661e-05,0.00013943916660108226
Ue,0.455,Kmeson,0.996989758030998,0.9828107319490493
Ue,0.455,WZ,3.8551386438333985e-07,4.92857916179798e-06
Ue,0.47,Bmeson,0.0010212443421330636,0.011068438424431499
Ue,0.47,Dmeson,0.00598879613552897,0.03472497549905932
Ue,0.47,Bc,1.2047184055594937e-06,1.2289761982746711e-05
Ue,0.47,tau,3.1496798354607506e-07,2.2153037129027653e-06
Ue,0.47,induced_tau,5.294617548876327e-05,0.00033982040919861153
Ue,0.47,Kmeson,0.9929345630227809,0.953840643243167
Ue,0.47,WZ,9.30637679316786e-07,1.1617358447929225e-05
Ue,0.485,Bmeson,0.006566068526950673,0.05359157824351355
Ue,0.485,Dmeson,0.03934721008052424,0.17708038308025092
Ue,0.485,Bc,7.584132906112335e-06,5.894948557401161e-05
Ue,0.485,tau,2.004741365159614e-06,1.1380810472955065e-05
Ue,0.485,induced_tau,0.00032884983646350435,0.001442585274019897
Ue,0.485,Kmeson,0.9537422135289697,0.7677558459990974
Ue,0.485,WZ,6.069152820669451e-06,5.927710707126781e-05
Ue,0.5,Bmeson,0.14678753062322736,0.2607982761291146
Ue,0.5,Dmeson,0.8458054816055341,0.7316652772846818
Ue,0.5,Bc,0.00017405624309375686,0.00027452519127098133
Ue,0.5,tau,4.389496207567559e-05,6.46213705504394e-05
Ue,0.5,induced_tau,0.007052192647347313,0.0067747303404833556
Ue,0.5,Kmeson,0.0,0.0
Ue,0.5,WZ,0.00013684391872173767,0.00042256968389881825
Ue,0.525,Bmeson,0.14896691399798925,0.24007010936722717
Ue,0.525,Dmeson,0.8436101228589452,0.7530992029892626
Ue,0.525,Bc,0.0001679682547258748,0.00023932305133232722
Ue,0.525,tau,4.2627981177911804e-05,5.947327530009068e-05
Ue,0.525,induced_tau,0.007073374150956234,0.006105913894078917
Ue,0.525,Kmeson,0.0,0.0
Ue,0.525,WZ,0.0001389927562053841,0.0004259774227990367
Ue,0.55,Bmeson,0.1512650960842586,0.2595740334793636
