# mN_GeV  br_vis
0.2000 6.106769e-01
0.2150 6.185188e-01
0.2300 6.235692e-01
0.2450 6.270295e-01
0.2600 6.295062e-01
0.2750 6.313365e-01
0.2900 6.327221e-01
0.3050 6.337904e-01
0.3200 6.346255e-01
0.3350 6.352851e-01
0.3500 6.358100e-01
0.3650 6.362297e-01
0.3800 6.365660e-01
0.3950 6.368353e-01
0.4100 6.370504e-01
0.4250 6.372209e-01
0.4400 6.373546e-01
0.4550 6.374577e-01
0.4700 6.375351e-01
0.4850 6.375909e-01
0.5000 6.376391e-01
0.5250 6.378796e-01
0.5500 6.382546e-01
0.5750 6.381156e-01
0.6000 6.373155e-01
0.6250 6.361385e-01
0.6500 6.347700e-01
0.6750 6.333299e-01
0.7000 6.318941e-01
0.7250 6.305096e-01
0.7500 6.292041e-01
0.7750 6.279926e-01
0.8000 6.323791e-01
0.8250 6.441348e-01
0.8500 6.587898e-01
0.8750 6.737219e-01
0.9000 6.876493e-01
0.9250 7.001800e-01
0.9500 7.111547e-01
0.9750 7.205269e-01
1.0000 7.282712e-01
1.0250 7.313597e-01
1.0500 7.379338e-01
1.0750 7.437286e-01
1.1000 7.489624e-01
1.1250 7.536941e-01
1.1500 7.570725e-01
1.1750 7.602599e-01
1.2000 7.632840e-01
1.2250 7.661689e-01
1.2500 7.689285e-01
1.2750 7.728117e-01
1.3000 7.754589e-01
1.3250 7.779188e-01
1.3500 7.802880e-01
1.3750 7.825725e-01
1.4000 7.847768e-01
1.4250 7.869062e-01
1.4500 7.889639e-01
1.4750 7.909534e-01
1.5000 7.928783e-01
1.5250 7.947407e-01
1.5500 7.965434e-01
1.5750 7.982891e-01
1.6000 7.999795e-01
1.6250 8.016172e-01
1.6500 8.032043e-01
1.6750 8.047434e-01
1.7000 8.062373e-01
1.7250 8.076881e-01
1.7500 8.090985e-01
1.7750 8.104710e-01
1.8000 8.118075e-01
1.8250 8.131106e-01
1.8500 8.143822e-01
1.8750 8.156241e-01
1.9000 8.168384e-01
1.9250 8.180267e-01
1.9500 8.191906e-01
1.9750 8.203317e-01
2.0000 8.214514e-01
2.2000 8.297736e-01
2.4000 8.372384e-01
2.6000 8.440405e-01
2.8000 8.502466e-01
3.0000 8.558821e-01
3.2000 8.609720e-01
3.4000 8.655610e-01
3.6000 8.696967e-01
3.8000 8.734231e-01
4.0000 8.767820e-01
4.2000 8.798528e-01
4.4000 8.825988e-01
4.6000 8.850798e-01
4.8000 8.873245e-01
5.0000 8.893588e-01
5.2000 8.912055e-01
5.4000 8.928850e-01
5.5000 8.936678e-01
5.6000 8.944153e-01
5.8000 8.958124e-01
6.0000 8.970902e-01
6.2000 8.982613e-01
6.4000 8.993367e-01
6.6000 9.003260e-01
6.8000 9.012378e-01
7.0000 9.020797e-01
7.2000 9.028585e-01
7.4000 9.035801e-01
7.6000 9.042498e-01
7.8000 9.048723e-01
8.0000 9.054519e-01
8.5000 9.067368e-01
9.0000 9.078247e-01
9.5000 9.087544e-01
10.0000 9.095618e-01
