# mN_GeV  br_vis
0.2000 2.913514e-02
0.2150 3.204011e-02
0.2300 3.606431e-02
0.2450 4.118242e-02
0.2600 2.983744e-01
0.2750 3.830805e-01
0.2900 4.358513e-01
0.3050 4.722240e-01
0.3200 4.987564e-01
0.3350 5.188849e-01
0.3500 5.346127e-01
0.3650 5.471913e-01
0.3800 5.574431e-01
0.3950 5.659305e-01
0.4100 5.730505e-01
0.4250 5.790915e-01
0.4400 5.842671e-01
0.4550 5.887395e-01
0.4700 5.926332e-01
0.4850 5.960458e-01
0.5000 5.990545e-01
0.5250 6.033347e-01
0.5500 6.068759e-01
0.5750 6.092519e-01
0.6000 6.106316e-01
0.6250 6.120932e-01
0.6500 6.127814e-01
0.6750 6.131191e-01
0.7000 6.132426e-01
0.7250 6.132370e-01
0.7500 6.131581e-01
0.7750 6.130435e-01
0.8000 6.137245e-01
0.8250 6.155954e-01
0.8500 6.180857e-01
0.8750 6.208264e-01
0.9000 6.551947e-01
0.9250 6.755256e-01
0.9500 6.910333e-01
0.9750 7.034638e-01
1.0000 7.136214e-01
1.0250 7.185143e-01
1.0500 7.260648e-01
1.0750 7.327078e-01
1.1000 7.386917e-01
1.1250 7.440924e-01
1.1500 7.480463e-01
1.1750 7.517577e-01
1.2000 7.552614e-01
1.2250 7.585865e-01
1.2500 7.617517e-01
1.2750 7.660367e-01
1.3000 7.690317e-01
1.3250 7.718123e-01
1.3500 7.744796e-01
1.3750 7.770415e-01
1.4000 7.795045e-01
1.4250 7.818756e-01
1.4500 7.841593e-01
1.4750 7.863604e-01
1.5000 7.884837e-01
1.5250 7.905324e-01
1.5500 7.925103e-01
1.5750 7.944207e-01
1.6000 7.962663e-01
1.6250 7.980502e-01
1.6500 7.997748e-01
1.6750 8.014425e-01
1.7000 8.030561e-01
1.7250 8.046184e-01
1.7500 8.061332e-01
1.7750 8.076036e-01
1.8000 8.090323e-01
1.8250 8.104221e-01
1.8500 8.117755e-01
1.8750 8.130946e-01
1.9000 8.143820e-01
1.9250 8.156394e-01
1.9500 8.168687e-01
1.9750 8.180721e-01
2.0000 8.192508e-01
2.2000 8.279610e-01
2.4000 8.357140e-01
2.6000 8.427445e-01
2.8000 8.491374e-01
3.0000 8.549276e-01
3.2000 8.601465e-01
3.4000 8.648434e-01
3.6000 8.690697e-01
3.8000 8.728725e-01
4.0000 8.762959e-01
4.2000 8.794217e-01
4.4000 8.822144e-01
4.6000 8.847355e-01
4.8000 8.870147e-01
5.0000 8.890788e-01
5.2000 8.909514e-01
5.4000 8.926535e-01
5.5000 8.934464e-01
5.6000 8.942035e-01
5.8000 8.956180e-01
6.0000 8.969113e-01
6.2000 8.980960e-01
6.4000 8.991836e-01
6.6000 9.001838e-01
6.8000 9.011054e-01
7.0000 9.019561e-01
7.2000 9.027428e-01
7.4000 9.034716e-01
7.6000 9.041479e-01
7.8000 9.047764e-01
8.0000 9.053615e-01
8.5000 9.066581e-01
9.0000 9.077556e-01
9.5000 9.086932e-01
10.0000 9.095073e-01
