# mN_GeV  br_vis
0.2000 1.465154e-02
0.2150 1.379769e-02
0.2300 1.353355e-02
0.2450 1.364983e-02
0.2600 1.405063e-02
0.2750 1.468158e-02
0.2900 1.550703e-02
0.3050 1.650100e-02
0.3200 1.764309e-02
0.3350 1.891650e-02
0.3500 2.030682e-02
0.3650 2.180146e-02
0.3800 2.338920e-02
0.3950 2.505993e-02
0.4100 2.680445e-02
0.4250 2.861432e-02
0.4400 3.048180e-02
0.4550 3.239974e-02
0.4700 3.436151e-02
0.4850 3.636098e-02
0.5000 3.839244e-02
0.5250 4.183510e-02
0.5500 4.532906e-02
0.5750 4.874041e-02
0.6000 5.200801e-02
0.6250 5.516246e-02
0.6500 5.822657e-02
0.6750 6.121672e-02
0.7000 6.414430e-02
0.7250 6.701698e-02
0.7500 6.983973e-02
0.7750 7.261559e-02
0.8000 7.993619e-02
0.8250 9.373872e-02
0.8500 1.104884e-01
0.8750 1.279875e-01
0.9000 1.449834e-01
0.9250 1.608247e-01
0.9500 1.752228e-01
0.9750 1.880496e-01
1.0000 1.992115e-01
1.0250 2.044779e-01
1.0500 2.324063e-01
1.0750 2.556489e-01
1.1000 2.758354e-01
1.1250 2.936375e-01
1.1500 3.073323e-01
1.1750 3.198904e-01
1.2000 3.315129e-01
1.2250 3.423543e-01
1.2500 3.525212e-01
1.2750 3.650316e-01
1.3000 3.743319e-01
1.3250 3.829478e-01
1.3500 3.911375e-01
1.3750 3.989397e-01
1.4000 4.063856e-01
1.4250 4.135050e-01
1.4500 4.203204e-01
1.4750 4.268524e-01
1.5000 4.331211e-01
1.5250 4.391410e-01
1.5500 4.449275e-01
1.5750 4.504941e-01
1.6000 4.558518e-01
1.6250 4.610125e-01
1.6500 4.659857e-01
1.6750 4.707803e-01
1.7000 4.754061e-01
1.7250 4.798699e-01
1.7500 4.841794e-01
1.7750 4.883421e-01
1.8000 4.923638e-01
1.8250 4.962511e-01
1.8500 5.000099e-01
1.8750 5.036456e-01
1.9000 5.071643e-01
1.9250 5.105714e-01
1.9500 5.138728e-01
1.9750 5.170750e-01
2.0000 5.201837e-01
2.2000 5.428265e-01
2.4000 5.639099e-01
2.6000 5.856924e-01
2.8000 6.084069e-01
3.0000 6.314275e-01
3.2000 6.538749e-01
3.4000 6.751081e-01
3.6000 6.950985e-01
3.8000 7.141271e-01
4.0000 7.321622e-01
4.2000 7.490998e-01
4.4000 7.646034e-01
4.6000 7.786520e-01
4.8000 7.912556e-01
5.0000 8.024902e-01
5.2000 8.124689e-01
5.4000 8.213200e-01
5.5000 8.253631e-01
5.6000 8.291723e-01
5.8000 8.361474e-01
6.0000 8.423558e-01
6.2000 8.478957e-01
6.4000 8.528527e-01
6.6000 8.573013e-01
6.8000 8.613055e-01
7.0000 8.649208e-01
7.2000 8.681944e-01
7.4000 8.711673e-01
7.6000 8.738747e-01
7.8000 8.763469e-01
8.0000 8.786103e-01
8.5000 8.834979e-01
9.0000 8.874982e-01
9.5000 8.908163e-01
10.0000 8.936097e-01
