# mN_GeV  ctau_meters_at_Usq1
0.2000 6.214161e-01
0.2150 3.990623e-01
0.2300 2.753964e-01
0.2450 1.999114e-01
0.2600 1.506537e-01
0.2750 1.168551e-01
0.2900 9.273877e-02
0.3050 7.498344e-02
0.3200 6.157183e-02
0.3350 5.122243e-02
0.3500 4.309031e-02
0.3650 3.660058e-02
0.3800 3.135147e-02
0.3950 2.705559e-02
0.4100 2.350316e-02
0.4250 2.053829e-02
0.4400 1.804328e-02
0.4550 1.592802e-02
0.4700 1.412260e-02
0.4850 1.257219e-02
0.5000 1.123298e-02
0.5250 9.374765e-03
0.5500 7.885455e-03
0.5750 6.674319e-03
0.6000 5.680150e-03
0.6250 4.860169e-03
0.6500 4.180222e-03
0.6750 3.613237e-03
0.7000 3.137797e-03
0.7250 2.736934e-03
0.7500 2.397163e-03
0.7750 2.107720e-03
0.8000 1.832562e-03
0.8250 1.566546e-03
0.8500 1.331028e-03
0.8750 1.131567e-03
0.9000 9.660491e-04
0.9250 8.293563e-04
0.9500 7.165686e-04
0.9750 6.232006e-04
1.0000 5.453903e-04
1.0250 4.860450e-04
1.0500 4.281166e-04
1.0750 3.786589e-04
1.1000 3.360912e-04
1.1250 2.993266e-04
1.1500 2.684603e-04
1.1750 2.413515e-04
1.2000 2.174716e-04
1.2250 1.963749e-04
1.2500 1.776900e-04
1.2750 1.602282e-04
1.3000 1.454680e-04
1.3250 1.323618e-04
1.3500 1.206486e-04
1.3750 1.101586e-04
1.4000 1.007452e-04
1.4250 9.228123e-05
1.4500 8.465693e-05
1.4750 7.777666e-05
1.5000 7.155678e-05
1.5250 6.592470e-05
1.5500 6.081651e-05
1.5750 5.617614e-05
1.6000 5.195446e-05
1.6250 4.810790e-05
1.6500 4.459809e-05
1.6750 4.139100e-05
1.7000 3.845637e-05
1.7250 3.576748e-05
1.7500 3.330048e-05
1.7750 3.103413e-05
1.8000 2.894955e-05
1.8250 2.702983e-05
1.8500 2.525987e-05
1.8750 2.362614e-05
1.9000 2.211646e-05
1.9250 2.071997e-05
1.9500 1.942683e-05
1.9750 1.822817e-05
2.0000 1.711605e-05
2.2000 1.059541e-05
2.4000 6.805481e-06
2.6000 4.508468e-06
2.8000 3.067958e-06
3.0000 2.138011e-06
3.2000 1.522158e-06
3.4000 1.104779e-06
3.6000 8.159350e-07
3.8000 6.122255e-07
4.0000 4.660553e-07
4.2000 3.593778e-07
4.4000 2.805654e-07
4.6000 2.214953e-07
4.8000 1.766701e-07
5.0000 1.422620e-07
5.2000 1.155673e-07
5.4000 9.465068e-08
5.5000 8.590477e-08
5.6000 7.810957e-08
5.8000 6.491560e-08
6.0000 5.430648e-08
6.2000 4.571136e-08
6.4000 3.869861e-08
6.6000 3.293890e-08
6.8000 2.817881e-08
7.0000 2.422174e-08
7.2000 2.091399e-08
7.4000 1.813458e-08
7.6000 1.578758e-08
7.8000 1.379645e-08
8.0000 1.209976e-08
8.5000 8.843073e-09
9.0000 6.585371e-09
9.5000 4.986367e-09
10.0000 3.831859e-09
