# mN_GeV  ctau_meters_at_Usq1
0.2000 1.549641e+00
0.2150 1.012570e+00
0.2300 7.052144e-01
0.2450 5.139241e-01
0.2600 2.853016e-01
0.2750 1.955448e-01
0.2900 1.424492e-01
0.3050 1.080650e-01
0.3200 8.446807e-02
0.3350 6.757027e-02
0.3500 5.506379e-02
0.3650 4.555914e-02
0.3800 3.817697e-02
0.3950 3.233797e-02
0.4100 2.764753e-02
0.4250 2.382921e-02
0.4400 2.068463e-02
0.4550 1.806841e-02
0.4700 1.587210e-02
0.4850 1.401341e-02
0.5000 1.242908e-02
0.5250 1.026908e-02
0.5500 8.569457e-03
0.5750 7.206659e-03
0.6000 6.098059e-03
0.6250 5.181347e-03
0.6500 4.431891e-03
0.6750 3.812398e-03
0.7000 3.296785e-03
0.7250 2.864878e-03
0.7500 2.500899e-03
0.7750 2.192418e-03
0.8000 1.925554e-03
0.8250 1.692179e-03
0.8500 1.489811e-03
0.8750 1.315015e-03
0.9000 1.066426e-03
0.9250 8.975548e-04
0.9500 7.664859e-04
0.9750 6.612498e-04
1.0000 5.747941e-04
1.0250 5.092859e-04
1.0500 4.475060e-04
1.0750 3.949430e-04
1.1000 3.498416e-04
1.1250 3.109951e-04
1.1500 2.784353e-04
1.1750 2.499108e-04
1.2000 2.248420e-04
1.2250 2.027427e-04
1.2500 1.832088e-04
1.2750 1.650064e-04
1.3000 1.496319e-04
1.3250 1.360013e-04
1.3500 1.238382e-04
1.3750 1.129608e-04
1.4000 1.032131e-04
1.4250 9.445976e-05
1.4500 8.658430e-05
1.4750 7.948551e-05
1.5000 7.307502e-05
1.5250 6.727630e-05
1.5500 6.202208e-05
1.5750 5.725348e-05
1.6000 5.291894e-05
1.6250 4.897290e-05
1.6500 4.537529e-05
1.6750 4.209073e-05
1.7000 3.908774e-05
1.7250 3.633841e-05
1.7500 3.381775e-05
1.7750 3.150364e-05
1.8000 2.937647e-05
1.8250 2.741867e-05
1.8500 2.561460e-05
1.8750 2.395026e-05
1.9000 2.241307e-05
1.9250 2.099179e-05
1.9500 1.967629e-05
1.9750 1.845742e-05
2.0000 1.732700e-05
2.2000 1.070823e-05
2.4000 6.869218e-06
2.6000 4.545932e-06
2.8000 3.090683e-06
3.0000 2.152170e-06
3.2000 1.531196e-06
3.4000 1.110676e-06
3.6000 8.198611e-07
3.8000 6.148889e-07
4.0000 4.678938e-07
4.2000 3.606673e-07
4.4000 2.814839e-07
4.6000 2.221588e-07
4.8000 1.771559e-07
5.0000 1.426220e-07
5.2000 1.158373e-07
5.4000 9.485530e-08
5.5000 8.608359e-08
5.6000 7.826624e-08
5.8000 6.503670e-08
6.0000 5.440091e-08
6.2000 4.578562e-08
6.4000 3.875747e-08
6.6000 3.298590e-08
6.8000 2.821660e-08
7.0000 2.425232e-08
7.2000 2.093890e-08
7.4000 1.815498e-08
7.6000 1.580438e-08
7.8000 1.381036e-08
8.0000 1.211133e-08
8.5000 8.850532e-09
9.0000 6.590306e-09
9.5000 4.989708e-09
10.0000 3.834168e-09
