# mN_GeV  ctau_meters_at_Usq1
0.2000 1.572759e+00
0.2150 1.031653e+00
0.2300 7.216979e-01
0.2450 5.286815e-01
0.2600 4.009160e-01
0.2750 3.123161e-01
0.2900 2.485875e-01
0.3050 2.013768e-01
0.3200 1.655439e-01
0.3350 1.377884e-01
0.3500 1.159156e-01
0.3650 9.842100e-02
0.3800 8.424689e-02
0.3950 7.263256e-02
0.4100 6.302023e-02
0.4250 5.499379e-02
0.4400 4.823800e-02
0.4550 4.251077e-02
0.4700 3.762385e-02
0.4850 3.342922e-02
0.5000 2.980929e-02
0.5250 2.480548e-02
0.5500 2.081025e-02
0.5750 1.754430e-02
0.6000 1.484689e-02
0.6250 1.262038e-02
0.6500 1.077902e-02
0.6750 9.250949e-03
0.7000 7.977392e-03
0.7250 6.910905e-03
0.7500 6.013405e-03
0.7750 5.254374e-03
0.8000 4.586448e-03
0.8250 3.989433e-03
0.8500 3.469899e-03
0.8750 3.024233e-03
0.9000 2.644425e-03
0.9250 2.321311e-03
0.9500 2.046110e-03
0.9750 1.810578e-03
1.0000 1.607273e-03
1.0250 1.439321e-03
1.0500 1.253956e-03
1.0750 1.099831e-03
1.1000 9.695173e-04
1.1250 8.584165e-04
1.1500 7.654703e-04
1.1750 6.846810e-04
1.2000 6.141409e-04
1.2250 5.523009e-04
1.2500 4.979000e-04
1.2750 4.478217e-04
1.3000 4.053365e-04
1.3250 3.677670e-04
1.3500 3.343397e-04
1.3750 3.045242e-04
1.4000 2.778687e-04
1.4250 2.539843e-04
1.4500 2.325379e-04
1.4750 2.132419e-04
1.5000 1.958463e-04
1.5250 1.801353e-04
1.5500 1.659203e-04
1.5750 1.530364e-04
1.6000 1.413401e-04
1.6250 1.307046e-04
1.6500 1.210190e-04
1.6750 1.121854e-04
1.7000 1.041169e-04
1.7250 9.673737e-05
1.7500 8.997873e-05
1.7750 8.378061e-05
1.8000 7.808943e-05
1.8250 7.285725e-05
1.8500 6.804132e-05
1.8750 6.360340e-05
1.9000 5.950910e-05
1.9250 5.572765e-05
1.9500 5.223128e-05
1.9750 4.899496e-05
2.0000 4.599620e-05
2.2000 2.845588e-05
2.4000 1.823404e-05
2.6000 1.197678e-05
2.8000 8.022463e-06
3.0000 5.467826e-06
3.2000 3.789575e-06
3.4000 2.669862e-06
3.6000 1.909237e-06
3.8000 1.382706e-06
4.0000 1.013060e-06
4.2000 7.504792e-07
4.4000 5.625507e-07
4.6000 4.266223e-07
4.8000 3.273019e-07
5.0000 2.539574e-07
5.2000 1.992055e-07
5.4000 1.578882e-07
5.5000 1.410874e-07
5.6000 1.263752e-07
5.8000 1.020907e-07
6.0000 8.319035e-08
6.2000 6.834074e-08
6.4000 5.656873e-08
6.6000 4.715712e-08
6.8000 3.957227e-08
7.0000 3.341344e-08
7.2000 2.837697e-08
7.4000 2.423075e-08
7.6000 2.079591e-08
7.8000 1.793352e-08
8.0000 1.553480e-08
8.5000 1.104655e-08
9.0000 8.037574e-09
9.5000 5.966643e-09
10.0000 4.507749e-09
