flavor,mass_GeV,delta_bc,u2_min,u2_min_bc_lo,u2_min_bc_hi,bc_frac_at_u2min,decay_samples,max_hit_events,seed_salt,source_stage,central_has_sensitivity,bc_down_has_sensitivity,bc_up_has_sensitivity
Ue,1.8,0.4,1.6110315706086752e-08,1.61133489518813e-08,1.6107285531050342e-08,0.001029550485172,50,100000000,,broad_exact50,True,True,True
Ue,2.0,0.4,2.4745361013036747e-08,2.476611964557321e-08,2.4724687622519057e-08,0.0040957793452279,50,100000000,,broad_exact50,True,True,True
Ue,2.2,0.4,2.3085962602483805e-08,2.312198516038453e-08,2.305019138892861e-08,0.0067696921670066,50,100000000,,broad_exact50,True,True,True
Ue,2.4,0.4,2.572059470794257e-08,2.579554064678688e-08,2.5646631176461913e-08,0.0127429197243988,50,100000000,,broad_exact50,True,True,True
Ue,2.6,0.4,3.059081882745214e-08,3.0779513690356286e-08,3.040769910540377e-08,0.0295029352004972,50,100000000,,broad_exact50,True,True,True
Ue,2.8,0.4,4.1761756336804184e-08,4.2567168641433177e-08,4.101766034529195e-08,0.0742124079300394,50,100000000,,broad_exact50,True,True,True
Ue,3.0,0.4,7.37214347391257e-08,7.855626660298537e-08,6.9461022601029e-08,0.1899995184054296,50,100000000,,broad_exact50,True,True,True
Ue,3.2,0.4,1.04701695635471e-07,1.2141134117450982e-07,9.254962478656639e-08,0.2935795233727086,50,100000000,,broad_exact50,True,True,True
Ue,3.4,0.4,1.3246690303848138e-07,1.631041363689012e-07,1.1085874027243989e-07,0.2687614226643282,50,100000000,,broad_exact50,True,True,True
Ue,3.6,0.4,2.638367678493064e-07,3.0880496043570105e-07,2.1625382661954528e-07,0.1314498227321088,200,100000000,,closure_exact200,True,True,True
Ue,3.62,0.4,3.238702119169168e-07,3.614979036100547e-07,2.845454650635769e-07,0.0695341983036824,400,100000000,,endpoint_exact400,True,True,True
Ue,3.63,0.4,,,4.153105539077165e-07,,400,100000000,,endpoint_exact400,False,False,True
Ue,3.64,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Ue,3.65,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Ue,3.675,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Ue,3.685,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Ue,3.7,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Umu,1.8,0.4,1.745252418316164e-08,1.7457204503464592e-08,1.7447849789467182e-08,0.001247988082549,50,100000000,,broad_exact50,True,True,True
Umu,2.0,0.4,2.374297447682845e-08,2.376062377325529e-08,2.372539421547185e-08,0.0039456386040567,50,100000000,,broad_exact50,True,True,True
Umu,2.2,0.4,2.5623173637774413e-08,2.5670003300639143e-08,2.557673792471032e-08,0.0082298132988503,50,100000000,,broad_exact50,True,True,True
Umu,2.4,0.4,2.5928303261767416e-08,2.6006880091851625e-08,2.5850785995458116e-08,0.0130703076501434,50,100000000,,broad_exact50,True,True,True
Umu,2.6,0.4,3.1487424937866324e-08,3.170046981122772e-08,3.1281007309106145e-08,0.0306951665930811,50,100000000,,broad_exact50,True,True,True
Umu,2.8,0.4,4.388911421195509e-08,4.473163697045975e-08,4.297792964093939e-08,0.0806091042628212,50,100000000,,broad_exact50,True,True,True
Umu,3.0,0.4,7.595740687530231e-08,8.218182005988051e-08,7.091502443073386e-08,0.2274329441490437,50,100000000,,broad_exact50,True,True,True
Umu,3.2,0.4,1.1007359009947945e-07,1.3191647156252158e-07,9.521702282093201e-08,0.3344608417169545,50,100000000,,broad_exact50,True,True,True
Umu,3.4,0.4,1.4695947745548545e-07,1.898291265872263e-07,1.1685692297516872e-07,0.2912056177452512,50,100000000,,broad_exact50,True,True,True
Umu,3.6,0.4,2.699034615663798e-07,3.09083830037948e-07,2.260572378846067e-07,0.1256319386638423,200,100000000,,closure_exact200,True,True,True
Umu,3.62,0.4,4.253605957356349e-07,,3.3190232154774365e-07,0.059254671317884,400,100000000,,endpoint_exact400,True,False,True
Umu,3.63,0.4,,,3.469274716313133e-07,,400,100000000,,endpoint_exact400,False,False,True
Umu,3.64,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Umu,3.65,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Umu,3.675,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Umu,3.685,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Umu,3.7,0.4,,,,,200,100000000,,closure_exact200,False,False,False
Utau,1.8,0.4,5.084430614806546e-07,5.381479617387587e-07,4.832967380727286e-07,0.250115805834605,50,100000000,,broad_exact50,True,True,True
Utau,2.0,0.4,4.26034282216808e-07,4.54410224076791e-07,4.012143641265059e-07,0.2756478490048172,50,100000000,,broad_exact50,True,True,True
Utau,2.2,0.4,3.511114593662523e-07,3.804682417979747e-07,3.282697602764171e-07,0.3108794909177154,50,100000000,,broad_exact50,True,True,True
Utau,2.4,0.4,3.202060842599557e-07,3.529383343491028e-07,2.95476990457285e-07,0.3536593458509794,50,100000000,,broad_exact50,True,True,True
Utau,2.6,0.4,3.053733875387847e-07,3.548968162786735e-07,2.710098126431298e-07,0.4755550145959283,50,100000000,,broad_exact50,True,True,True
Utau,2.8,0.4,2.971200983611857e-07,3.509199578140514e-07,2.6037649768191997e-07,0.4604643227033291,50,100000000,,broad_exact50,True,True,True
Utau,3.0,0.4,3.0208566845271786e-07,3.7583889222062033e-07,2.5536603738496834e-07,0.4851071648767024,50,100000000,,broad_exact50,True,True,True
Utau,3.2,0.4,3.012923809301271e-07,3.987588452275715e-07,2.42286015607662e-07,0.502742864604201,50,100000000,,broad_exact50,True,True,True
Utau,3.4,0.4,5.012187051339987e-07,6.004782254558761e-07,3.947351082967628e-07,0.3111989462597905,50,100000000,,broad_exact50,True,True,True
