flavor,mass_GeV,delta_bc,u2_min,u2_min_bc_lo,u2_min_bc_hi,bc_frac_at_u2min,control,has,has_bc_down,has_bc_up,decay_samples,max_hit_events,seed_salt
Ue,3.62,0.4,3.238702119169168e-07,3.614979036100547e-07,2.845454650635769e-07,0.0695341983036824,default,True,True,True,,,
Ue,3.63,0.4,,,4.153105539077165e-07,,default,False,False,True,,,
Umu,3.62,0.4,4.253605957356349e-07,,3.3190232154774365e-07,0.059254671317884,default,True,False,True,,,
Umu,3.63,0.4,,,3.469274716313133e-07,,default,False,False,True,,,
Ue,3.62,0.4,3.234283126347786e-07,3.608560103398322e-07,2.843044199004603e-07,0.0692134248915698,bcClosureA,True,True,True,400.0,100000000.0,bcClosureA
Ue,3.63,0.4,,,4.213542696922887e-07,,bcClosureA,False,False,True,400.0,100000000.0,bcClosureA
Umu,3.62,0.4,4.118269374672639e-07,,3.277749884603011e-07,0.0589571516483136,bcClosureA,True,False,True,400.0,100000000.0,bcClosureA
Umu,3.63,0.4,,,3.490241858449153e-07,,bcClosureA,False,False,True,400.0,100000000.0,bcClosureA
Ue,3.62,0.4,3.290932468376033e-07,3.680027087753703e-07,2.892244245477925e-07,0.069874256481747,bcClosureB,True,True,True,400.0,100000000.0,bcClosureB
Ue,3.63,0.4,,,4.0341413115691353e-07,,bcClosureB,False,False,True,400.0,100000000.0,bcClosureB
Umu,3.62,0.4,4.2617759023904563e-07,,3.333423139602738e-07,0.0580472644732688,bcClosureB,True,False,True,400.0,100000000.0,bcClosureB
Umu,3.63,0.4,,,3.381173003988139e-07,,bcClosureB,False,False,True,400.0,100000000.0,bcClosureB
