flavor,mass_GeV,boundary,u2,channel,N,frac
Ue,0.2,u2_min,3.893636789114528e-07,Kmeson,2.9560695314443777,0.993909975787631
Ue,0.2,u2_min,3.893636789114528e-07,Dmeson,0.013115523965590124,0.004409791437047954
Ue,0.2,u2_min,3.893636789114528e-07,tau,6.607313633376003e-07,2.2215563143946958e-07
Ue,0.2,u2_min,3.893636789114528e-07,induced_tau,0.00028465535436046483,9.570877591028432e-05
Ue,0.2,u2_min,3.893636789114528e-07,Bmeson,0.0036115735593806953,0.0012143080366602188
Ue,0.2,u2_min,3.893636789114528e-07,Bbaryon,0.0010951481640271655,0.00036821822816199534
Ue,0.2,u2_min,3.893636789114528e-07,Bc,4.693931657585656e-06,1.5782259011546998e-06
Ue,0.2,u2_min,3.893636789114528e-07,WZ,5.869639809510851e-07,1.973530561069895e-07
Ue,0.2,peak_u2,0.1,Kmeson,116455865323.71242,0.9934809049712625
Ue,0.2,peak_u2,0.1,Dmeson,544514479.0367177,0.004645233933899627
Ue,0.2,peak_u2,0.1,tau,32477.144669699675,2.770613827620244e-07
Ue,0.2,peak_u2,0.1,induced_tau,11843035.958514523,0.00010103252463039736
Ue,0.2,peak_u2,0.1,Bmeson,157805832.30644062,0.001346236023868378
Ue,0.2,peak_u2,0.1,Bbaryon,49729124.91832459,0.00042423742153265665
Ue,0.2,peak_u2,0.1,Bc,206920.05451582154,1.765227731945104e-06
Ue,0.2,peak_u2,0.1,WZ,36670.61038554179,3.128356917911162e-07
Ue,0.305,u2_min,6.986735927834383e-08,Kmeson,2.841729360519632,0.99661392716978
Ue,0.305,u2_min,6.986735927834383e-08,Dmeson,0.006720109112218835,0.002356788238311749
Ue,0.305,u2_min,6.986735927834383e-08,tau,2.769465468396765e-07,9.71270485840809e-08
Ue,0.305,u2_min,6.986735927834383e-08,induced_tau,0.00015719826747769938,5.513050780690386e-05
Ue,0.305,u2_min,6.986735927834383e-08,Bmeson,0.002190110131984976,0.000768086605957701
Ue,0.305,u2_min,6.986735927834383e-08,Bbaryon,0.0005844643612548687,0.0002049756498467116
Ue,0.305,u2_min,6.986735927834383e-08,Bc,2.4674256110393533e-06,8.653430415933641e-07
Ue,0.305,u2_min,6.986735927834383e-08,WZ,3.68849966987179e-07,1.2935820674644312e-07
Ue,0.305,peak_u2,0.0361234269970943,Kmeson,85683822448.92572,0.9952196413616087
Ue,0.305,peak_u2,0.0361234269970943,Dmeson,265668710.2392848,0.0030857484058083957
Ue,0.305,peak_u2,0.0361234269970943,tau,24247.394052058502,2.816340602314693e-07
Ue,0.305,peak_u2,0.0361234269970943,induced_tau,5782693.008870765,6.716611721918808e-05
Ue,0.305,peak_u2,0.0361234269970943,Bmeson,110462459.24976094,0.0012830240987906198
Ue,0.305,peak_u2,0.0361234269970943,Bbaryon,29433457.31334583,0.0003418703087024512
Ue,0.305,peak_u2,0.0361234269970943,Bc,115305.63381480925,1.3392776868766573e-06
Ue,0.305,peak_u2,0.0361234269970943,WZ,79965.06382305261,9.287961235258168e-07
Ue,0.5,u2_min,3.5164383023838325e-07,Kmeson,0.0,0.0
Ue,0.5,u2_min,3.5164383023838325e-07,Dmeson,2.3996946605198244,0.7532510333160075
Ue,0.5,u2_min,3.5164383023838325e-07,tau,5.549679081378655e-05,1.7420139201023025e-05
Ue,0.5,u2_min,3.5164383023838325e-07,induced_tau,0.027873573427047355,0.008749362296611895
Ue,0.5,u2_min,3.5164383023838325e-07,Bmeson,0.625211806431372,0.1962505676175413
Ue,0.5,u2_min,3.5164383023838325e-07,Bbaryon,0.13222430213154765,0.041504485486708216
Ue,0.5,u2_min,3.5164383023838325e-07,Bc,0.0006022005138996875,0.00018902744870887418
Ue,0.5,u2_min,3.5164383023838325e-07,WZ,0.00012139012085475898,3.810369522112243e-05
Ue,0.5,peak_u2,0.0047137531341167,Kmeson,0.0,0.0
Ue,0.5,peak_u2,0.0047137531341167,Dmeson,35575130.01228766,0.703008757272978
Ue,0.5,peak_u2,0.0047137531341167,tau,2425.4793861331514,4.793048538256188e-05
Ue,0.5,peak_u2,0.0047137531341167,induced_tau,361200.1027964081,0.007137762681571883
Ue,0.5,peak_u2,0.0047137531341167,Bmeson,11858782.630698342,0.2343442746969041
Ue,0.5,peak_u2,0.0047137531341167,Bbaryon,2779082.091761212,0.054918114059283055
Ue,0.5,peak_u2,0.0047137531341167,Bc,11205.539822928431,0.00022143538541584694
Ue,0.5,peak_u2,0.0047137531341167,WZ,16280.627334624294,0.0003217254184646816
Ue,0.8,u2_min,1.0688204546935033e-07,Kmeson,0.0,0.0
Ue,0.8,u2_min,1.0688204546935033e-07,Dmeson,2.3752814250240495,0.7950897976123218
Ue,0.8,u2_min,1.0688204546935033e-07,tau,1.957747169291576e-05,6.553264738271487e-06
Ue,0.8,u2_min,1.0688204546935033e-07,induced_tau,0.016322234996944417,0.005463623124224068
Ue,0.8,u2_min,1.0688204546935033e-07,Bmeson,0.4794450264741138,0.16048702484240485
Ue,0.8,u2_min,1.0688204546935033e-07,Bbaryon,0.11568063060471007,0.03872235441500724
Ue,0.8,u2_min,1.0688204546935033e-07,Bc,0.0005818077412399217,0.00019475140686836626
Ue,0.8,u2_min,1.0688204546935033e-07,WZ,0.00010723508386758783,3.589533443531117e-05
Ue,0.8,peak_u2,0.0004768611697714,Kmeson,0.0,0.0
Ue,0.8,peak_u2,0.0004768611697714,Dmeson,3536744.2830118174,0.7490435370552857
Ue,0.8,peak_u2,0.0004768611697714,tau,87.61093699679739,1.855503278764744e-05
Ue,0.8,peak_u2,0.0004768611697714,induced_tau,22232.069612985008,0.004708507804468256
Ue,0.8,peak_u2,0.0004768611697714,Bmeson,912364.3420209782,0.1932287321741402
Ue,0.8,peak_u2,0.0004768611697714,Bbaryon,247440.55648536904,0.052405188164436414
Ue,0.8,peak_u2,0.0004768611697714,Bc,1208.1908659086052,0.00025588153601747017
Ue,0.8,peak_u2,0.0004768611697714,WZ,1603.4743632201134,0.0003395982328643387
Ue,0.8,u2_max,0.0552359394480474,Kmeson,0.0,0.0
Ue,0.8,u2_max,0.0552359394480474,Dmeson,3.2033757852189945e-18,1.2910123661035191e-18
Ue,0.8,u2_max,0.0552359394480474,tau,0.00015451503435642564,6.227206343492366e-05
Ue,0.8,u2_max,0.0552359394480474,induced_tau,1.2956949056617172e-18,5.221860493623772e-19
Ue,0.8,u2_max,0.0552359394480474,Bmeson,6.162835247680986e-06,2.4837225004093222e-06
Ue,0.8,u2_max,0.0552359394480474,Bbaryon,0.0008160746735582816,0.00032889132148934214
Ue,0.8,u2_max,0.0552359394480474,Bc,2.560869646948289e-09,1.0320719777693444e-09
Ue,0.8,u2_max,0.0552359394480474,WZ,2.480313021296246,0.9996063518605034
Ue,1.0,u2_min,5.55409417409078e-08,Kmeson,0.0,0.0
Ue,1.0,u2_min,5.55409417409078e-08,Dmeson,2.2984339656493957,0.7950811322763327
Ue,1.0,u2_min,5.55409417409078e-08,tau,1.1352233854320361e-05,3.926998591934127e-06
Ue,1.0,u2_min,5.55409417409078e-08,induced_tau,0.00789962622572774,0.0027326622639501606
Ue,1.0,u2_min,5.55409417409078e-08,Bmeson,0.4714625447113796,0.1630897295624915
Ue,1.0,u2_min,5.55409417409078e-08,Bbaryon,0.11231681285517515,0.03885296687796322
Ue,1.0,u2_min,5.55409417409078e-08,Bc,0.0005653649681516109,0.00019557273593472652
Ue,1.0,u2_min,5.55409417409078e-08,WZ,0.00012722278360580188,4.400928473577807e-05
Ue,1.0,peak_u2,0.0001335451562929,Kmeson,0.0,0.0
Ue,1.0,peak_u2,0.0001335451562929,Dmeson,897365.1851234837,0.7733667829110987
Ue,1.0,peak_u2,0.0001335451562929,tau,11.590008149111691,9.988494611542692e-06
Ue,1.0,peak_u2,0.0001335451562929,induced_tau,2508.902921614388,0.0021622213712895236
Ue,1.0,peak_u2,0.0001335451562929,Bmeson,206250.5660111511,0.17775075226223291
Ue,1.0,peak_u2,0.0001335451562929,Bbaryon,53352.703982025705,0.04598039875205272
Ue,1.0,peak_u2,0.0001335451562929,Bc,335.71579739338557,0.0002893264085867447
Ue,1.0,peak_u2,0.0001335451562929,WZ,511.1625096645848,0.00044052980012776526
Ue,1.0,u2_max,0.0112366365307634,Kmeson,0.0,0.0
Ue,1.0,u2_max,0.0112366365307634,Dmeson,5.50560216757796e-13,2.155289648733992e-13
Ue,1.0,u2_max,0.0112366365307634,tau,0.001048581521305002,0.0004104904113906648
Ue,1.0,u2_max,0.0112366365307634,induced_tau,2.0707973309448926e-12,8.106593822370124e-13
Ue,1.0,u2_max,0.0112366365307634,Bmeson,1.0443279714751923e-07,4.088252653013686e-08
Ue,1.0,u2_max,0.0112366365307634,Bbaryon,4.966471372583028e-07,1.9442349836132305e-07
Ue,1.0,u2_max,0.0112366365307634,Bc,8.915918418637155e-07,3.490333317181748e-07
Ue,1.0,u2_max,0.0112366365307634,WZ,2.5534103765432166,0.9995889252482265
Ue,1.4,u2_min,2.1822168616568443e-08,Kmeson,0.0,0.0
Ue,1.4,u2_min,2.1822168616568443e-08,Dmeson,2.326401470208819,0.79746535800366
Ue,1.4,u2_min,2.1822168616568443e-08,tau,7.053288030408491e-07,2.417791140652846e-07
Ue,1.4,u2_min,2.1822168616568443e-08,induced_tau,0.0005841755961269339,0.00020024910010934226
Ue,1.4,u2_min,2.1822168616568443e-08,Bmeson,0.48549761599737484,0.16642335173409153
Ue,1.4,u2_min,2.1822168616568443e-08,Bbaryon,0.10377793719522221,0.03557395870749717
Ue,1.4,u2_min,2.1822168616568443e-08,Bc,0.0008356642529532904,0.0002864567019863684
Ue,1.4,u2_min,2.1822168616568443e-08,WZ,0.00014698237226897165,5.038397354141183e-05
Ue,1.4,peak_u2,1.742633386009651e-05,Kmeson,0.0,0.0
Ue,1.4,peak_u2,1.742633386009651e-05,Dmeson,126828.65302641976,0.7882519364837747
Ue,1.4,peak_u2,1.742633386009651e-05,tau,0.0763207090465016,4.7434034237663677e-07
Ue,1.4,peak_u2,1.742633386009651e-05,induced_tau,28.45810739495145,0.00017686979816824872
Ue,1.4,peak_u2,1.742633386009651e-05,Bmeson,27439.301362806716,0.17053782342455928
Ue,1.4,peak_u2,1.742633386009651e-05,Bbaryon,6472.823835257638,0.04022920531685628
Ue,1.4,peak_u2,1.742633386009651e-05,Bc,62.579168481583636,0.0003889353829917055
Ue,1.4,peak_u2,1.742633386009651e-05,WZ,66.73355012264062,0.00041475525330739556
Ue,1.4,u2_max,0.0012611275906186,Kmeson,0.0,0.0
Ue,1.4,u2_max,0.0012611275906186,Dmeson,0.044756380162525436,0.017093577923194363
Ue,1.4,u2_max,0.0012611275906186,tau,0.00015046301207500616,5.7465577245591224e-05
Ue,1.4,u2_max,0.0012611275906186,induced_tau,6.437567634963682e-07,2.4586676492712264e-07
Ue,1.4,u2_max,0.0012611275906186,Bmeson,4.272409117997727e-06,1.6317396070249885e-06
Ue,1.4,u2_max,0.0012611275906186,Bbaryon,1.8482428031811051e-09,7.058900264595645e-10
Ue,1.4,u2_max,0.0012611275906186,Bc,2.805024696091714e-06,1.071308895961053e-06
Ue,1.4,u2_max,0.0012611275906186,WZ,2.5734009417292008,0.9828460068784021
Ue,1.8,u2_min,2.0692552791670912e-08,Kmeson,0.0,0.0
Ue,1.8,u2_min,2.0692552791670912e-08,Dmeson,1.7731467055070316,0.6036001955198838
Ue,1.8,u2_min,2.0692552791670912e-08,tau,0.0,0.0
Ue,1.8,u2_min,2.0692552791670912e-08,induced_tau,0.0,0.0
Ue,1.8,u2_min,2.0692552791670912e-08,Bmeson,0.9405302656219455,0.32016767166450527
Ue,1.8,u2_min,2.0692552791670912e-08,Bbaryon,0.22027802975567037,0.07498525723580075
Ue,1.8,u2_min,2.0692552791670912e-08,Bc,0.003089832924056426,0.001051815820592763
Ue,1.8,u2_min,2.0692552791670912e-08,WZ,0.000573011029486598,0.00019505975921730567
Ue,1.8,peak_u2,4.880251583654434e-06,Kmeson,0.0,0.0
Ue,1.8,peak_u2,4.880251583654434e-06,Dmeson,6434.443498099356,0.5889556925785573
Ue,1.8,peak_u2,4.880251583654434e-06,tau,0.0,0.0
Ue,1.8,peak_u2,4.880251583654434e-06,induced_tau,0.0,0.0
Ue,1.8,peak_u2,4.880251583654434e-06,Bmeson,3548.9554858491138,0.32484200641689437
Ue,1.8,peak_u2,4.880251583654434e-06,Bbaryon,903.4922169246095,0.08269819830034243
Ue,1.8,peak_u2,4.880251583654434e-06,Bc,17.05249633915528,0.0015608443518988272
Ue,1.8,peak_u2,4.880251583654434e-06,WZ,21.23043588454984,0.0019432583523071034
Ue,1.8,u2_max,0.0002331649143645,Kmeson,0.0,0.0
Ue,1.8,u2_max,0.0002331649143645,Dmeson,0.18361573585400864,0.0740133755133291
Ue,1.8,u2_max,0.0002331649143645,tau,0.0,0.0
Ue,1.8,u2_max,0.0002331649143645,induced_tau,0.0,0.0
Ue,1.8,u2_max,0.0002331649143645,Bmeson,0.0006441689542644647,0.0002596570412892718
Ue,1.8,u2_max,0.0002331649143645,Bbaryon,1.6143908202052033e-07,6.507422332044668e-08
Ue,1.8,u2_max,0.0002331649143645,Bc,0.0003607480316989481,0.00014541335148452464
Ue,1.8,u2_max,0.0002331649143645,WZ,2.296224500240363,0.9255814890196737
Ue,2.0,u2_min,3.11931332391825e-08,Kmeson,0.0,0.0
Ue,2.0,u2_min,3.11931332391825e-08,Dmeson,0.0,0.0
Ue,2.0,u2_min,3.11931332391825e-08,tau,0.0,0.0
Ue,2.0,u2_min,3.11931332391825e-08,induced_tau,0.0,0.0
Ue,2.0,u2_min,3.11931332391825e-08,Bmeson,2.378588996489546,0.8020905511228585
Ue,2.0,u2_min,3.11931332391825e-08,Bbaryon,0.5716197863669685,0.1927574835990912
Ue,2.0,u2_min,3.11931332391825e-08,Bc,0.012934218998639313,0.004361583636464094
Ue,2.0,u2_min,3.11931332391825e-08,WZ,0.002343866379017079,0.0007903816415861446
Ue,2.0,peak_u2,2.58261876068268e-06,Kmeson,0.0,0.0
Ue,2.0,peak_u2,2.58261876068268e-06,Dmeson,0.0,0.0
Ue,2.0,peak_u2,2.58261876068268e-06,tau,0.0,0.0
Ue,2.0,peak_u2,2.58261876068268e-06,induced_tau,0.0,0.0
Ue,2.0,peak_u2,2.58261876068268e-06,Bmeson,1238.3837259403151,0.7971266807064025
Ue,2.0,peak_u2,2.58261876068268e-06,Bbaryon,294.63277199383873,0.18965013722902735
Ue,2.0,peak_u2,2.58261876068268e-06,Bc,9.70156170395954,0.006244731351644339
Ue,2.0,peak_u2,2.58261876068268e-06,WZ,10.84143838656321,0.006978450712925966
Ue,2.0,u2_max,0.0001086416010838,Kmeson,0.0,0.0
Ue,2.0,u2_max,0.0001086416010838,Dmeson,0.0,0.0
Ue,2.0,u2_max,0.0001086416010838,tau,0.0,0.0
Ue,2.0,u2_max,0.0001086416010838,induced_tau,0.0,0.0
Ue,2.0,u2_max,0.0001086416010838,Bmeson,0.20228760613192326,0.07604093421585768
Ue,2.0,u2_max,0.0001086416010838,Bbaryon,0.019829224983272557,0.007453905957644912
Ue,2.0,u2_max,0.0001086416010838,Bc,3.076099706369874e-05,1.156321437018465e-05
Ue,2.0,u2_max,0.0001086416010838,WZ,2.4380986057801635,0.9164935966121273
Ue,2.4,u2_min,3.0939329954115414e-08,Kmeson,0.0,0.0
Ue,2.4,u2_min,3.0939329954115414e-08,Dmeson,0.0,0.0
Ue,2.4,u2_min,3.0939329954115414e-08,tau,0.0,0.0
Ue,2.4,u2_min,3.0939329954115414e-08,induced_tau,0.0,0.0
Ue,2.4,u2_min,3.0939329954115414e-08,Bmeson,2.342766143611191,0.7785488510512134
Ue,2.4,u2_min,3.0939329954115414e-08,Bbaryon,0.6180702800586293,0.20539732816303147
Ue,2.4,u2_min,3.0939329954115414e-08,Bc,0.04086422320024768,0.013580012716341011
Ue,2.4,u2_min,3.0939329954115414e-08,WZ,0.007444046424306339,0.002473808069414133
Ue,2.4,peak_u2,1.059560179277617e-06,Kmeson,0.0,0.0
Ue,2.4,peak_u2,1.059560179277617e-06,Dmeson,0.0,0.0
Ue,2.4,peak_u2,1.059560179277617e-06,tau,0.0,0.0
Ue,2.4,peak_u2,1.059560179277617e-06,induced_tau,0.0,0.0
