u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,u2_max_dm_lo,u2_min_dm_lo,u2_max_dm_hi,u2_min_dm_hi,width_delta,had_frac,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator,event_chunk,seed_salt
8.546138052120121e-09,,False,True,601355780137.8458,0.0148202070579886,True,,8.342233465777124e-09,,8.761324558010716e-09,0.05,0.9070124750079376,0.305,Ue,862956,7016,7016,50,exact,1000,
1.316367318938852e-07,,False,True,95951346.3359082,0.0032176417502507355,True,,1.2847707907338764e-07,,1.352142827407076e-07,0.05,0.8076555415641921,0.5,Ue,762956,6019,6019,50,exact,1000,
5.6389136072060474e-08,0.055112191324046635,False,False,8586883.937744297,0.0003696912707195032,True,0.05210197049406205,5.488341954312192e-08,0.058409430172847804,5.779120402678557e-08,0.05,0.661807364825635,0.8,Ue,762956,5683,5683,50,exact,1000,
3.0943878428908874e-08,0.011284037362303307,False,False,2200525.3581369193,0.00010353218432956616,True,0.010766351727019775,3.019876348281097e-08,0.011963506906440135,3.1797047055866033e-08,0.05,0.6898069949589161,1.0,Ue,762956,5624,5624,50,exact,1000,
1.9104339011063983e-08,0.0035070659614578614,False,False,822010.075936707,3.739937302478802e-05,True,0.003172829688986295,1.8315101856104685e-08,0.00388065909177109,2.0100549968606465e-08,0.0875,0.6802209739304064,1.2,Ue,762956,5556,5556,50,exact,1000,
1.5003864231083343e-08,0.0012631935003753684,False,False,246034.48653183397,1.742633386009651e-05,True,0.0011078967307912506,1.415786355091678e-08,0.0014610385480419265,1.6109851805628798e-08,0.125,0.6733643632294349,1.4,Ue,762956,5644,5644,50,exact,1000,
1.2813231478850568e-08,0.0005155688778917965,False,False,87011.63398077688,8.119844993184025e-06,True,0.0004324609893238801,1.190919267462002e-08,0.0006259487896070173,1.4017740865321798e-08,0.1625,0.6686945078414731,1.6,Ue,762956,5518,5518,50,exact,1000,
1.6093407860552974e-08,0.00023392996081012446,False,False,15410.517719449103,4.297004704320844e-06,True,0.00018934831143795438,1.4763819582904532e-08,0.0003026281020378581,1.780809543315407e-08,0.2,0.6669108069964252,1.8,Ue,499999,3930,3930,50,exact,1000,
2.449714639759941e-08,0.00011037340620087229,False,False,2099.657802299972,2.58261876068268e-06,True,8.867969867972315e-05,2.2750925250127402e-08,0.00014374716148552003,2.6852968427517896e-08,0.2,0.6678804597329215,2.0,Ue,399999,3070,3070,50,exact,1000,
2.3516059953598837e-08,5.342790470963181e-05,False,False,898.0459822021421,1.552225357427048e-06,True,4.246514294470382e-05,2.184031342836819e-08,7.000885135276136e-05,2.5539486792780732e-08,0.2,0.6707490223120968,2.2,Ue,399999,3134,3134,50,exact,1000,
2.5907459269323283e-08,2.8076702612157505e-05,False,False,300.78119146822223,9.329304026284696e-07,True,2.2208752556908776e-05,2.4170367318891988e-08,3.7066501502223606e-05,2.8029620944168262e-08,0.2,0.6744729096244784,2.4,Ue,399999,3042,3042,50,exact,1000,
3.0619505107346547e-08,1.4945943928410738e-05,False,False,93.34444338577039,6.368249944718587e-07,True,1.1691077817952035e-05,2.8726866140761275e-08,2.0050937031630612e-05,3.297298026146292e-08,0.2,0.6782656891456377,2.6,Ue,399999,3048,3048,50,exact,1000,
