flavor,mass_GeV,has_sensitivity,u2_min_central,u2_min_open,u2_min_n_members_expected,u2_min_n_members_sensitive,u2_min_n_members_finite,u2_min_n_members_open,u2_min_topology_changed,u2_min_band_lo,u2_min_band_hi,u2_min_scale_up_dex,u2_min_scale_dn_dex,u2_min_pdf_sigma_dex,u2_min_mass_dev_dex,u2_max_central,u2_max_open,u2_max_n_members_expected,u2_max_n_members_sensitive,u2_max_n_members_finite,u2_max_n_members_open,u2_max_topology_changed,u2_max_band_lo,u2_max_band_hi,u2_max_scale_up_dex,u2_max_scale_dn_dex,u2_max_pdf_sigma_dex,u2_max_mass_dev_dex
Ue,0.305,True,8.550636040930045e-09,False,110,110,110,0,False,8.380773107373742e-09,8.742610628677507e-09,0.005949558339745309,0.004284269562580434,0.002560865668891005,0.007143296552083113,,True,110,110,0,110,False,,,,,,
Ue,0.5,True,1.3151734549151425e-07,False,110,110,110,0,False,9.46197083321531e-08,2.5967249642705336e-07,0.29145411565403023,0.1345674265243355,0.028238263081477123,0.03928889270264871,,True,110,110,0,110,False,,,,,,
Ue,0.7,True,7.251123764488126e-08,False,110,110,110,0,False,4.967575834223049e-08,1.4041475881056532e-07,0.2828573628551547,0.1568968809820248,0.0265810743033857,0.04072382152714584,,True,110,110,0,110,False,,,,,,
Ue,0.9,True,3.9708308039872845e-08,False,110,110,110,0,False,2.7346750541587698e-08,7.59926348684684e-08,0.2782425975587808,0.15554104038067873,0.026452604296944435,0.03665183136125934,0.0242591235768686,False,110,110,110,0,False,0.02419589385429784,0.024351469372213,0.0012046822228732879,0.00011498933704712222,0.0007053346174494717,0.0008797489007782867
Ue,1.0,True,2.992270842529672e-08,False,110,110,110,0,False,2.13626816660881e-08,5.5925839192805907e-08,0.26745046398882266,0.1384694269604756,0.027089935253667582,0.038849077219747535,0.0112644079674379,False,110,110,110,0,False,0.011220326539991728,0.0113357473559819,0.002195499606876705,0.0004501174561615251,0.0006022939596601269,0.0015278806400285377
Ue,1.2,True,1.9602168440881463e-08,False,110,110,110,0,False,1.3340170285651108e-08,3.7287185888250706e-08,0.2759489443598033,0.16155769023290656,0.026710709628298867,0.033501453652056846,0.0034924308701672,False,110,110,110,0,False,0.0034209095601381366,0.0035640833644377005,0.0024966561851926805,0.0030319168842347644,0.008265523011605583,0.0018002390064718586
Ue,1.4,True,1.4724055937223437e-08,False,110,110,110,0,False,9.775633542087739e-09,2.7008252207590593e-08,0.2605632278581673,0.17354961932839608,0.02505988531423929,0.02991206921834859,0.0012600933960886,False,110,110,110,0,False,0.0012543402455988332,0.0012658303909907497,0.0007546668534428314,0.0007920378487513702,0.0010544998026191718,0.0014867347178175124
Ue,1.6,True,1.2933208075770377e-08,False,110,110,110,0,False,8.692133280124e-09,2.410063489100901e-08,0.2668691339120821,0.1671192699658377,0.026706796248994715,0.03378926355266781,0.0005567611415506,False,110,110,110,0,False,0.0004955619183773021,0.0006357798881723603,0.04293920988235911,0.03284930664332153,0.015966924816063835,0.03497721414965159
Ue,1.8,True,1.6562421587260467e-08,False,110,110,110,0,False,1.2357373941988223e-08,2.7230128404167443e-08,0.2121569130129286,0.12068894932301877,0.020640883656349366,0.0344582740408977,0.0002265018498337,False,110,110,110,0,False,0.0002210575607607393,0.00024476113927964443,0.0322046628860595,0.0038822405784859626,0.008867247137885465,0.004236568930728817
Ue,2.0,True,2.3875929272143555e-08,False,110,110,110,0,False,1.9578671907514588e-08,3.160659073589087e-08,0.1149058821992135,0.07609451446214877,0.010851403496727164,0.03896609708351306,0.0001064770376737,False,110,110,110,0,False,0.00010529817350912777,0.00010796620104437989,0.00375780430828776,0.0010564842489864112,0.004541104681620096,0.0012808645212074588
