flavor,mass_GeV,u2_min_desc1p0,u2_min_desc1p5,u2_min_desc3p0
Ue,0.2,8.038506811329134e-08,6.764778590895235e-08,5.200158354190082e-08
Ue,0.215,5.7955925799068667e-08,4.8884239274504693e-08,3.7625187155783306e-08
Ue,0.23,4.2987709722389466e-08,3.6206516657341685e-08,2.7924510887815323e-08
Ue,0.245,3.351298284544039e-08,2.8219510873947578e-08,2.1788234135319752e-08
Ue,0.26,2.764977767098553e-08,2.3371751323871947e-08,1.79875315954608e-08
Ue,0.275,2.354681499195916e-08,1.986199632278099e-08,1.5366097621337198e-08
Ue,0.29,1.9725971708215882e-08,1.663001383284781e-08,1.2836625428602277e-08
Ue,0.305,1.7372544731320547e-08,1.4642658070240302e-08,1.129287298928394e-08
Ue,0.32,1.5862029715874236e-08,1.333271687869298e-08,1.0290560112811452e-08
Ue,0.335,1.4271039941792297e-08,1.2054495012802511e-08,9.323143457867151e-09
Ue,0.35,1.3674166054600922e-08,1.1508869106809565e-08,8.873762485205234e-09
Ue,0.365,1.2772780040374301e-08,1.0797073103885448e-08,8.315449663390792e-09
Ue,0.38,1.2658493232914412e-08,1.0684626891030088e-08,8.226651852879813e-09
Ue,0.395,1.2447018085694616e-08,1.0475115544283964e-08,8.068972434427446e-09
Ue,0.41,1.3275900115237748e-08,1.1200573428691016e-08,8.637516234461627e-09
Ue,0.425,1.4105955803210384e-08,1.1863170418647336e-08,9.128708648409614e-09
Ue,0.44,1.5724043742395996e-08,1.3232517777506514e-08,1.02175577195806e-08
Ue,0.455,1.942300603119835e-08,1.6394522973706998e-08,1.2629887001307642e-08
Ue,0.47,2.7984747551688908e-08,2.3721691834325104e-08,1.83358106516159e-08
Ue,0.485,6.223932742696812e-08,5.400742233621046e-08,4.298139298261498e-08
Umu,0.2,5.254782304646375e-07,4.449383803998517e-07,3.444417158279258e-07
Umu,0.215,4.0770846612306514e-07,3.434844831236508e-07,2.633231844665201e-07
Umu,0.23,2.929502468500485e-07,2.464075414610583e-07,1.899695125245537e-07
Umu,0.245,2.2303077360203307e-07,1.884951937320867e-07,1.4594104420738005e-07
Umu,0.26,4.4410762495277035e-08,3.735646128858585e-08,2.8795505022644516e-08
Umu,0.275,3.2133831724350585e-08,2.7171854833978545e-08,2.1039866858533152e-08
Umu,0.29,2.6051232666334364e-08,2.191574042704451e-08,1.6902171463744573e-08
Umu,0.305,2.171960958099217e-08,1.836853483677981e-08,1.4203181825026076e-08
Umu,0.32,1.8821629932890082e-08,1.5956039666817615e-08,1.2366628705123902e-08
Umu,0.335,1.6969096747930938e-08,1.4338797303946255e-08,1.1090003302278988e-08
Umu,0.35,1.6269475052752578e-08,1.3741870721019536e-08,1.0624205519264025e-08
Umu,0.365,1.7056012860040853e-08,1.4394421502324141e-08,1.1106005098248642e-08
Umu,0.38,1.9881397009248993e-08,1.6755415310135393e-08,1.293717875930508e-08
