flavor,mass_GeV,channel,status,central_rows,variation_rows,mass_label,rows,central_hits,variation_hits,common_hits,xor_hits,false_hits,missed_hits,xor_per_row,xor_per_variation_hit,missed_per_variation_hit,entry_absdiff_m_median,entry_absdiff_m_p90,entry_absdiff_m_max,exit_absdiff_m_median,exit_absdiff_m_p90,exit_absdiff_m_max,path_absdiff_m_median,path_absdiff_m_p90,path_absdiff_m_max
Ue,0.305,ALL,length_mismatch,862956.0,862957.0,,,,,,,,,,,,,,,,,,,,
Ue,0.5,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,0.7,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,0.9,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.0,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.2,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.4,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.6,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.8,ALL,ok,,,1p800,499999.0,3925.0,4026.0,1650.0,4651.0,2275.0,2376.0,0.009302018604037208,1.1552409339294585,0.5901639344262295,0.0,0.0,2.3058589219465233,0.0,0.0,3.8345289191537333,0.0,0.0,3.45269605858806
Ue,1.8,Bmeson,ok,,,1p800,99999.0,745.0,780.0,20.0,1485.0,725.0,760.0,0.014850148501485015,1.9038461538461537,0.9743589743589743,0.42547705777280065,1.1356352347498258,1.989359715504314,0.3270070024230858,1.7210259164881994,2.555221764494629,0.7171039640133738,2.4027771231700754,2.9050235379401386
Ue,1.8,Dmeson,ok,,,1p800,100000.0,780.0,873.0,10.0,1633.0,770.0,863.0,0.01633,1.870561282932417,0.9885452462772051,0.8759502711627469,1.8711696834422376,1.9988782805675314,0.724057833954074,1.5712296041163873,1.7018416263069476,0.260135658198287,1.9284559380544448,2.4151691256446384
Ue,1.8,Bc,ok,,,1p800,100000.0,808.0,808.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ue,1.8,Bbaryon,ok,,,1p800,100000.0,810.0,783.0,30.0,1533.0,780.0,753.0,0.01533,1.9578544061302683,0.9616858237547893,0.39188198817849873,1.1824533545085394,2.3058589219465233,0.5668140053936739,1.7877267757502975,3.8345289191537333,0.3470232690072237,1.8698557525972295,3.45269605858806
Ue,1.8,WZ,ok,,,1p800,100000.0,782.0,782.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ue,2.0,ALL,ok,,,2p000,399999.0,3086.0,3135.0,1686.0,2849.0,1400.0,1449.0,0.007122517806294516,0.9087719298245615,0.46220095693779906,0.0,0.0,3.038229097392641,0.0,0.0,5.058468373342862,0.0,0.0,4.894044511115062
Ue,2.0,Bmeson,ok,,,2p000,99999.0,739.0,788.0,36.0,1455.0,703.0,752.0,0.014550145501455015,1.8464467005076142,0.9543147208121827,0.4171096589530343,1.9143417293778722,3.038229097392641,0.5754751851702231,2.388334177987291,5.058468373342862,0.5373609417395411,2.475873276858792,4.894044511115062
Ue,2.0,Bc,ok,,,2p000,100000.0,826.0,826.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ue,2.0,Bbaryon,ok,,,2p000,100000.0,722.0,722.0,25.0,1394.0,697.0,697.0,0.01394,1.9307479224376731,0.9653739612188366,0.3137914478067465,0.8052617324120883,2.489474397680759,0.427070599779789,1.495856387200049,1.9003721723987894,0.36317349197707927,2.0625605971805263,2.730762729044759
Ue,2.0,WZ,ok,,,2p000,100000.0,799.0,799.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ue,2.2,ALL,ok,,,2p200,399999.0,3106.0,3043.0,1673.0,2803.0,1433.0,1370.0,0.007007517518793797,0.9211304633585278,0.4502136049950706,0.0,0.0,2.428607581323522,0.0,0.0,4.258004372174135,0.0,0.0,3.3422943229183986
Ue,2.2,Bmeson,ok,,,2p200,99999.0,768.0,717.0,29.0,1427.0,739.0,688.0,0.014270142701427015,1.99023709902371,0.9595536959553695,0.7764131853457634,1.5144834897550261,2.428607581323522,0.9113034967735487,3.195384667222412,3.9088009214161907,0.9894113821816362,2.6020385765329137,3.3422943229183986
Ue,2.2,Bc,ok,,,2p200,100000.0,815.0,815.0,815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ue,2.2,Bbaryon,ok,,,2p200,100000.0,718.0,706.0,24.0,1376.0,694.0,682.0,0.01376,1.9490084985835694,0.9660056657223796,0.3190465143984387,1.2005097490191092,2.4108000849890026,0.3056635891680912,3.1091109217349775,4.258004372174135,0.5042844844696734,2.8349869777167425,3.228815356635458
