# Job started on: Fri Feb 20 08:44:32 CET 2026 ..
# FONLL heavy quark hadroproduction cross section, calculated on Fri Feb 20 08:44:49 CET 2026
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 7000, ebeam2 = 7000
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -3
# ymax  = 3
# cross section is ds/dpt/dy (pb/GeV)
# pt         y       central
   0.0000   -3.0000 0.0000e+00
   0.0000   -2.9394 0.0000e+00
   0.0000   -2.8788 0.0000e+00
   0.0000   -2.8182 0.0000e+00
   0.0000   -2.7576 0.0000e+00
   0.0000   -2.6970 0.0000e+00
   0.0000   -2.6364 0.0000e+00
   0.0000   -2.5758 0.0000e+00
   0.0000   -2.5152 0.0000e+00
   0.0000   -2.4545 0.0000e+00
   0.0000   -2.3939 0.0000e+00
   0.0000   -2.3333 0.0000e+00
   0.0000   -2.2727 0.0000e+00
   0.0000   -2.2121 0.0000e+00
   0.0000   -2.1515 0.0000e+00
   0.0000   -2.0909 0.0000e+00
   0.0000   -2.0303 0.0000e+00
   0.0000   -1.9697 0.0000e+00
   0.0000   -1.9091 0.0000e+00
   0.0000   -1.8485 0.0000e+00
   0.0000   -1.7879 0.0000e+00
   0.0000   -1.7273 0.0000e+00
   0.0000   -1.6667 0.0000e+00
   0.0000   -1.6061 0.0000e+00
   0.0000   -1.5455 0.0000e+00
   0.0000   -1.4848 0.0000e+00
   0.0000   -1.4242 0.0000e+00
   0.0000   -1.3636 0.0000e+00
   0.0000   -1.3030 0.0000e+00
   0.0000   -1.2424 0.0000e+00
   0.0000   -1.1818 0.0000e+00
   0.0000   -1.1212 0.0000e+00
   0.0000   -1.0606 0.0000e+00
   0.0000   -1.0000 0.0000e+00
   0.0000   -0.9394 0.0000e+00
   0.0000   -0.8788 0.0000e+00
   0.0000   -0.8182 0.0000e+00
   0.0000   -0.7576 0.0000e+00
   0.0000   -0.6970 0.0000e+00
   0.0000   -0.6364 0.0000e+00
   0.0000   -0.5758 0.0000e+00
   0.0000   -0.5152 0.0000e+00
   0.0000   -0.4545 0.0000e+00
   0.0000   -0.3939 0.0000e+00
   0.0000   -0.3333 0.0000e+00
   0.0000   -0.2727 0.0000e+00
   0.0000   -0.2121 0.0000e+00
   0.0000   -0.1515 0.0000e+00
   0.0000   -0.0909 0.0000e+00
   0.0000   -0.0303 0.0000e+00
   0.0000    0.0303 0.0000e+00
   0.0000    0.0909 0.0000e+00
   0.0000    0.1515 0.0000e+00
   0.0000    0.2121 0.0000e+00
   0.0000    0.2727 0.0000e+00
   0.0000    0.3333 0.0000e+00
   0.0000    0.3939 0.0000e+00
   0.0000    0.4545 0.0000e+00
   0.0000    0.5152 0.0000e+00
   0.0000    0.5758 0.0000e+00
   0.0000    0.6364 0.0000e+00
   0.0000    0.6970 0.0000e+00
   0.0000    0.7576 0.0000e+00
   0.0000    0.8182 0.0000e+00
   0.0000    0.8788 0.0000e+00
   0.0000    0.9394 0.0000e+00
   0.0000    1.0000 0.0000e+00
   0.0000    1.0606 0.0000e+00
   0.0000    1.1212 0.0000e+00
   0.0000    1.1818 0.0000e+00
   0.0000    1.2424 0.0000e+00
   0.0000    1.3030 0.0000e+00
   0.0000    1.3636 0.0000e+00
   0.0000    1.4242 0.0000e+00
   0.0000    1.4848 0.0000e+00
   0.0000    1.5455 0.0000e+00
   0.0000    1.6061 0.0000e+00
   0.0000    1.6667 0.0000e+00
   0.0000    1.7273 0.0000e+00
   0.0000    1.7879 0.0000e+00
   0.0000    1.8485 0.0000e+00
   0.0000    1.9091 0.0000e+00
   0.0000    1.9697 0.0000e+00
   0.0000    2.0303 0.0000e+00
   0.0000    2.0909 0.0000e+00
   0.0000    2.1515 0.0000e+00
   0.0000    2.2121 0.0000e+00
   0.0000    2.2727 0.0000e+00
   0.0000    2.3333 0.0000e+00
   0.0000    2.3939 0.0000e+00
   0.0000    2.4545 0.0000e+00
   0.0000    2.5152 0.0000e+00
   0.0000    2.5758 0.0000e+00
   0.0000    2.6364 0.0000e+00
   0.0000    2.6970 0.0000e+00
   0.0000    2.7576 0.0000e+00
   0.0000    2.8182 0.0000e+00
   0.0000    2.8788 0.0000e+00
   0.0000    2.9394 0.0000e+00
   0.0000    3.0000 0.0000e+00
   0.5051   -3.0000 2.4213e+06
   0.5051   -2.9394 2.4533e+06
   0.5051   -2.8788 2.4846e+06
   0.5051   -2.8182 2.5151e+06
   0.5051   -2.7576 2.5449e+06
   0.5051   -2.6970 2.5740e+06
   0.5051   -2.6364 2.6023e+06
   0.5051   -2.5758 2.6298e+06
   0.5051   -2.5152 2.6566e+06
   0.5051   -2.4545 2.6826e+06
   0.5051   -2.3939 2.7079e+06
   0.5051   -2.3333 2.7325e+06
   0.5051   -2.2727 2.7564e+06
