# Job started on: Sat Feb 21 16:27:05 CET 2026 ..
# FONLL heavy quark hadroproduction cross section, calculated on Sat Feb 21 16:27:23 CET 2026
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 7000, ebeam2 = 7000
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -3
# ymax  = 3
# cross section is ds/dpt/dy (pb/GeV)
# pt         y       central
   0.0000   -3.0000 0.0000e+00
   0.0000   -2.9394 0.0000e+00
   0.0000   -2.8788 0.0000e+00
   0.0000   -2.8182 0.0000e+00
   0.0000   -2.7576 0.0000e+00
   0.0000   -2.6970 0.0000e+00
   0.0000   -2.6364 0.0000e+00
   0.0000   -2.5758 0.0000e+00
   0.0000   -2.5152 0.0000e+00
   0.0000   -2.4545 0.0000e+00
   0.0000   -2.3939 0.0000e+00
   0.0000   -2.3333 0.0000e+00
   0.0000   -2.2727 0.0000e+00
   0.0000   -2.2121 0.0000e+00
   0.0000   -2.1515 0.0000e+00
   0.0000   -2.0909 0.0000e+00
   0.0000   -2.0303 0.0000e+00
   0.0000   -1.9697 0.0000e+00
   0.0000   -1.9091 0.0000e+00
   0.0000   -1.8485 0.0000e+00
   0.0000   -1.7879 0.0000e+00
   0.0000   -1.7273 0.0000e+00
   0.0000   -1.6667 0.0000e+00
   0.0000   -1.6061 0.0000e+00
   0.0000   -1.5455 0.0000e+00
   0.0000   -1.4848 0.0000e+00
   0.0000   -1.4242 0.0000e+00
   0.0000   -1.3636 0.0000e+00
   0.0000   -1.3030 0.0000e+00
   0.0000   -1.2424 0.0000e+00
   0.0000   -1.1818 0.0000e+00
   0.0000   -1.1212 0.0000e+00
   0.0000   -1.0606 0.0000e+00
   0.0000   -1.0000 0.0000e+00
   0.0000   -0.9394 0.0000e+00
   0.0000   -0.8788 0.0000e+00
   0.0000   -0.8182 0.0000e+00
   0.0000   -0.7576 0.0000e+00
   0.0000   -0.6970 0.0000e+00
   0.0000   -0.6364 0.0000e+00
   0.0000   -0.5758 0.0000e+00
   0.0000   -0.5152 0.0000e+00
   0.0000   -0.4545 0.0000e+00
   0.0000   -0.3939 0.0000e+00
   0.0000   -0.3333 0.0000e+00
   0.0000   -0.2727 0.0000e+00
   0.0000   -0.2121 0.0000e+00
   0.0000   -0.1515 0.0000e+00
   0.0000   -0.0909 0.0000e+00
   0.0000   -0.0303 0.0000e+00
   0.0000    0.0303 0.0000e+00
   0.0000    0.0909 0.0000e+00
   0.0000    0.1515 0.0000e+00
   0.0000    0.2121 0.0000e+00
   0.0000    0.2727 0.0000e+00
   0.0000    0.3333 0.0000e+00
   0.0000    0.3939 0.0000e+00
   0.0000    0.4545 0.0000e+00
   0.0000    0.5152 0.0000e+00
   0.0000    0.5758 0.0000e+00
   0.0000    0.6364 0.0000e+00
   0.0000    0.6970 0.0000e+00
   0.0000    0.7576 0.0000e+00
   0.0000    0.8182 0.0000e+00
   0.0000    0.8788 0.0000e+00
   0.0000    0.9394 0.0000e+00
   0.0000    1.0000 0.0000e+00
   0.0000    1.0606 0.0000e+00
   0.0000    1.1212 0.0000e+00
   0.0000    1.1818 0.0000e+00
   0.0000    1.2424 0.0000e+00
   0.0000    1.3030 0.0000e+00
   0.0000    1.3636 0.0000e+00
   0.0000    1.4242 0.0000e+00
   0.0000    1.4848 0.0000e+00
   0.0000    1.5455 0.0000e+00
   0.0000    1.6061 0.0000e+00
   0.0000    1.6667 0.0000e+00
   0.0000    1.7273 0.0000e+00
   0.0000    1.7879 0.0000e+00
   0.0000    1.8485 0.0000e+00
   0.0000    1.9091 0.0000e+00
   0.0000    1.9697 0.0000e+00
   0.0000    2.0303 0.0000e+00
   0.0000    2.0909 0.0000e+00
   0.0000    2.1515 0.0000e+00
   0.0000    2.2121 0.0000e+00
   0.0000    2.2727 0.0000e+00
   0.0000    2.3333 0.0000e+00
   0.0000    2.3939 0.0000e+00
   0.0000    2.4545 0.0000e+00
   0.0000    2.5152 0.0000e+00
   0.0000    2.5758 0.0000e+00
   0.0000    2.6364 0.0000e+00
   0.0000    2.6970 0.0000e+00
   0.0000    2.7576 0.0000e+00
   0.0000    2.8182 0.0000e+00
   0.0000    2.8788 0.0000e+00
   0.0000    2.9394 0.0000e+00
   0.0000    3.0000 0.0000e+00
   0.5051   -3.0000 1.4386e+08
   0.5051   -2.9394 1.4389e+08
   0.5051   -2.8788 1.4390e+08
   0.5051   -2.8182 1.4390e+08
   0.5051   -2.7576 1.4388e+08
   0.5051   -2.6970 1.4385e+08
   0.5051   -2.6364 1.4381e+08
   0.5051   -2.5758 1.4375e+08
   0.5051   -2.5152 1.4369e+08
   0.5051   -2.4545 1.4361e+08
   0.5051   -2.3939 1.4352e+08
   0.5051   -2.3333 1.4343e+08
   0.5051   -2.2727 1.4333e+08
