event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,prob_at_least_one_decays,prob_both_decay,prob_exactly_one_decays,particle1_decay_prob,particle2_decay_prob
0,9900015,21.6254,4.94383,-0.363427,1517.17,15,303.2240823359067,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
1,9900015,24.4798,2.28118,0.783198,121.057,15,24.194650392070667,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2,-9900015,22.8822,0.863861,1.20207,31.9646,15,6.388497335324533,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
2,-9900015,22.8119,0.864305,1.20214,31.8762,15,6.3708295664664,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
3,-9900015,42.934,-2.33586,2.982,224.01,15,44.77100567772,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
3,-9900015,42.934,-2.33586,2.982,224.01,15,44.77100567772,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
4,9900015,9.35573,-4.68288,1.36609,505.631,15,101.05624022066534,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
5,-9900015,40.8523,-2.02993,-0.924551,158.199,15,31.617911375428,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
5,-9900015,40.8523,-2.02993,-0.924551,158.199,15,31.617911375428,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
6,9900015,38.0385,3.2779,-1.43722,505.106,15,100.95131286036533,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
7,-9900015,37.5335,0.128317,0.409432,37.8429,15,7.5633440058988,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
8,-9900015,8.81712,-1.39241,-0.944403,18.8379,15,3.7649735630388,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
9,-9900015,26.277,3.5371,3.10644,451.913,15,90.32007271476932,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
9,-9900015,26.277,3.5371,3.10644,451.913,15,90.32007271476932,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
10,-9900015,54.6742,-3.31426,1.28364,752.819,15,150.45963895940133,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
11,-9900015,32.4518,-0.389466,0.526501,34.9443,15,6.9840250600596,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
12,-9900015,23.4563,-3.8796,1.64753,567.944,15,113.51021851090132,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
12,-9900015,23.4563,-3.8796,1.64753,567.944,15,113.51021851090132,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
12,-9900015,23.4563,-3.8796,1.64753,567.944,15,113.51021851090132,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
13,9900015,29.2117,-0.797575,-0.246048,39.0059,15,7.795783091668133,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
13,9900015,29.2117,-0.797575,-0.246048,39.0059,15,7.795783091668133,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
14,9900015,27.5731,1.56627,-2.58924,68.899,15,13.77026704249467,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
