# ANUBIS HNL |U_{e}|^2 sensitivity (BC6 benchmark)
# Source: arXiv:2512.13011 Figure 1
# kind: contour
# mass_GeV  u2
0.1  5.809168457e-06
0.1002649178  2.242612368e-06
0.100786731  1.831962123e-06
0.1008097159  1.496505472e-06
0.1014804389  1.308287678e-06
0.102348803  1.222475399e-06
0.1023953234  8.157634147e-07
0.1029827948  7.709529722e-07
0.1045073975  7.090658984e-07
0.1069367613  6.663869773e-07
0.1069611705  5.443626509e-07
0.1108348664  4.709497309e-07
0.1124887055  4.446830723e-07
0.114140843  4.138589535e-07
0.1158306343  3.940390822e-07
0.1175454301  3.803135298e-07
0.1208689164  3.632556822e-07
0.1210515814  2.961717006e-07
0.1265078509  2.805200432e-07
0.1458573692  2.424021752e-07
0.1487042126  2.311579797e-07
0.1531397541  2.192751731e-07
0.1577076147  2.110739232e-07
0.1648161154  2.026378237e-07
0.172245024  1.952583463e-07
0.1969416741  1.617560781e-07
0.2024661749  1.40272997e-07
0.2054635629  1.302288973e-07
0.2195328021  1.079405694e-07
0.2211294284  1.048792899e-07
0.2244031145  1.002328515e-07
0.2310965988  9.441918992e-08
0.2379897604  9.092765522e-08
0.2462657525  8.817521429e-08
0.2523989937  7.547009924e-08
0.2561398382  7.202915879e-08
0.279746116  6.224832823e-08
0.2923553406  5.763687357e-08
0.3010757618  5.094234722e-08
0.3055329734  4.774854281e-08
0.3100562339  4.589526871e-08
0.3240316512  4.334703757e-08
0.3487379115  4.018632506e-08
0.3591400477  3.898980301e-08
0.3698525337  3.689704192e-08
0.3808844758  3.531407604e-08
0.3865231983  3.477243348e-08
0.4678924917  2.461444824e-08
0.58328549  1.727869182e-08
0.6095765164  1.642069027e-08
0.6560545565  1.545658472e-08
0.6657671112  1.532393235e-08
0.6856255779  1.449226565e-08
0.692862783  1.428251626e-08
0.6957757746  1.403660906e-08
0.7060763818  1.335596148e-08
0.7165294842  1.249929609e-08
0.7245276711  1.166719741e-08
0.7379020883  1.119397783e-08
0.7599121932  1.068562374e-08
0.7825788145  1.027568175e-08
0.8059215345  9.17181477e-09
0.8299605199  8.727442856e-09
0.854716539  8.306239164e-09
0.8719960949  7.785574097e-09
0.8802111588  7.339749749e-09
0.893242056  6.965634368e-09
0.9064660513  6.756276635e-09
0.9531735899  6.35993855e-09
0.9755808619  5.599414437e-09
0.9900236394  5.175949614e-09
1.034647993  4.871628251e-09
1.130021328  4.362118178e-09
1.163727545  4.178604465e-09
1.28981587  3.409361488e-09
1.40871074  3.183758089e-09
1.429565988  3.158109705e-09
1.450729691  3.165671901e-09
1.516119921  3.247671776e-09
1.538564993  3.279755218e-09
1.565927777  3.4668802e-09
1.584457553  3.627676628e-09
1.655875437  4.138239007e-09
1.666311727  4.24401603e-09
1.680389489  4.52803785e-09
1.70655522  5.195349139e-09
1.730511706  5.680093747e-09
1.748634955  6.35993855e-09
1.782129683  7.20802315e-09
1.7752984  7.238275994e-09
1.810380262  7.140133271e-09
1.919840455  6.916184967e-09
1.996466501  6.853798159e-09
2.076150901  6.9102044e-09
2.159015722  7.0965016e-09
2.201680263  7.216956266e-09
2.289555302  7.725884928e-09
2.427987636  8.849699952e-09
2.524895217  1.007807126e-08
2.625670642  1.15504943e-08
2.681434847  1.284919941e-08
2.730468288  1.380237461e-08
2.784425364  1.513083617e-08
2.822180622  1.630848851e-08
2.839448693  1.860048204e-08
2.868757247  2.069909487e-08
2.895559343  2.126296834e-08
2.952778801  2.376973939e-08
3.070632222  2.447774378e-08
3.320638358  2.518496018e-08
3.453175461  2.584209266e-08
3.521414032  2.641643891e-08
3.661963229  2.934310252e-08
3.76169168  3.334472189e-08
3.808122127  3.630947056e-08
3.873488332  4.232185965e-08
3.916280809  5.371584175e-08
3.943892021  6.817733623e-08
3.924600006  8.653227665e-08
3.920814038  1.098286823e-07
3.883374836  1.274075411e-07
3.867771092  1.393969965e-07
3.807909315  1.769257558e-07
3.777241869  2.245583253e-07
3.734327677  2.509722371e-07
3.693197942  2.850144007e-07
3.661963229  3.307365892e-07
3.623380107  3.617465908e-07
3.575480976  4.591367862e-07
3.521414032  5.206659461e-07
3.453175461  6.687187925e-07
3.381033561  7.396356477e-07
3.338641666  9.38761948e-07
3.256290453  1.144723745e-06
3.243195805  1.191497459e-06
3.193190796  1.356400844e-06
3.131312592  1.724842713e-06
3.070632222  1.866254198e-06
3.061270988  1.919414914e-06
3.01112898  2.401697792e-06
3.001736083  2.436163926e-06
2.979027644  3.09203322e-06
2.952778801  3.408654523e-06
2.892511192  3.924477055e-06
2.839448693  4.958634547e-06
2.831622632  4.981033211e-06
2.799810455  6.322044357e-06
2.784425364  6.630301381e-06
2.775013947  8.02407874e-06
2.781354649  1.018433848e-05
2.730468288  1.253065938e-05
2.675189888  1.2926188e-05
2.677556801  1.329035496e-05
2.730468288  1.515597356e-05
2.751270793  1.640620414e-05
2.730468288  1.741121902e-05
2.677556801  1.880240432e-05
2.625670642  1.949292947e-05
2.574789942  1.990565728e-05
2.545701177  2.082313968e-05
2.524895217  2.301375172e-05
2.47596736  2.520634289e-05
2.423876883  2.642919014e-05
2.427987636  3.029165744e-05
2.438260234  3.354451357e-05
2.427987636  3.487770988e-05
2.380937672  3.81898983e-05
2.353230556  4.257543968e-05
2.33479945  4.773758404e-05
2.261778338  5.403774815e-05
2.245187903  5.876301229e-05
2.201680263  6.489486502e-05
2.152895563  6.858583461e-05
2.117177942  8.13949761e-05
2.073841826  8.705075239e-05
2.076150901  9.190465929e-05
