# ANUBIS HNL |U_{\mu}|^2 sensitivity (BC7 benchmark)
# Source: HNLCalc + DDC species_split fallback
# kind: contour
# mass_GeV  u2
0.1  3.835561105e-05
0.1050765849  2.994310125e-05
0.1061587575  2.844768483e-05
0.1061799914  2.841925078e-05
0.110410887  2.337567875e-05
0.1160159894  1.824773938e-05
0.1219056397  1.424078838e-05
0.128094283  1.110596785e-05
0.1345970981  8.650507811e-06
0.1349633023  8.532319849e-06
0.1349768  8.527999822e-06
0.1349902977  8.523665709e-06
0.1400673808  5.74348268e-06
0.1400813889  5.735188313e-06
0.1400953971  5.726900641e-06
0.1414300341  4.973474145e-06
0.1486098498  2.348079437e-06
0.1561541551  1.227626484e-06
0.1640814534  7.161975046e-07
0.1724111877  4.533739199e-07
0.1811637881  3.246623178e-07
0.1903607216  2.687875692e-07
0.191400858  2.58497568e-07
0.19142  2.645140411e-07
0.191439142  2.576199021e-07
0.2000245453  2.18102623e-07
0.2101789612  1.926225071e-07
0.2112956193  1.888770536e-07
0.211316751  1.862184839e-07
0.2113378827  1.894065613e-07
0.2208488747  1.618685952e-07
0.2320604554  1.411220013e-07
0.2438412015  1.23144967e-07
0.2452042426  1.25624369e-07
0.2452532884  1.209422726e-07
0.2562200072  9.546848396e-08
0.2692272334  7.832730198e-08
0.2828947826  6.531923609e-08
0.2972561765  5.698024127e-08
0.3123466387  5.01240768e-08
0.3282031811  4.388113296e-08
0.3448646943  3.863991237e-08
0.3623720434  3.455388691e-08
0.3807681679  3.078236631e-08
0.4000981874  2.784659737e-08
0.4204095116  2.533460822e-08
0.4417519575  2.344112411e-08
0.4641778708  2.091191862e-08
0.4877422546  1.886073769e-08
0.4941385802  1.897449237e-08
0.4941879989  1.880725262e-08
0.4942374178  1.893146596e-08
0.5125029044  1.820800866e-08
0.5385205496  1.604104833e-08
0.5478072138  1.544582234e-08
0.547862  1.525861862e-08
0.5479167862  1.555204543e-08
0.5658590026  1.446312182e-08
0.5945853155  1.354800683e-08
