# ANUBIS HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLCalc + DDC species_split fallback
# kind: contour
# mass_GeV  u2
0.1  3.835561105e-05
0.1050765849  2.994310125e-05
0.1061587575  2.844768483e-05
0.1061693745  2.843346354e-05
0.1061799914  2.841925078e-05
0.110410887  2.386337871e-05
0.1160159894  2.042453515e-05
0.1219056397  1.823238596e-05
0.128094283  1.573242443e-05
0.1345970981  1.443063632e-05
0.1349633023  1.41742418e-05
0.1349768  1.403119714e-05
0.1349902977  1.407802288e-05
0.1400673808  7.577407973e-06
0.1400813889  7.392849225e-06
0.1400953971  7.248107224e-06
0.1414300341  6.084550719e-06
0.1486098498  3.154205422e-06
0.1561541551  2.1716608e-06
0.1640814534  1.638336384e-06
0.1724111877  1.319096879e-06
0.1811637881  1.232737956e-06
0.1903607216  1.450142651e-06
0.191400858  2.369672419e-06
0.19142  2.439012065e-06
0.191439142  2.421749573e-06
0.2000245453  2.062479537e-06
0.2101789612  1.715584161e-06
0.2112956193  1.717306521e-06
0.211316751  1.702060272e-06
0.2113378827  1.694176839e-06
0.2208488747  1.500932232e-06
0.2320604554  1.26110823e-06
0.2438412015  1.128540346e-06
0.2452042426  1.096977586e-06
0.2452287655  1.107025729e-06
0.2452532884  1.104687244e-06
0.2562200072  9.891080438e-07
0.2692272334  8.661777329e-07
0.2828947826  7.700262561e-07
0.2972561765  6.777839939e-07
0.3123466387  6.149691825e-07
0.3282031811  5.572042295e-07
0.3448646943  4.949328788e-07
0.3623720434  4.532950976e-07
0.3807681679  4.067506039e-07
0.4000981874  3.755670648e-07
0.4204095116  3.371641494e-07
0.4417519575  3.07796554e-07
0.4641778708  2.779764314e-07
0.4877422546  2.597848682e-07
0.4941385802  2.546435131e-07
0.4941879989  2.529471469e-07
0.4942374178  2.533534407e-07
0.5125029044  2.357919043e-07
0.5385205496  2.185735343e-07
0.5478072138  2.140381209e-07
0.547862  2.099559044e-07
0.5479167862  2.105376016e-07
