# CODEX-b HNL |U_{e}|^2 sensitivity (BC6 benchmark)
# Source: arXiv:2512.13011 Figure 1
# kind: contour
# mass_GeV  u2
0.1  3.035973938e-05
0.1001116594  1.694861407e-05
0.1003649329  1.384509722e-05
0.1004110481  9.238896581e-06
0.101181019  7.547131631e-06
0.101204006  6.165157868e-06
0.1014804389  5.844650857e-06
0.1029827948  5.13529995e-06
0.1034704083  5.036235393e-06
0.103494116  4.114037992e-06
0.1038423454  3.36070287e-06
0.1045073975  3.223420579e-06
0.1060545656  3.01238631e-06
0.1076246386  2.880077696e-06
0.1102419666  2.745316334e-06
0.1102671246  2.242612368e-06
0.1124757089  2.135489855e-06
0.1158306343  2.029754826e-06
0.1192856305  1.959085501e-06
0.1210515814  1.931866167e-06
0.1253855422  1.831962123e-06
0.1265078509  1.715375428e-06
0.1283807223  1.600577123e-06
0.1302813337  1.531609815e-06
0.1322100692  1.477326974e-06
0.1406414843  1.222475399e-06
0.1747950241  9.832604398e-07
0.180008801  9.427010377e-07
0.1881225035  9.005747513e-07
0.1966019424  8.715732337e-07
0.1995125141  8.38701515e-07
0.2025217658  8.157634147e-07
0.2054635629  7.309961814e-07
0.2085053254  6.851884353e-07
0.2115921409  6.53774512e-07
0.2191978644  5.443626509e-07
0.2426053997  4.446830723e-07
0.2487168921  4.210849099e-07
0.2561356327  4.024275779e-07
0.263775633  3.885065471e-07
0.2738491894  3.632556822e-07
0.2756650351  3.552228382e-07
0.279746116  3.412172817e-07
0.2880903686  3.227261756e-07
0.2923553406  3.160910598e-07
0.296683513  3.0393059e-07
0.3010757618  2.949621481e-07
0.3100562339  2.592806391e-07
0.3146463949  2.418971185e-07
0.3240316512  2.272849685e-07
0.3336969184  2.166411916e-07
0.3436504127  2.088995803e-07
0.3644569338  1.961188292e-07
0.3808844758  1.854765536e-07
0.392245478  1.789295655e-07
0.4232374471  1.617560781e-07
0.4284024704  1.562945068e-07
0.4411809269  1.473763489e-07
0.4543404486  1.417945054e-07
0.4852133152  1.32136387e-07
0.4889822909  1.277267706e-07
0.4962213243  1.225366273e-07
0.5110225881  1.15974452e-07
0.5262653432  1.119962592e-07
0.558128509  1.061966698e-07
0.5663912028  1.031767933e-07
0.58328549  9.600036955e-08
0.6095765164  8.81273198e-08
0.6464836936  8.385863693e-08
0.6657671112  8.197793538e-08
0.6756233176  7.780919478e-08
0.6864774564  7.202915879e-08
0.6957757746  6.88932142e-08
0.7165294842  6.453986769e-08
0.7379020883  6.255062374e-08
0.7941644966  5.834902515e-08
0.8059215345  5.675099087e-08
0.8178527937  5.379580571e-08
0.8334259409  4.80653865e-08
0.854716539  4.382437851e-08
0.8878809826  3.926401582e-08
0.9473239341  3.416372275e-08
0.9900236394  3.175633833e-08
1.019554013  2.934477423e-08
1.049965217  2.770184959e-08
1.097291378  2.57717132e-08
1.11353622  2.45169758e-08
1.14675072  2.296579107e-08
1.347953066  1.765285993e-08
1.367908827  1.750364823e-08
1.516119921  1.802223495e-08
1.561342349  1.858773122e-08
1.584457553  1.947972246e-08
1.611471924  2.140329469e-08
1.631718337  2.221758845e-08
1.655875437  2.394385612e-08
1.671887976  2.620105701e-08
1.730511706  3.05307617e-08
1.745460777  3.207425185e-08
1.756131412  3.946568338e-08
1.7752984  4.111394369e-08
1.84615538  4.021079518e-08
2.03591889  4.021991697e-08
2.076150901  4.073598747e-08
2.159015722  4.298295714e-08
2.245187903  4.603385963e-08
2.33479945  5.089566522e-08
2.380937672  5.43940049e-08
2.427987636  5.903689414e-08
2.494457444  6.817733623e-08
2.524895217  7.298594417e-08
2.586969714  8.653227665e-08
2.629637654  1.098286823e-07
2.677556801  1.287196816e-07
2.694005898  1.393969965e-07
2.717547502  1.769257558e-07
2.718118463  2.245583253e-07
2.730468288  2.355679643e-07
2.768749819  2.850144007e-07
2.753608419  3.617465908e-07
2.774563453  4.591367862e-07
2.766641972  5.827465796e-07
2.67910057  7.396356477e-07
2.719429355  9.38761948e-07
2.677556801  9.875008394e-07
2.625670642  1.03910776e-06
2.574789942  1.122677711e-06
2.52923094  1.512274968e-06
2.530094643  1.919414914e-06
2.524895217  1.956827767e-06
2.47596736  2.22991966e-06
2.454930068  2.436163926e-06
2.427987636  3.033335412e-06
2.418055199  3.09203322e-06
2.47596736  3.527763177e-06
2.511954108  3.924477055e-06
2.47596736  4.217625425e-06
2.427987636  4.406770301e-06
2.33479945  4.668346007e-06
2.315890058  4.981033211e-06
2.289555302  5.877379148e-06
2.240920393  6.322044357e-06
2.224590939  8.02407874e-06
2.201680263  8.615872705e-06
2.159015722  1.046979069e-05
2.117177942  1.181958775e-05
2.098838082  1.2926188e-05
2.076150901  1.47747215e-05
2.03591889  1.595044968e-05
2.02779298  1.640620414e-05
1.955633913  2.642919014e-05
1.957778628  3.383807035e-05
1.904081289  4.257543968e-05
1.882637454  5.057453807e-05
1.84615538  5.313941852e-05
1.823813557  5.403774815e-05
1.855565747  6.858583461e-05
1.84615538  7.096625667e-05
1.772163291  8.705075239e-05
