# CODEX-b HNL |U_{\mu}|^2 sensitivity (BC7 benchmark)
# Source: CODEX-b:2019jve HNL combined vector plots
# kind: contour
# mass_GeV  u2
0.5570495167  1.58359569e-07
0.9421601762  6.523139049e-08
1.209045382  3.680374226e-08
1.345256905  3.212430465e-08
1.482354979  2.477444177e-08
1.903190266  1.985784417e-08
2.333414121  2.3169972e-08
2.624165915  4.015995919e-08
2.772082217  3.680374226e-08
2.919806228  3.702778254e-08
3.36915725  3.903430066e-08
3.824057127  5.534333056e-08
4.130769948  1.042491665e-07
4.130769948  3.271612541e-06
3.824057127  1.114697964e-05
3.36915725  2.603754831e-05
2.919806228  9.759344774e-05
2.772082217  0.0002908253252
2.624165915  0.0003141393096
2.333414121  0.0003763347594
1.903190266  0.00182904657
1.526891602  0.009999643406
