# CODEX-b HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: CODEX-b:2019jve HNL combined vector plots
# kind: contour
# mass_GeV  u2
0.5570495167  7.44295911e-06
0.9421601762  2.202288625e-06
1.209045382  1.164406779e-06
1.345256905  1.084554387e-06
1.482354979  8.381249133e-07
1.903190266  1.627611157e-06
2.333414121  2.590544863e-06
2.624165915  1.941903681e-06
2.772082217  1.708808463e-06
2.919806228  1.537695076e-06
3.36915725  1.247587002e-06
3.824057127  1.485504187e-06
4.130769948  2.601074873e-06
4.283863583  2.967897432e-06
4.438358157  3.491131798e-06
4.438358157  7.673022663e-06
4.283863583  1.451229144e-05
4.130769948  1.759844098e-05
3.824057127  5.3302421e-05
3.36915725  0.0001252677566
2.919806228  0.0007132332665
2.772082217  0.0008288249029
2.624165915  0.001319176107
2.333414121  0.002614293317
2.083960116  0.009999643406
