# MATHUSLA HNL |U_{e}|^2 sensitivity (BC6 benchmark)
# Source: arXiv:2512.13011 Figure 1
# kind: contour
# mass_GeV  u2
0.1  7.745630292e-06
0.1001654162  3.36070287e-06
0.1004890249  2.745316334e-06
0.1005119316  2.242612368e-06
0.1014805269  1.831962123e-06
0.1015037993  1.496505472e-06
0.1036206979  1.222475399e-06
0.1043703441  9.986249335e-07
0.1045073975  8.100679792e-07
0.1060545656  7.539578173e-07
0.1076246386  7.201427708e-07
0.1092179612  6.975350868e-07
0.1129310127  6.663869773e-07
0.112956842  5.443626509e-07
0.1198898845  4.446830723e-07
0.1228436761  4.203569833e-07
0.1265078509  4.003175544e-07
0.1322100692  3.805977055e-07
0.1402148075  3.642319348e-07
0.1408569469  3.632556822e-07
0.1416397024  2.967387312e-07
0.1624117092  2.609771857e-07
0.1966019424  2.167422365e-07
0.2024661749  1.847989923e-07
0.2054635629  1.757713411e-07
0.2085053254  1.69864688e-07
0.2147246333  1.626031846e-07
0.2157647222  1.617560781e-07
0.2211294284  1.423933877e-07
0.2244031145  1.31549969e-07
0.2379897604  1.11837335e-07
0.2415130534  1.073814083e-07
0.2714755287  8.817521429e-08
0.2756650351  8.51465574e-08
0.2838875574  8.099524922e-08
0.2923553406  7.811887141e-08
0.3010757618  7.281889232e-08
0.302804417  7.202915879e-08
0.3100562339  6.559949607e-08
0.3193045751  5.99362611e-08
0.3336969184  5.38710008e-08
0.3436504127  5.124193294e-08
0.3591400477  4.848990696e-08
0.392245478  4.440060863e-08
0.4099255616  4.078475164e-08
0.4284024704  3.731583256e-08
0.4411809269  3.583310538e-08
0.4610666342  3.393644124e-08
0.4773719898  3.207425185e-08
0.4889822909  3.037862883e-08
0.5110225881  2.834661247e-08
0.5262653432  2.747816143e-08
0.5588267616  2.620105701e-08
0.5663912028  2.49584925e-08
0.58328549  2.312901603e-08
0.6006838217  2.222023726e-08
0.6370525853  2.095056107e-08
0.6657671112  2.026140648e-08
0.6756233176  1.92154984e-08
0.6885398798  1.748408496e-08
0.6957757746  1.697004099e-08
0.7165294842  1.602325294e-08
0.7379020883  1.546105337e-08
0.7599121932  1.508845021e-08
0.7711621502  1.49919772e-08
0.7897671806  1.428251626e-08
0.7941644966  1.361778727e-08
0.8059215345  1.266900311e-08
0.8178527937  1.22354208e-08
0.8422476641  1.180817825e-08
0.8478954067  1.166719741e-08
0.854716539  1.110775923e-08
0.8673701835  1.031140988e-08
0.8849963436  9.530788308e-09
0.893242056  9.316804972e-09
0.9064660513  8.825356222e-09
0.9279386387  7.785574097e-09
0.9473239341  7.524994058e-09
0.9900236394  7.113869646e-09
1.097361431  6.35993855e-09
1.11353622  5.919623431e-09
1.130021328  5.607010523e-09
1.14675072  5.392228093e-09
1.169055499  5.195349139e-09
1.28981587  4.615898124e-09
1.38815974  4.202468895e-09
1.429565988  4.19486776e-09
1.516119921  4.380486532e-09
1.561342349  4.557454523e-09
1.584457553  4.705095867e-09
1.607914315  4.93744376e-09
1.631718337  5.259947082e-09
1.655875437  5.51871652e-09
1.680389489  5.891499782e-09
1.759289829  7.785574097e-09
1.750669058  9.530788308e-09
1.756131412  9.681963956e-09
1.782129683  1.071845673e-08
1.810380262  9.812735857e-09
1.84615538  9.80738514e-09
1.957778628  9.602962939e-09
1.996466501  9.58203474e-09
2.076150901  9.739549717e-09
2.117177942  9.884938826e-09
2.289555302  1.104412265e-08
2.380937672  1.243310345e-08
2.427987636  1.350726997e-08
2.47596736  1.500574382e-08
2.524895217  1.699487308e-08
2.574789942  1.892542522e-08
2.625670642  2.191252869e-08
2.710746233  2.627177744e-08
2.721591156  3.334472189e-08
2.770346166  4.232185965e-08
2.764745493  5.371584175e-08
2.784425364  6.356183189e-08
2.799601458  6.817733623e-08
2.784425364  7.320271155e-08
2.766274082  8.653227665e-08
2.784425364  1.108806767e-07
2.772372015  1.393969965e-07
2.774148112  1.769257558e-07
2.757554994  2.245583253e-07
2.794958445  2.850144007e-07
2.784425364  3.113578444e-07
2.743498629  3.617465908e-07
2.762091929  4.591367862e-07
2.730468288  5.276138383e-07
2.677556801  5.7091069e-07
2.64888846  5.827465796e-07
2.625670642  6.195488846e-07
2.524895217  8.789993426e-07
2.517807739  9.38761948e-07
2.47596736  1.136639261e-06
2.439006312  1.191497459e-06
2.427860865  1.512274968e-06
2.351346003  1.919414914e-06
2.33479945  2.209399261e-06
2.281652741  2.436163926e-06
2.26193519  3.09203322e-06
2.245187903  3.272874829e-06
2.159015722  4.19550256e-06
2.076150901  5.831919482e-06
2.03591889  6.130697718e-06
1.994940897  8.02407874e-06
1.986725672  1.018433848e-05
1.957778628  1.192435746e-05
1.946527387  1.2926188e-05
1.919840455  1.497164203e-05
1.882637454  1.57714399e-05
1.873849438  1.640620414e-05
1.84615538  2.016934674e-05
1.805748463  2.082313968e-05
1.810380262  2.225623677e-05
1.833071905  2.642919014e-05
1.810380262  2.83813369e-05
1.7752984  3.052024473e-05
1.74089636  3.227405731e-05
1.7105076  3.354451357e-05
1.707160969  3.425508371e-05
1.697428255  4.257543968e-05
1.674079308  4.860516784e-05
1.64163871  5.124179393e-05
1.609826751  5.226341072e-05
1.590503231  5.403774815e-05
1.609826751  6.336281148e-05
1.645238722  6.858583461e-05
1.64163871  6.946975862e-05
1.609826751  7.476963902e-05
1.54804026  8.147126542e-05
1.537271399  8.705075239e-05
