# MATHUSLA HNL |U_{\mu}|^2 sensitivity (BC7 benchmark)
# Source: HNLCalc + DDC species_split fallback
# kind: contour
# mass_GeV  u2
0.1  3.835561105e-05
0.1050765849  2.994310125e-05
0.1061587575  2.844768483e-05
0.1061799914  2.841925078e-05
0.110410887  2.337567875e-05
0.1160159894  1.824773938e-05
0.1219056397  1.424078838e-05
0.128094283  1.110596785e-05
0.1345970981  8.650507811e-06
0.1349633023  8.532319849e-06
0.1349768  8.527999822e-06
0.1349902977  8.523665709e-06
0.1400673808  5.74348268e-06
0.1400813889  5.735188313e-06
0.1400953971  5.726900641e-06
0.1414300341  4.973474145e-06
0.1486098498  2.348079437e-06
0.1561541551  1.227626484e-06
0.1640814534  7.574135829e-07
0.1724111877  5.542748576e-07
0.1811637881  4.206724703e-07
0.1903607216  3.709046588e-07
0.191400858  3.491649156e-07
0.19142  3.532477685e-07
0.191439142  3.304855118e-07
0.2000245453  2.917927271e-07
0.2101789612  2.595138634e-07
0.2112956193  2.477520941e-07
0.211316751  2.523950841e-07
0.2113378827  2.625454574e-07
0.2208488747  2.136832635e-07
0.2320604554  1.889705134e-07
0.2438412015  1.629929359e-07
0.2452042426  1.725213528e-07
0.2452532884  1.627718063e-07
0.2562200072  1.289329055e-07
0.2692272334  1.020313714e-07
0.2828947826  8.987980249e-08
0.2972561765  7.38994065e-08
0.3123466387  6.757163139e-08
0.3282031811  5.823241413e-08
0.3448646943  5.19481479e-08
0.3623720434  4.54845787e-08
0.3807681679  4.199777847e-08
0.4000981874  3.764901174e-08
0.4204095116  3.407099737e-08
0.4417519575  3.222690414e-08
0.4641778708  2.808066506e-08
0.4877422546  2.537532546e-08
0.4941385802  2.632282146e-08
0.4941879989  2.563577408e-08
0.4942374178  2.602796817e-08
0.5125029044  2.449544234e-08
0.5385205496  2.136035967e-08
0.5478072138  2.001214028e-08
0.547862  1.955479445e-08
0.5479167862  2.167631803e-08
0.5658590026  1.967892927e-08
0.5945853155  1.839060207e-08
