# MATHUSLA HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLCalc + DDC species_split fallback
# kind: contour
# mass_GeV  u2
0.1  4.320542983e-05
0.1050765849  3.938075308e-05
0.1061587575  3.60244274e-05
0.1061693745  3.113708805e-05
0.1061799914  3.919897758e-05
0.110410887  3.279389865e-05
0.1160159894  3.050496451e-05
0.1219056397  2.585731432e-05
0.128094283  2.249338674e-05
0.1345970981  2.016071926e-05
0.1349633023  1.771366848e-05
0.1349768  1.793806671e-05
0.1349902977  1.901581704e-05
0.1400673808  9.531154463e-06
0.1400813889  1.058141783e-05
0.1400953971  9.42748287e-06
0.1414300341  8.18929011e-06
0.1486098498  3.963007574e-06
0.1561541551  3.251752726e-06
0.1640814534  2.340206334e-06
0.1724111877  1.699794116e-06
0.1811637881  1.597117967e-06
0.1903607216  1.980503965e-06
0.191400858  3.26265969e-06
0.19142  3.419011436e-06
0.191439142  3.321602481e-06
0.2000245453  2.77296207e-06
0.2101789612  2.285017692e-06
0.2112956193  2.314497879e-06
0.211316751  2.406087639e-06
0.2113378827  2.223019946e-06
0.2208488747  2.072453438e-06
0.2320604554  1.751323166e-06
0.2438412015  1.537295676e-06
0.2452042426  1.465238101e-06
0.2452287655  1.493808205e-06
0.2452532884  1.522370448e-06
0.2562200072  1.316274649e-06
0.2692272334  1.191797287e-06
0.2828947826  1.04330834e-06
0.2972561765  9.087848956e-07
0.3123466387  8.339432054e-07
0.3282031811  7.756255372e-07
0.3448646943  6.652103295e-07
0.3623720434  6.135137494e-07
0.3807681679  5.513841329e-07
0.4000981874  5.119319554e-07
0.4204095116  4.60966141e-07
0.4417519575  4.149055257e-07
0.4641778708  3.726773578e-07
0.4877422546  3.50430623e-07
0.4941385802  3.511668477e-07
0.4941879989  3.420155225e-07
0.4942374178  3.505974528e-07
0.5125029044  3.189007928e-07
0.5385205496  2.882067731e-07
0.5478072138  2.878931714e-07
0.547862  2.783929308e-07
0.5479167862  2.823142687e-07
0.5658590026  2.767412987e-07
0.5945853155  2.506253896e-07
0.599275442  2.494283425e-07
0.5993353755  2.404420019e-07
0.599395309  2.453538558e-07
0.624769944  2.283438263e-07
