# PastExclusion HNL |U_{e}|^2 sensitivity (BC6 benchmark)
# Source: partial machine-readable envelope from available official datasets
# kind: envelope
# mass_GeV  u2
0.0620342  1.73074e-08
0.0625941  1.4823e-08
0.0631491  1.32572e-08
0.0636992  7.95607e-09
0.0642447  7.06512e-09
0.0647855  6.26332e-09
0.0653219  5.39984e-09
0.0658539  4.76166e-09
0.0663816  4.21449e-09
0.0669052  3.86724e-09
0.0674247  3.46082e-09
0.0679402  3.01735e-09
0.0684519  3.01735e-09
0.0689597  3.01735e-09
0.0694639  3.01735e-09
0.0699644  3.01735e-09
0.0704613  3.01735e-09
0.0709548  3.01735e-09
0.0714449  3.01735e-09
0.0719316  3.01735e-09
0.072415  3.01735e-09
0.0728953  3.01735e-09
0.0733724  3.01735e-09
0.0738464  3.01735e-09
0.0743174  3.01735e-09
0.0747854  3.01735e-09
0.0752506  3.01735e-09
0.0757128  3.01735e-09
0.0761723  3.01735e-09
0.076629  3.8278e-09
0.077083  4.3128e-09
0.0775343  5.12605e-09
0.0779831  5.82332e-09
0.0784292  7.14551e-09
0.0788729  7.80488e-09
0.079314  7.39809e-09
0.0797527  6.64771e-09
0.0801891  6.64771e-09
0.080623  6.64771e-09
0.0810546  6.64771e-09
0.081484  6.56582e-09
0.0819111  6.42292e-09
0.082336  6.42292e-09
0.0827587  6.42292e-09
0.0831792  6.42292e-09
0.0835976  6.42292e-09
0.084014  6.42292e-09
0.0844283  6.42292e-09
0.0848406  6.42292e-09
0.0852508  6.42292e-09
0.0856592  6.42292e-09
0.0860655  6.42292e-09
0.08647  6.42292e-09
0.0868726  6.42292e-09
0.0872733  6.42292e-09
0.0876722  6.42292e-09
0.0880693  6.42292e-09
0.0884646  6.42292e-09
0.0888582  6.42292e-09
0.08925  6.42292e-09
0.0896401  6.42292e-09
0.0900285  6.42292e-09
0.0904152  6.42292e-09
0.0908003  6.42292e-09
0.0911838  6.42292e-09
0.0915656  6.42292e-09
0.0919459  6.49019e-09
0.0923246  6.75824e-09
0.0927018  6.81346e-09
0.0930774  6.92781e-09
0.0934516  6.92781e-09
0.0938242  7.25813e-09
0.0941953  7.47219e-09
0.094565  7.72765e-09
0.0949333  7.72765e-09
0.0953001  7.89548e-09
0.0956656  8.24853e-09
0.0960296  8.46674e-09
0.0963923  9.10231e-09
0.0967536  9.95904e-09
0.0971136  1.00143e-08
0.0974722  1.02783e-08
0.0978295  1.01827e-08
0.0981855  1.01827e-08
0.0985403  1.01827e-08
0.0988937  9.43525e-09
0.0992459  9.23714e-09
0.0995969  9.23714e-09
0.0999466  9.23714e-09
0.100295  9.23714e-09
0.100642  9.23714e-09
0.100989  9.23714e-09
0.101333  9.23714e-09
0.101677  9.23714e-09
0.10202  9.23714e-09
0.102361  9.23714e-09
0.102702  9.23714e-09
0.103041  9.23714e-09
0.103379  9.23714e-09
0.103716  9.23714e-09
0.104052  9.23714e-09
0.104386  9.23714e-09
0.10472  9.23714e-09
0.105053  9.23714e-09
0.105384  9.23714e-09
0.105715  9.23714e-09
0.106045  9.23714e-09
0.106373  9.23714e-09
0.106701  9.23714e-09
0.107027  9.23714e-09
0.107353  9.23714e-09
0.107677  9.23714e-09
0.108001  9.23714e-09
0.108323  9.23714e-09
0.108645  9.23714e-09
0.108966  9.23714e-09
0.109285  9.23714e-09
0.109604  9.23714e-09
0.109922  9.23714e-09
0.110239  9.23714e-09
0.110555  9.23714e-09
0.11087  9.23714e-09
0.111185  9.23714e-09
0.111498  9.87023e-09
0.11181  1.02002e-08
0.112122  1.12813e-08
0.112433  1.23202e-08
0.112743  1.43039e-08
0.113052  1.5977e-08
0.11336  1.5977e-08
0.113667  1.74194e-08
0.113974  1.92285e-08
0.11428  1.92285e-08
0.114585  1.92285e-08
0.114889  1.92285e-08
0.115192  1.92285e-08
0.115495  1.92285e-08
0.115796  1.92285e-08
0.116097  1.92285e-08
0.116397  1.92285e-08
0.116697  1.92285e-08
0.116995  1.92285e-08
0.117293  1.92285e-08
0.11759  1.92285e-08
0.117887  1.92285e-08
0.118182  1.92285e-08
0.118477  1.92285e-08
0.118771  1.92285e-08
0.119065  1.92285e-08
0.119358  1.92285e-08
0.119649  1.92285e-08
0.119941  1.92285e-08
0.120231  1.92285e-08
0.120521  2.09384e-08
0.12081  2.23651e-08
0.121099  2.29006e-08
0.121387  2.29006e-08
0.121674  2.29006e-08
0.12196  2.29006e-08
0.122246  2.29006e-08
0.122531  2.29006e-08
0.122815  2.29006e-08
0.123099  2.29006e-08
0.123382  2.29006e-08
0.123665  2.29006e-08
0.123947  2.29006e-08
0.124228  2.29006e-08
0.124508  2.29006e-08
0.124788  2.29006e-08
0.125068  2.29006e-08
0.125346  2.29006e-08
0.125624  2.29006e-08
0.125902  2.29006e-08
0.126179  2.45516e-08
0.126455  2.47461e-08
0.126731  2.47461e-08
0.127006  2.61833e-08
0.12728  2.7292e-08
0.127554  2.93265e-08
0.127827  3.36481e-08
0.1281  3.8673e-08
0.128372  4.56545e-08
0.128643  5.22067e-08
0.128914  6.0242e-08
0.129185  6.0242e-08
0.129455  6.43752e-08
0.129724  6.53641e-08
0.129992  6.53641e-08
0.130261  6.53641e-08
0.130528  6.53641e-08
0.130795  6.53641e-08
0.131062  6.65037e-08
0.131328  6.75886e-08
0.131593  7.25466e-08
0.131858  7.25466e-08
0.132122  7.65263e-08
0.132386  8.19118e-08
0.13265  8.87578e-08
0.132912  1.0066e-07
0.133175  1.14169e-07
0.133436  1.27249e-07
0.133698  1.34786e-07
0.133958  1.41966e-07
0.134219  1.41966e-07
0.134478  1.54805e-07
0.134737  1.73101e-07
0.134996  1.84275e-07
0.135254  1.84275e-07
0.144  8.16746e-10
0.149  8.16746e-10
0.1538  8.16746e-10
0.1584  1.47054e-09
0.1628  1.47054e-09
0.167  1.10229e-09
0.1711  1.10229e-09
0.1751  1.10229e-09
0.1789  1.10229e-09
0.1826  1.10229e-09
0.1862  8.61348e-10
0.1897  6.50406e-10
0.1931  4.34763e-10
0.1964  4.34763e-10
0.1996  4.34763e-10
0.2028  4.34763e-10
0.2059  4.34763e-10
0.2089  4.34763e-10
0.2119  4.34763e-10
0.2148  4.34763e-10
0.2176  4.88442e-10
0.2204  5.57603e-10
0.2231  5.57603e-10
0.2258  5.57603e-10
0.2284  5.57603e-10
0.231  5.57603e-10
0.2335  5.57603e-10
0.236  4.88723e-10
0.2385  4.88723e-10
0.2409  4.88723e-10
0.2433  4.88723e-10
0.2456  4.88723e-10
0.2479  4.88723e-10
0.2502  4.88723e-10
0.2524  4.88723e-10
0.2546  4.88723e-10
0.2568  4.88723e-10
0.259  4.88723e-10
0.2611  4.88723e-10
0.2632  4.91887e-10
0.2653  4.91887e-10
0.2673  4.91887e-10
0.2693  4.91887e-10
0.2713  4.91887e-10
0.2733  4.91887e-10
0.2752  4.91887e-10
0.2771  4.91887e-10
0.279  4.91887e-10
0.2809  4.91887e-10
0.2828  4.91887e-10
0.2846  4.91887e-10
0.2864  5.37579e-10
0.2882  5.37579e-10
0.29  5.37579e-10
0.2918  4.81319e-10
0.2935  4.81319e-10
0.2952  4.81319e-10
0.2969  4.81319e-10
0.2986  4.81319e-10
0.3003  4.81319e-10
0.302  4.81319e-10
0.3036  4.81319e-10
0.3052  4.81319e-10
0.3068  4.81319e-10
0.3084  4.7584e-10
