# PastExclusion HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLimits Utau4 single-flavor compilation
# kind: envelope
# mass_GeV  u2
1e-08  0.13
1.1e-08  0.13
1.2e-08  0.13
1.3e-08  0.13
1.4e-08  0.13
1.5e-08  0.13
1.6e-08  0.13
1.7e-08  0.13
1.8e-08  0.13
1.9e-08  0.13
2e-08  0.13
2.1e-08  0.13
2.2e-08  0.13
2.3e-08  0.13
2.4e-08  0.13
2.5e-08  0.13
2.6e-08  0.13
2.7e-08  0.13
2.8e-08  0.13
2.9e-08  0.13
3e-08  0.13
3.1e-08  0.13
3.2e-08  0.13
3.3e-08  0.13
3.4e-08  0.13
3.5e-08  0.13
3.6e-08  0.13
3.7e-08  0.13
3.8e-08  0.13
3.9e-08  0.13
4e-08  0.13
4.1e-08  0.13
4.2e-08  0.13
4.3e-08  0.13
4.4e-08  0.13
4.5e-08  0.13
4.6e-08  0.13
4.7e-08  0.13
4.8e-08  0.13
4.9e-08  0.13
5e-08  0.13
5.1e-08  0.13
5.2e-08  0.13
5.3e-08  0.13
5.4e-08  0.13
5.5e-08  0.13
5.6e-08  0.13
5.8e-08  0.13
5.9e-08  0.13
6e-08  0.13
6.1e-08  0.13
6.2e-08  0.13
6.3e-08  0.13
6.5e-08  0.13
6.6e-08  0.13
6.7e-08  0.13
6.8e-08  0.13
7e-08  0.13
7.1e-08  0.13
7.2e-08  0.13
7.4e-08  0.13
7.5e-08  0.13
7.7e-08  0.13
7.8e-08  0.13
8e-08  0.13
8.1e-08  0.13
8.3e-08  0.13
8.4e-08  0.13
8.6e-08  0.13
8.7e-08  0.13
8.9e-08  0.13
9.1e-08  0.13
9.3e-08  0.13
9.4e-08  0.13
9.6e-08  0.13
9.8e-08  0.13
1e-07  0.13
1.02e-07  0.13
1.04e-07  0.13
1.06e-07  0.13
1.08e-07  0.13
1.1e-07  0.13
1.12e-07  0.13
1.14e-07  0.13
1.16e-07  0.13
1.19e-07  0.13
1.21e-07  0.13
1.23e-07  0.13
1.26e-07  0.13
1.28e-07  0.13
1.3e-07  0.13
1.33e-07  0.13
1.35e-07  0.13
1.38e-07  0.13
1.41e-07  0.13
1.43e-07  0.13
1.46e-07  0.13
1.49e-07  0.13
1.52e-07  0.13
1.55e-07  0.13
1.58e-07  0.13
1.61e-07  0.13
1.64e-07  0.13
1.67e-07  0.13
1.7e-07  0.13
1.73e-07  0.13
1.77e-07  0.13
1.8e-07  0.13
1.84e-07  0.13
1.87e-07  0.13
1.91e-07  0.13
1.94e-07  0.13
1.98e-07  0.13
2.02e-07  0.13
2.06e-07  0.13
2.1e-07  0.13
2.14e-07  0.13
2.18e-07  0.13
2.22e-07  0.13
2.26e-07  0.13
2.31e-07  0.13
2.35e-07  0.13
2.4e-07  0.13
2.44e-07  0.13
2.49e-07  0.13
2.54e-07  0.13
2.59e-07  0.13
2.64e-07  0.13
2.69e-07  0.13
2.74e-07  0.13
2.79e-07  0.13
2.84e-07  0.13
2.9e-07  0.13
2.95e-07  0.13
3.01e-07  0.13
3.07e-07  0.13
3.13e-07  0.13
3.19e-07  0.13
3.25e-07  0.13
3.31e-07  0.13
3.38e-07  0.13
3.44e-07  0.13
3.51e-07  0.13
3.57e-07  0.13
3.64e-07  0.13
3.71e-07  0.13
3.78e-07  0.13
3.86e-07  0.13
3.93e-07  0.13
4.01e-07  0.13
4.08e-07  0.13
4.16e-07  0.13
4.24e-07  0.13
4.32e-07  0.13
4.41e-07  0.13
4.49e-07  0.13
4.58e-07  0.13
4.66e-07  0.13
4.75e-07  0.13
4.84e-07  0.13
4.94e-07  0.13
5.03e-07  0.13
5.13e-07  0.13
5.23e-07  0.13
5.33e-07  0.13
5.43e-07  0.13
5.53e-07  0.13
5.64e-07  0.13
5.75e-07  0.13
5.86e-07  0.13
5.97e-07  0.13
6.09e-07  0.13
6.2e-07  0.13
6.32e-07  0.13
6.44e-07  0.13
6.57e-07  0.13
6.69e-07  0.13
6.82e-07  0.13
6.95e-07  0.13
7.09e-07  0.13
7.22e-07  0.13
7.36e-07  0.13
7.5e-07  0.13
7.65e-07  0.13
7.79e-07  0.13
7.94e-07  0.13
8.1e-07  0.13
8.25e-07  0.13
8.41e-07  0.13
8.57e-07  0.13
8.74e-07  0.13
8.9e-07  0.13
9.08e-07  0.13
9.25e-07  0.13
9.43e-07  0.13
9.61e-07  0.13
9.79e-07  0.13
9.98e-07  0.13
1.017e-06  0.13
1.037e-06  0.13
1.057e-06  0.13
1.077e-06  0.13
1.098e-06  0.13
1.119e-06  0.13
1.14e-06  0.13
1.162e-06  0.13
1.185e-06  0.13
1.207e-06  0.13
1.23e-06  0.13
1.254e-06  0.13
1.278e-06  0.13
1.303e-06  0.13
1.328e-06  0.13
1.353e-06  0.13
1.379e-06  0.13
1.406e-06  0.13
1.433e-06  0.13
1.46e-06  0.13
1.488e-06  0.13
1.517e-06  0.13
1.546e-06  0.13
1.576e-06  0.13
1.606e-06  0.13
