event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,prob_at_least_one_decays,prob_both_decay,prob_exactly_one_decays,particle1_decay_prob,particle2_decay_prob
0,6000113,28.3599,-0.908489,-2.80391,40.8908,15,8.172502294390934,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
1,6000113,99.3865,1.5138,0.778899,236.74,15,47.31524433794667,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
2,6000113,53.7446,1.48029,1.2033,124.198,15,24.822415799122666,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
3,6000113,43.7872,-2.66701,1.40413,316.721,15,63.30037806014532,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
4,6000113,61.9349,0.184761,1.32129,62.9951,15,12.590303913970535,False,29.74296565757477,30.144724771243943,0.40175911366917205,0.0,2,1,0.004301848094383165,0.0,0.004301848094383165,0.0,0.004301848094383127
5,6000113,82.3884,0.843944,2.95533,113.512,15,22.686694328330667,True,33.44694443197781,33.7216923593662,0.2747479273883897,0.0027558569745151835,2,1,0.0027558569745151917,0.0,0.0027558569745151917,0.0027558569745151835,0.0
6,6000113,156.187,2.74386,-1.03918,1219.13,15,243.65731954769336,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
7,6000113,83.7235,1.30762,-2.10231,166.1,15,33.197018182533334,True,23.705477597671628,26.397303656611687,2.691826058940059,0.03813609562063936,2,1,0.038136095620639354,0.0,0.038136095620639354,0.03813609562063936,0.0
8,6000113,74.3109,-1.70238,-0.625126,210.642,15,42.099255292024,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
9,6000113,54.8686,1.04981,2.09077,87.9852,15,17.5848662504144,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
10,6000113,160.785,2.5788,-1.45122,1065.78,15,213.00853725815998,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
11,6000113,58.5645,0.664258,-1.55524,71.9671,15,14.383462536087869,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
12,6000113,49.0821,2.21834,-1.95751,228.253,15,45.619018610582664,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
13,6000113,464.256,0.118239,-1.53173,467.505,15,93.43631538486001,False,31.822559263844465,33.62529211442099,1.802732850576529,0.0,2,1,0.002331473014204777,0.0,0.002331473014204777,0.0,0.002331473014204812
14,6000113,50.6148,-0.271534,1.24922,52.4922,15,10.4911771092184,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
