event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,event_decay_prob,particle1_decay_prob,particle2_decay_prob
0,9900015,36.4283,4.53191,2.65402,1692.95,79,64.2447647811519,False,,,,0.0,1,0,0.0,0.0,0.0
1,9900015,47.0154,4.70876,0.873282,2607.55,79,98.95238276682278,False,,,,0.0,1,0,0.0,0.0,0.0
2,-9900015,9.74493,5.7914,-2.2301,1595.61,79,60.550866317643035,False,,,,0.0,1,0,0.0,0.0,0.0
3,-9900015,51.025,1.34328,-0.821279,104.412,79,3.9622696360374685,True,23.465785157726522,26.351443892237995,2.8856587345114733,0.0013857525902833772,1,1,0.0013857525902833956,0.0013857525902833772,0.0
4,-9900015,6.04581,6.0454,-2.4878,1276.18,79,48.42900494309368,False,,,,0.0,1,0,0.0,0.0,0.0
5,9900015,11.8488,-3.7877,-1.16541,261.725,79,9.932048236715191,False,,,,0.0,1,0,0.0,0.0,0.0
6,-9900015,15.8768,3.45199,-0.615811,250.812,79,9.517917212138734,False,,,,0.0,1,0,0.0,0.0,0.0
7,-9900015,7.91952,0.849532,-1.91746,10.9534,79,0.41566414043762034,False,,,,0.0,1,0,0.0,0.0,0.0
8,9900015,1.83964,7.05092,-2.6721,1061.41,79,40.27882441085823,False,,,,0.0,1,0,0.0,0.0,0.0
9,-9900015,8.67445,-5.92672,2.49579,1626.14,79,61.70943134836962,False,,,,0.0,1,0,0.0,0.0,0.0
10,9900015,6.74628,4.93329,-1.26543,468.338,79,17.772683568962535,False,,,,0.0,1,0,0.0,0.0,0.0
11,-9900015,19.5542,-3.92805,2.36178,496.945,79,18.858273802634177,False,,,,0.0,1,0,0.0,0.0,0.0
12,-9900015,1.12205,5.73077,-1.79009,172.913,79,6.5617738341967105,False,,,,0.0,1,0,0.0,0.0,0.0
13,9900015,15.813,2.16315,-0.915108,69.6835,79,2.644378195828228,False,,,,0.0,1,0,0.0,0.0,0.0
14,-9900015,14.5408,4.68914,-2.77347,790.797,79,30.00949068468684,False,,,,0.0,1,0,0.0,0.0,0.0
15,-9900015,2.26439,-3.78463,-0.729778,49.8644,79,1.8922748155310378,False,,,,0.0,1,0,0.0,0.0,0.0
16,-9900015,2.60909,-6.76296,-0.0633082,1128.69,79,42.83199359747089,False,,,,0.0,1,0,0.0,0.0,0.0
17,9900015,14.8718,-1.88877,0.168601,50.2855,79,1.9082548919948101,False,,,,0.0,1,0,0.0,0.0,0.0
18,-9900015,2.11385,-4.04552,-0.668829,60.4121,79,2.2925432850559244,False,,,,0.0,1,0,0.0,0.0,0.0
