event_index,	id,	pt,	eta,	phi,	momentum,	mass
0,	6000113,	28.3599,	-0.908489,	-2.80391,	40.8908,	15
0,	-6000113,	39.4529,	1.48824,	0.411984,	91.8281,	15
1,	6000113,	99.3865,	1.5138,	0.778899,	236.74,	15
1,	-6000113,	53.1574,	2.38089,	2.89485,	289.895,	15
2,	6000113,	53.7446,	1.48029,	1.2033,	124.198,	15
2,	-6000113,	66.563,	2.63171,	-1.47007,	464.924,	15
3,	6000113,	43.7872,	-2.66701,	1.40413,	316.721,	15
3,	-6000113,	40.8377,	-0.911514,	-1.76599,	59.0105,	15
4,	6000113,	61.9349,	0.184761,	1.32129,	62.9951,	15
4,	-6000113,	65.3626,	0.882245,	-2.59173,	92.4937,	15
5,	6000113,	82.3884,	0.843944,	2.95533,	113.512,	15
5,	-6000113,	77.2624,	1.66612,	-1.91036,	211.721,	15
6,	6000113,	156.187,	2.74386,	-1.03918,	1219.13,	15
6,	-6000113,	134.722,	2.36196,	-0.118607,	721.168,	15
7,	6000113,	83.7235,	1.30762,	-2.10231,	166.1,	15
7,	-6000113,	97.9901,	0.331174,	-1.14239,	103.413,	15
8,	6000113,	74.3109,	-1.70238,	-0.625126,	210.642,	15
8,	-6000113,	81.054,	-1.67742,	1.41402,	224.462,	15
9,	6000113,	54.8686,	1.04981,	2.09077,	87.9852,	15
9,	-6000113,	87.649,	0.539789,	-2.04524,	100.731,	15
10,	6000113,	160.785,	2.5788,	-1.45122,	1065.78,	15
10,	-6000113,	5.90801,	5.375,	2.50787,	637.904,	15
11,	6000113,	58.5645,	0.664258,	-1.55524,	71.9671,	15
11,	-6000113,	64.7099,	0.0315004,	1.95585,	64.742,	15
12,	6000113,	49.0821,	2.21834,	-1.95751,	228.253,	15
12,	-6000113,	75.1955,	2.68353,	1.2096,	552.876,	15
13,	6000113,	464.256,	0.118239,	-1.53173,	467.505,	15
13,	-6000113,	26.5682,	0.764438,	-2.85478,	34.7165,	15
14,	6000113,	50.6148,	-0.271534,	1.24922,	52.4922,	15
14,	-6000113,	42.3842,	-1.89679,	-2.08249,	144.413,	15
15,	6000113,	49.8951,	-1.86735,	-2.56785,	165.293,	15
15,	-6000113,	65.1572,	-0.546886,	-0.537174,	75.1463,	15
16,	6000113,	99.542,	-2.28043,	1.69338,	491.895,	15
16,	-6000113,	28.2396,	-1.29142,	-1.69114,	55.2483,	15
17,	6000113,	59.1699,	-0.576335,	2.33317,	69.272,	15
17,	-6000113,	61.2269,	-0.909288,	-0.796682,	88.3309,	15
18,	6000113,	59.7467,	1.84861,	0.11656,	194.429,	15
18,	-6000113,	60.159,	2.34897,	2.93037,	317.946,	15
19,	6000113,	57.8293,	0.338793,	-0.0491756,	61.18,	15
19,	-6000113,	64.3499,	0.309603,	2.95023,	67.4588,	15
20,	6000113,	76.348,	-0.979971,	1.44725,	116.038,	15
20,	-6000113,	37.4634,	-2.396,	-0.661797,	207.365,	15
21,	6000113,	87.8108,	2.84717,	-1.19171,	759.431,	15
21,	-6000113,	49.3056,	3.7409,	1.72645,	1039.36,	15
22,	6000113,	11.098,	3.49379,	1.89741,	182.79,	15
22,	-6000113,	61.0696,	0.486397,	-1.30207,	68.4371,	15
23,	6000113,	34.9489,	3.26231,	-1.53042,	456.924,	15
23,	-6000113,	43.3545,	1.12845,	1.46463,	74.0149,	15
24,	6000113,	31.8293,	-1.42145,	2.65914,	69.7778,	15
24,	-6000113,	30.2098,	1.23265,	-0.0255437,	56.2177,	15
25,	6000113,	90.9031,	1.77025,	-0.294455,	274.645,	15
25,	-6000113,	41.4905,	1.80194,	2.59218,	129.168,	15
26,	6000113,	30.2767,	-0.264267,	1.20568,	31.3401,	15
26,	-6000113,	24.7702,	2.82071,	0.294264,	208.67,	15
27,	6000113,	141.958,	0.428871,	2.8408,	155.214,	15
27,	-6000113,	69.3037,	1.31225,	-0.382015,	138.043,	15
28,	6000113,	55.0063,	0.0152359,	-2.02719,	55.0127,	15
28,	-6000113,	147.78,	-1.37696,	1.70457,	311.459,	15
29,	6000113,	108.487,	1.29107,	-2.10722,	212.181,	15
29,	-6000113,	36.2503,	1.06158,	0.574229,	58.6683,	15
30,	6000113,	58.4594,	-0.711233,	2.9386,	73.8792,	15
30,	-6000113,	74.3181,	-0.527427,	-0.892141,	84.8968,	15
31,	6000113,	67.1086,	-0.945379,	-1.69913,	99.3987,	15
31,	-6000113,	52.4272,	-0.0661802,	1.42836,	52.542,	15
32,	6000113,	24.9699,	-4.02494,	2.86914,	699.096,	15
32,	-6000113,	24.2347,	-0.965941,	0.196655,	36.4476,	15
33,	6000113,	59.5303,	0.683248,	2.6949,	73.9745,	15
33,	-6000113,	46.0138,	1.8151,	-0.43745,	145.048,	15
34,	6000113,	21.6574,	0.826333,	2.04331,	29.4819,	15
34,	-6000113,	30.9109,	3.64515,	-1.33836,	592.171,	15
35,	6000113,	33.9307,	-0.106207,	-2.0811,	34.1223,	15
35,	-6000113,	57.088,	-2.11656,	2.71488,	240.426,	15
36,	6000113,	26.354,	0.321526,	-1.17794,	27.728,	15
36,	-6000113,	26.0386,	3.19805,	2.12773,	319.305,	15
37,	6000113,	61.4356,	-0.968466,	0.710044,	92.5701,	15
37,	-6000113,	64.6537,	-0.600898,	-2.11232,	76.6818,	15
38,	6000113,	28.6174,	2.82391,	1.55524,	241.845,	15
38,	-6000113,	39.9628,	0.208099,	-1.58643,	40.8312,	15
39,	6000113,	34.9052,	-2.72718,	1.67141,	267.987,	15
39,	-6000113,	15.8225,	0.493702,	1.23859,	17.7902,	15
40,	6000113,	50.2119,	-0.290667,	1.09339,	52.348,	15
40,	-6000113,	35.8002,	1.54739,	-2.29816,	87.9249,	15
41,	6000113,	47.2534,	0.602604,	-1.88013,	56.0958,	15
41,	-6000113,	81.41,	2.06016,	-0.655164,	324.608,	15
42,	6000113,	56.5256,	-2.5875,	3.10505,	377.922,	15
42,	-6000113,	66.1211,	-1.34967,	0.0260427,	136.06,	15
43,	6000113,	31.7674,	-3.00493,	1.67045,	321.397,	15
43,	-6000113,	57.2276,	-1.2247,	-1.12899,	105.785,	15
44,	6000113,	4.70313,	-6.04688,	-3.08074,	994.229,	15
44,	-6000113,	47.8534,	-1.67325,	2.05754,	132.006,	15
45,	6000113,	59.529,	-1.31548,	1.53331,	118.905,	15
45,	-6000113,	56.5136,	0.56771,	-1.82204,	65.8679,	15
46,	6000113,	14.095,	2.81122,	1.30108,	117.625,	15
46,	-6000113,	8.7638,	-2.01272,	-1.07073,	33.3782,	15
47,	6000113,	44.4069,	-0.378612,	-2.0874,	47.628,	15
47,	-6000113,	40.4422,	-2.2593,	1.42552,	195.757,	15
48,	6000113,	12.5051,	-2.91176,	0.00772335,	115.319,	15
48,	-6000113,	30.9199,	0.760189,	1.83262,	40.2927,	15
49,	6000113,	94.6095,	0.958913,	0.151564,	141.544,	15
49,	-6000113,	39.2117,	2.06774,	-2.31486,	157.502,	15
50,	6000113,	58.4884,	-3.55927,	-1.61871,	1028.41,	15
50,	-6000113,	55.9202,	-2.67672,	1.46573,	408.39,	15
51,	6000113,	41.5955,	1.06433,	1.74139,	67.4649,	15
51,	-6000113,	43.5548,	2.84516,	-1.4653,	375.929,	15
52,	6000113,	26.7761,	2.72769,	-1.37925,	205.679,	15
52,	-6000113,	7.71409,	-1.44216,	-2.61056,	17.2265,	15
53,	6000113,	71.5391,	-1.11258,	0.681626,	120.576,	15
53,	-6000113,	59.5204,	-1.3615,	-1.73956,	123.752,	15
54,	6000113,	33.1551,	-0.609431,	-2.49658,	39.505,	15
54,	-6000113,	33.6614,	-3.12091,	-0.707026,	382.245,	15
55,	6000113,	62.8334,	-1.16192,	-0.90201,	110.239,	15
55,	-6000113,	67.0712,	-0.640307,	2.44088,	81.2968,	15
56,	6000113,	60.8744,	-0.855043,	1.925,	84.5162,	15
56,	-6000113,	60.3721,	-0.140406,	-1.20536,	60.9681,	15
57,	6000113,	60.4411,	0.278482,	3.03931,	62.7999,	15
57,	-6000113,	60.2889,	-0.183503,	-0.0822126,	61.3068,	15
58,	6000113,	62.9488,	-0.362809,	0.691063,	67.1374,	15
58,	-6000113,	65.0907,	-0.36303,	-2.63482,	69.4272,	15
59,	6000113,	32.0198,	-1.69175,	2.18196,	89.866,	15
59,	-6000113,	42.0674,	-3.75071,	-1.53267,	895.506,	15
60,	6000113,	64.8296,	-0.268485,	-2.97014,	67.1803,	15
60,	-6000113,	67.0657,	-0.141661,	-0.392805,	67.7398,	15
61,	6000113,	54.1257,	-2.60705,	0.473694,	368.941,	15
61,	-6000113,	44.891,	-1.18846,	-2.06644,	80.5054,	15
62,	6000113,	75.2094,	0.841226,	1.09102,	103.428,	15
62,	-6000113,	72.0895,	0.497264,	-3.11584,	81.1876,	15
63,	6000113,	57.8387,	-0.255346,	-0.958725,	59.7346,	15
63,	-6000113,	90.5621,	0.554637,	1.44586,	104.852,	15
64,	6000113,	50.582,	-0.0326357,	-1.07236,	50.6089,	15
64,	-6000113,	113.508,	0.754278,	0.507547,	147.357,	15
65,	6000113,	168.987,	0.179422,	1.57718,	171.714,	15
65,	-6000113,	184.568,	0.66589,	-1.68739,	227.023,	15
66,	6000113,	129.188,	0.20628,	0.730268,	131.946,	15
66,	-6000113,	1.34375,	4.74036,	-2.13861,	76.9187,	15
67,	6000113,	67.7978,	-0.97455,	-0.906618,	102.623,	15
67,	-6000113,	56.741,	-1.35917,	2.54112,	117.733,	15
68,	6000113,	67.7808,	-2.62847,	-2.28104,	471.916,	15
68,	-6000113,	55.6282,	-1.17146,	0.963223,	98.3675,	15
69,	6000113,	29.4371,	-0.24652,	-0.19195,	30.3361,	15
69,	-6000113,	30.9934,	2.59533,	-2.82208,	208.828,	15
70,	6000113,	129.904,	0.747461,	-0.538593,	167.914,	15
70,	-6000113,	13.7197,	3.01298,	-1.2795,	139.921,	15
71,	6000113,	60.1006,	-0.422454,	0.969664,	65.5438,	15
71,	-6000113,	51.4547,	-1.59118,	-2.14502,	131.549,	15
72,	6000113,	48.6695,	0.386506,	2.50649,	52.3503,	15
72,	-6000113,	65.2479,	1.46465,	-0.550087,	148.673,	15
73,	6000113,	77.2233,	0.194212,	1.17596,	78.6842,	15
73,	-6000113,	77.6787,	0.446917,	-1.65141,	85.5662,	15
74,	6000113,	21.3786,	-1.42833,	-2.38961,	47.1551,	15
74,	-6000113,	172.675,	0.0917153,	-1.26397,	173.402,	15
75,	6000113,	121.998,	-2.90012,	0.895768,	1112.09,	15
75,	-6000113,	27.1996,	-2.13015,	-2.61226,	116.073,	15
76,	6000113,	27.2937,	2.66995,	-0.119493,	197.996,	15
76,	-6000113,	29.8487,	-0.0386246,	2.88126,	29.871,	15
77,	6000113,	37.0615,	-0.158356,	-1.40972,	37.5271,	15
77,	-6000113,	114.794,	-0.390644,	0.999299,	123.664,	15
78,	6000113,	65.6087,	0.503229,	1.34591,	74.0928,	15
78,	-6000113,	56.9352,	0.860365,	-1.70877,	79.3401,	15
79,	6000113,	47.1805,	2.77345,	-0.852649,	379.241,	15
79,	-6000113,	26.4359,	0.63035,	1.88541,	31.8642,	15
80,	6000113,	66.282,	-2.09414,	2.46479,	273.136,	15
80,	-6000113,	74.9906,	-2.82054,	0.415561,	631.627,	15
81,	6000113,	60.9944,	1.79295,	1.03037,	188.278,	15
81,	-6000113,	64.3429,	1.75061,	-2.12179,	190.835,	15
82,	6000113,	28.8802,	-4.88866,	-0.456926,	1917.41,	15
82,	-6000113,	40.8279,	-2.57178,	2.71417,	268.76,	15
83,	6000113,	67.2148,	1.13915,	-1.82343,	115.751,	15
83,	-6000113,	56.036,	1.15073,	1.04169,	97.4158,	15
84,	6000113,	79.5175,	1.50774,	-1.0754,	188.374,	15
84,	-6000113,	69.7496,	-0.637588,	2.63362,	84.4136,	15
85,	6000113,	34.5736,	-0.876507,	0.744592,	48.7268,	15
85,	-6000113,	90.7511,	0.838544,	-0.571836,	124.571,	15
86,	6000113,	70.7698,	0.370276,	1.55352,	75.6769,	15
86,	-6000113,	63.8479,	-0.965615,	-3.11982,	96.0001,	15
87,	6000113,	35.1973,	0.769339,	1.64599,	46.1376,	15
87,	-6000113,	169.813,	1.75325,	2.86176,	504.904,	15
88,	6000113,	71.1777,	2.37348,	-1.46794,	385.349,	15
88,	-6000113,	41.9182,	3.62638,	1.97443,	788.13,	15
89,	6000113,	57.0335,	-1.858,	-2.02537,	187.266,	15
89,	-6000113,	71.8573,	-1.14665,	0.973691,	124.505,	15
90,	6000113,	58.1627,	-1.48855,	2.32992,	135.414,	15
90,	-6000113,	61.3448,	-0.939901,	-0.741317,	90.4957,	15
91,	6000113,	71.5314,	-0.209167,	3.04444,	73.1019,	15
91,	-6000113,	49.9083,	-0.863623,	-0.17969,	69.7061,	15
92,	6000113,	19.3325,	2.38443,	-0.386039,	105.797,	15
92,	-6000113,	19.4933,	-1.30395,	2.41862,	38.5509,	15
93,	6000113,	39.4902,	-1.03845,	3.03434,	62.7667,	15
93,	-6000113,	65.5157,	-2.19512,	0.0457612,	297.848,	15
94,	6000113,	63.3546,	-1.24491,	-1.07095,	119.125,	15
94,	-6000113,	61.3078,	-1.56933,	1.95724,	153.625,	15
95,	6000113,	80.0474,	-0.778017,	-2.91941,	105.521,	15
95,	-6000113,	45.4613,	-1.55688,	-0.459169,	112.625,	15
96,	6000113,	57.3264,	-0.403313,	2.96794,	62.0523,	15
96,	-6000113,	50.57,	-1.39929,	-0.320331,	108.702,	15
97,	6000113,	314.172,	-0.776011,	-1.37603,	413.611,	15
97,	-6000113,	8.13991,	-0.822727,	1.03821,	11.0537,	15
98,	6000113,	33.477,	-2.34912,	-1.51564,	176.957,	15
98,	-6000113,	111.512,	-2.37789,	1.81905,	606.342,	15
99,	6000113,	67.9019,	-1.98869,	0.579835,	252.692,	15
99,	-6000113,	63.2626,	-2.18981,	-3.0468,	286.119,	15
100,	6000113,	52.1218,	-0.784691,	-1.17446,	69.009,	15
100,	-6000113,	61.4154,	-1.53111,	2.09584,	148.613,	15
101,	6000113,	76.1557,	3.10384,	1.45296,	850.212,	15
101,	-6000113,	69.6181,	2.0936,	-1.21491,	286.733,	15
102,	6000113,	109.36,	0.271789,	1.79895,	113.424,	15
102,	-6000113,	47.9435,	1.56976,	0.688395,	120.184,	15
103,	6000113,	41.283,	-0.984783,	1.59908,	62.9721,	15
103,	-6000113,	62.7459,	-2.2114,	-1.71448,	289.826,	15
104,	6000113,	35.8199,	-1.24033,	-0.423634,	67.0915,	15
104,	-6000113,	59.8016,	-3.04552,	1.53256,	629.968,	15
105,	6000113,	64.39,	-2.22087,	2.1387,	300.181,	15
105,	-6000113,	55.819,	-1.55541,	-1.10093,	138.1,	15
106,	6000113,	77.021,	1.60881,	1.24205,	200.139,	15
106,	-6000113,	52.4852,	1.51196,	-1.80604,	124.812,	15
107,	6000113,	69.9034,	-0.028679,	-1.7442,	69.9321,	15
107,	-6000113,	164.05,	-0.106607,	0.881087,	164.984,	15
108,	6000113,	101.045,	1.08075,	1.64425,	166.027,	15
108,	-6000113,	83.4649,	-1.89108,	-1.07841,	282.84,	15
109,	6000113,	42.7843,	-0.228917,	-1.01516,	43.9103,	15
109,	-6000113,	101.725,	0.47862,	-3.03459,	113.601,	15
110,	6000113,	52.8283,	-3.98817,	1.65655,	1425.7,	15
110,	-6000113,	10.2554,	-1.69918,	2.81891,	28.9832,	15
111,	6000113,	33.1936,	-2.86017,	-0.0553078,	290.805,	15
111,	-6000113,	19.1699,	0.0967588,	2.84748,	19.2597,	15
112,	6000113,	59.2713,	-0.0692605,	-1.66969,	59.4135,	15
112,	-6000113,	76.6991,	0.0646315,	1.48872,	76.8594,	15
113,	6000113,	160.394,	-0.969757,	0.0963788,	241.912,	15
113,	-6000113,	160.157,	0.692574,	3.06831,	200.127,	15
114,	6000113,	45.9164,	-0.823068,	-2.95461,	62.3672,	15
114,	-6000113,	40.7745,	1.01975,	0.945869,	63.8768,	15
115,	6000113,	27.2005,	0.507524,	3.11233,	30.7795,	15
115,	-6000113,	84.5533,	2.2941,	0.96529,	423.457,	15
116,	6000113,	62.0631,	-3.47226,	3.03533,	1000.48,	15
116,	-6000113,	61.4296,	-3.56598,	0.244164,	1087.38,	15
117,	6000113,	59.7286,	-0.435595,	-0.747788,	65.4853,	15
117,	-6000113,	46.9605,	-2.02908,	-2.47497,	181.702,	15
118,	6000113,	23.2043,	2.47992,	1.98249,	139.505,	15
118,	-6000113,	40.2464,	-0.272999,	-2.58138,	41.7555,	15
119,	6000113,	75.6134,	-1.1479,	-0.358673,	131.147,	15
119,	-6000113,	140.69,	-1.2647,	2.76386,	269.026,	15
120,	6000113,	50.2195,	3.45824,	-1.12462,	798.304,	15
120,	-6000113,	28.5633,	1.46249,	1.60697,	64.9582,	15
121,	6000113,	61.8012,	1.92668,	2.8339,	216.685,	15
121,	-6000113,	53.7632,	1.12552,	-0.235284,	91.5666,	15
122,	6000113,	64.2081,	1.9436,	-2.33695,	228.807,	15
122,	-6000113,	51.204,	0.941007,	0.634639,	75.5975,	15
123,	6000113,	31.6128,	3.23156,	-0.691114,	400.83,	15
123,	-6000113,	101.266,	1.57247,	1.99865,	254.485,	15
124,	6000113,	39.5414,	1.3734,	-1.38381,	83.0764,	15
124,	-6000113,	57.7278,	3.47303,	0.901394,	931.301,	15
125,	6000113,	51.8159,	2.4993,	1.39566,	317.531,	15
125,	-6000113,	8.51177,	-0.588336,	-2.05857,	10.0279,	15
126,	6000113,	104.154,	0.886979,	-2.97252,	147.883,	15
126,	-6000113,	44.1669,	1.81347,	-0.344769,	139.01,	15
127,	6000113,	139.033,	1.01111,	1.22677,	216.367,	15
127,	-6000113,	257.423,	1.05105,	0.51382,	413.194,	15
128,	6000113,	42.5241,	1.46331,	0.335094,	96.7785,	15
128,	-6000113,	77.6302,	0.45495,	-2.28266,	85.8037,	15
129,	6000113,	13.6229,	2.44631,	-3.07197,	79.2322,	15
129,	-6000113,	69.4962,	-0.359163,	1.63881,	74.0271,	15
130,	6000113,	49.6002,	-2.00562,	0.597672,	187.62,	15
130,	-6000113,	80.0561,	-2.18733,	-2.65176,	361.197,	15
131,	6000113,	18.5466,	0.344792,	0.360879,	19.6599,	15
131,	-6000113,	150.463,	-0.717734,	-2.87528,	190.91,	15
132,	6000113,	17.8099,	3.86063,	0.480431,	423.13,	15
132,	-6000113,	23.0942,	0.482183,	2.22947,	25.8313,	15
133,	6000113,	47.9208,	0.991839,	-0.204588,	73.4885,	15
133,	-6000113,	80.67,	0.652987,	2.61392,	98.4883,	15
134,	6000113,	52.3728,	1.51901,	-2.29123,	125.345,	15
134,	-6000113,	67.251,	0.286593,	1.33377,	70.0319,	15
135,	6000113,	48.503,	-1.9147,	-2.36986,	168.119,	15
135,	-6000113,	92.4418,	-2.47753,	0.524574,	554.457,	15
136,	6000113,	53.7415,	-1.89807,	0.192401,	183.335,	15
136,	-6000113,	63.0891,	-1.11628,	3.04018,	106.651,	15
137,	6000113,	44.7857,	1.36589,	2.4361,	93.4759,	15
137,	-6000113,	30.5583,	3.62725,	-0.311009,	575.044,	15
138,	6000113,	60.8579,	2.5656,	-2.82639,	398.171,	15
138,	-6000113,	40.7449,	1.03337,	-0.622889,	64.5058,	15
139,	6000113,	10.3909,	-4.49866,	-0.901086,	467.113,	15
139,	-6000113,	27.1913,	-0.409099,	-1.96336,	29.4986,	15
140,	6000113,	33.3856,	0.7661,	-2.20436,	43.6714,	15
140,	-6000113,	11.9151,	-2.96772,	1.62906,	116.166,	15
141,	6000113,	44.2739,	0.511461,	-2.29245,	50.1921,	15
141,	-6000113,	123.367,	0.514943,	1.87539,	140.088,	15
142,	6000113,	15.214,	4.47291,	1.8926,	666.548,	15
142,	-6000113,	24.1508,	0.755227,	-0.425368,	31.3718,	15
143,	6000113,	65.0706,	-1.41456,	-0.253979,	141.779,	15
143,	-6000113,	84.5336,	-0.683311,	-2.37243,	105.049,	15
144,	6000113,	97.2477,	-0.205687,	1.32411,	99.3121,	15
144,	-6000113,	59.9161,	-0.945471,	-2.84576,	88.7513,	15
145,	6000113,	128.722,	2.45147,	-1.04359,	752.48,	15
145,	-6000113,	50.2786,	2.12465,	2.70698,	213.418,	15
146,	6000113,	80.137,	3.32814,	-1.65103,	1118.8,	15
146,	-6000113,	54.6948,	2.64503,	0.53057,	387.1,	15
147,	6000113,	67.4694,	1.55969,	-2.03741,	167.578,	15
147,	-6000113,	44.5446,	0.687802,	1.16691,	55.5029,	15
148,	6000113,	78.0072,	-2.88227,	2.34119,	698.584,	15
148,	-6000113,	30.0089,	-1.56446,	-0.696032,	74.8617,	15
149,	6000113,	48.1311,	1.0047,	2.97808,	74.5366,	15
149,	-6000113,	73.7876,	0.182386,	-0.293744,	75.0182,	15
150,	6000113,	56.5258,	-1.60895,	-0.998905,	146.901,	15
150,	-6000113,	65.9975,	-1.2437,	1.95557,	123.967,	15
151,	6000113,	57.6367,	-2.55434,	0.514215,	372.925,	15
151,	-6000113,	72.036,	-2.73247,	-1.91968,	555.967,	15
152,	6000113,	14.556,	-1.21529,	1.90826,	26.6949,	15
152,	-6000113,	42.3901,	1.92406,	0.0662383,	148.254,	15
153,	6000113,	27.5415,	1.86314,	1.33156,	90.8751,	15
153,	-6000113,	22.2811,	-1.33198,	2.96517,	45.1469,	15
154,	6000113,	59.774,	-1.77399,	-1.31079,	181.235,	15
154,	-6000113,	96.2747,	-0.968284,	-2.97759,	145.045,	15
155,	6000113,	43.4132,	-0.0673445,	2.65956,	43.5117,	15
155,	-6000113,	51.08,	1.46111,	-0.650543,	116.021,	15
156,	6000113,	44.396,	-1.32897,	2.40649,	89.7225,	15
156,	-6000113,	70.071,	-0.340413,	-1.25882,	74.1703,	15
157,	6000113,	46.3775,	-1.20431,	-1.8898,	84.2762,	15
157,	-6000113,	46.3337,	-2.75027,	0.751212,	363.967,	15
158,	6000113,	26.8007,	0.395837,	-0.243903,	28.9279,	15
158,	-6000113,	30.6029,	3.16048,	-3.13439,	361.486,	15
159,	6000113,	37.3669,	-2.36984,	1.97221,	201.579,	15
159,	-6000113,	70.2084,	-1.05599,	-1.77738,	113.129,	15
160,	6000113,	45.888,	-0.869357,	-0.153831,	64.3487,	15
160,	-6000113,	68.139,	-1.72747,	-3.11938,	197.744,	15
161,	6000113,	70.6245,	-3.1566,	-1.48652,	831.007,	15
161,	-6000113,	81.2713,	-2.8932,	0.4562,	735.767,	15
162,	6000113,	79.8327,	0.129664,	-1.30744,	80.5047,	15
162,	-6000113,	54.0249,	0.596293,	2.33732,	63.9176,	15
163,	6000113,	57.6814,	0.914407,	-1.78107,	83.5241,	15
163,	-6000113,	40.127,	2.38632,	1.34224,	220.004,	15
164,	6000113,	84.6253,	-2.16896,	-1.15622,	375.036,	15
164,	-6000113,	30.4715,	-4.12763,	-0.228392,	945.331,	15
165,	6000113,	35.5879,	-0.102451,	0.293285,	35.7748,	15
165,	-6000113,	81.1585,	1.90522,	-0.354149,	278.766,	15
166,	6000113,	87.6684,	-2.19316,	2.76108,	397.796,	15
166,	-6000113,	66.4033,	-1.93164,	-0.161399,	233.931,	15
167,	6000113,	39.6863,	1.6566,	-2.05361,	107.793,	15
167,	-6000113,	97.1359,	1.74645,	1.16064,	286.969,	15
168,	6000113,	117.549,	-0.118597,	-1.61937,	118.377,	15
168,	-6000113,	25.8265,	-1.44968,	2.07617,	58.063,	15
169,	6000113,	44.9395,	-3.45707,	2.30423,	713.536,	15
169,	-6000113,	16.022,	-0.57166,	0.208266,	18.712,	15
170,	6000113,	27.6319,	2.17858,	0.610269,	123.611,	15
170,	-6000113,	35.5381,	-0.460192,	-2.28313,	39.3681,	15
171,	6000113,	70.0162,	-2.31696,	-0.817757,	358.601,	15
171,	-6000113,	56.0022,	-2.1001,	2.72012,	232.112,	15
172,	6000113,	87.6614,	-0.57891,	-3.02359,	102.765,	15
172,	-6000113,	142.152,	0.518976,	-2.85847,	161.729,	15
173,	6000113,	53.7669,	-1.75157,	0.966358,	159.611,	15
173,	-6000113,	58.7598,	-0.921175,	-2.05745,	85.5041,	15
174,	6000113,	32.1694,	2.87646,	2.05116,	286.43,	15
174,	-6000113,	19.4299,	-0.0355606,	-0.749612,	19.4421,	15
175,	6000113,	22.4629,	-1.3952,	2.7629,	48.1105,	15
175,	-6000113,	164.816,	-1.34773,	0.068924,	338.574,	15
176,	6000113,	31.8038,	1.60757,	0.112753,	82.5471,	15
176,	-6000113,	90.3182,	-0.170635,	-1.17405,	91.6363,	15
177,	6000113,	58.119,	-1.79346,	-2.22041,	179.489,	15
177,	-6000113,	63.9385,	-1.19074,	0.958829,	114.882,	15
178,	6000113,	49.4735,	-2.30236,	2.10993,	249.786,	15
178,	-6000113,	32.5535,	-0.323748,	-0.999941,	34.2745,	15
179,	6000113,	50.9825,	-0.876832,	-0.266021,	71.8693,	15
179,	-6000113,	35.1673,	1.02062,	-2.92608,	55.1298,	15
