event,weight,id,parent_id,pt,eta,phi,momentum,mass,decay_x_m,decay_y_m,decay_z_m,L_xyz_m,L_xy_m
0,1,-9900015,-521,13.6528,1.09493,-1.61404,22.6877,3.6,-0.184938,-4.27818,5.68314,7.11253,4.2801
0,1,9900015,521,15.6118,-0.647153,2.50291,18.9966,3.6,-13.2067,9.80598,-11.4038,20.0144,16.4482
1,1,-9900015,-521,3.8375,-2.85644,-2.98466,33.4953,3.6,-2.33185,-0.368951,-20.4703,20.6025,2.36039
2,1,9900015,521,7.95304,-4.91893,1.31215,544.238,3.6,0.121358,0.458747,-32.4696,32.4679,0.474459
3,1,-9900015,-521,10.8707,-1.88831,-2.3025,36.7403,3.6,-4.94246,-5.50385,-23.8817,25.0009,7.39726
3,1,9900015,521,8.35356,-3.54295,1.04106,144.507,3.6,1.13577,1.93916,-38.7996,38.7965,2.24273
4,1,9900015,521,36.7371,1.84934,2.02715,119.634,3.6,-1.28039,2.60829,9.00484,9.45181,2.90245
5,1,9900015,521,3.20506,-0.142292,1.03519,3.23756,3.6,0.408117,0.687539,-0.114237,0.807343,0.799238
5,1,-9900015,-521,9.17978,0.573868,-0.578951,10.7333,3.6,0.395258,-0.258383,0.286137,0.551902,0.472022
6,1,-9900015,-521,6.37477,-3.66335,0.667723,124.363,3.6,0.490203,0.386575,-12.1629,12.1769,0.624179
7,1,9900015,521,7.2009,-1.43384,2.4593,15.9614,3.6,-0.480463,0.390191,-1.22469,1.36987,0.618011
7,1,-9900015,-521,5.01363,0.547528,0.398507,5.7841,3.6,1.30616,0.549964,0.815308,1.63334,1.41577
8,1,9900015,521,18.3484,-0.679617,0.754374,22.7514,3.6,0.313783,0.294819,-0.315756,0.532078,0.429107
8,1,-9900015,-521,5.0425,-2.37662,3.12485,27.3841,3.6,-0.473734,0.00777567,-2.52981,2.56646,0.472586
10,1,-9900015,-521,6.65377,-2.58486,1.17334,44.3701,3.6,0.166951,0.397629,-2.84531,2.86815,0.43011
10,1,9900015,521,1.70233,-4.83223,-0.52756,106.82,3.6,0.597493,-0.347752,-43.3808,43.358,0.690972
11,1,-9900015,-521,12.318,2.46787,-2.25835,73.1815,3.6,-1.27356,-1.55083,11.7523,11.9193,2.00627
12,1,9900015,521,4.77977,4.22699,-1.17424,163.767,3.6,0.521086,-1.24434,46.1995,46.208,1.34865
14,1,-9900015,-521,9.76052,-2.61303,-1.20778,66.9258,3.6,0.787521,-2.07273,-15.0396,15.1881,2.21505
15,1,-9900015,-521,4.75937,-5.03525,0.649351,365.865,3.6,0.0828897,0.0630222,-8.00271,7.96863,0.10366
16,1,-9900015,-521,6.88889,-4.61753,0.984757,348.761,3.6,0.662931,0.998688,-60.676,60.6702,1.19839
17,1,9900015,521,4.77599,1.83025,1.0705,15.2732,3.6,0.0855697,0.156476,0.541269,0.567945,0.177599
17,1,-9900015,-521,8.02751,1.06835,-2.19655,13.0614,3.6,-1.12782,-1.56055,2.47158,3.13118,1.92442
18,1,-9900015,-521,13.4206,0.176622,-0.191173,13.6305,3.6,5.11957,-0.990859,0.925802,5.29538,5.21385
19,1,9900015,521,17.6145,-2.74207,-1.77809,137.247,3.6,-2.78954,-13.2637,-104.735,105.608,13.5538
20,1,9900015,521,15.7332,-2.69258,2.57127,116.721,3.6,-6.65643,4.26971,-58.1331,58.6611,7.90715
22,1,9900015,521,4.96768,5.04787,0.234192,386.726,3.6,1.94132,0.463213,155.361,155.339,1.99541
23,1,9900015,521,13.4972,3.79936,2.73111,301.628,3.6,-2.18344,0.950249,53.1621,53.1956,2.38038
24,1,-9900015,-521,4.33453,3.52001,2.74905,73.2848,3.6,-1.11037,0.459849,20.2838,20.3134,1.20147
25,1,-9900015,-521,3.94503,-0.131519,-1.66075,3.9792,3.6,-0.066365,-0.735599,-0.0974199,0.744904,0.738508
26,1,-9900015,-521,13.5713,2.16306,-2.96139,59.7997,3.6,-1.11738,-0.203533,4.8742,5.00138,1.13504
29,1,9900015,521,7.03041,0.565006,3.04443,8.18274,3.6,-0.258802,0.0250352,0.154879,0.301383,0.258941
32,1,-9900015,-521,7.85366,-1.38508,-0.245116,16.6711,3.6,1.10165,-0.275573,-2.12629,2.41047,1.13556
