lifetime_s,ctau_m,BR_limit,mean_event_decay_prob,mean_single_particle_decay_prob
3.1622776601683795e-10,0.09480269926203672,7.157183322860754e-05,6.985988446082558e-08,3.5807219098334775e-06
5.796393953384974e-10,0.17377151908216187,4.840087278764593e-06,1.0330392226472874e-06,5.2949216947580734e-05
1.062467830894043e-09,0.3185198425696535,7.450602474771165e-07,6.710866694244842e-06,0.0003439706148522571
1.947483039908753e-09,0.5838407274475572,1.220038620836198e-07,4.0982309204056736e-05,0.0021005803716220564
3.5696988468260627e-09,1.0701687916097509,3.02675851678006e-08,0.00016519322477430816,0.008467165920016445
6.543189129712969e-09,1.9615987523555318,1.3463112692927575e-08,0.0003713851405720308,0.019036028395032337
1.1993539462092356e-08,3.5955726754606654,9.381573756334923e-09,0.0005329596216864725,0.027317897061823068
2.198392648862289e-08,6.590615358515565,8.943723224513926e-09,0.0005590512893215946,0.028655084171053054
4.0296113202003956e-08,12.080470824675016,1.0622778532691646e-08,0.00047068664611734853,0.024125642137041946
7.386199822079359e-08,22.143269999403337,1.4711874125834473e-08,0.0003398615266303738,0.01741995599960502
1.3538761800225447e-07,40.588186783660916,2.2587118007907086e-08,0.0002213651160918204,0.011346270820490589
2.481628922836824e-07,74.39736346211437,3.7036716884317774e-08,0.00013500116696674912,0.006919598651967691
4.5487779470037777e-07,136.36893216284562,6.322451783341883e-08,7.908324446496814e-05,0.004053475528501059
8.337822234717883e-07,249.96162221131272,1.106342991951252e-07,4.5193941086764803e-05,0.0023164510676327555
1.5283067326587688e-06,458.17483196172117,1.9682598806572322e-07,2.5403149498380384e-05,0.0013020581907909284
2.80135676119887e-06,839.8256291747282,3.542018541652548e-07,1.4116244568463561e-05,0.0007235390214502832
5.134832907437549e-06,1539.3841787399892,6.422381399182956e-07,7.785274167361176e-06,0.00039904021974928537
9.412049672680671e-06,2821.661506191034,1.1699330699973896e-06,4.27374875385919e-06,0.00021905427518955213
1.725210549942039e-05,5172.051113346557,2.1370288008939564e-06,2.3396970587894804e-06,0.00011992296796533994
3.1622776601683795e-05,9480.269926203671,3.9096062914709815e-06,1.2789011545504648e-06,6.555105937028708e-05
