u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,mass_GeV,n_events,n_hits,ctau_sin2th1_m,u2_min_sample_ess,u2_min_event_ess,u2_min_max_event_fraction,peak_u2_sample_ess,peak_u2_event_ess,peak_u2_max_event_fraction,u2_max_sample_ess,u2_max_event_ess,u2_max_max_event_fraction
6.945689536487784e-08,,False,True,7936556559.074259,0.01,True,0.14,1200000,13827,0.008225047541947797,118100.39090820475,2255.28260864125,0.002528599903281325,198216.3042678329,3652.4134904183456,0.0005833283486941247,,,
6.034476102584944e-08,,False,True,7041692535.0847,0.01,True,0.16,1200000,13638,0.007196781762132392,128080.47345781355,2328.534570609543,0.0022836555394627556,186877.8882270177,3410.2277304625086,0.0006996042554007984,,,
5.3842400959985626e-08,,False,True,6115232406.084533,0.01,True,0.18,1200000,13657,0.006397057173966759,135833.56788430558,2420.5469150255176,0.0019831389588783215,175838.84141691582,3193.735407575125,0.0007604400116515178,,,
4.7530941787118087e-08,,False,True,4831114553.489165,0.01,True,0.2,1200000,13594,0.005757298559298276,124489.55583303198,2249.3316183117886,0.002248238645956165,155102.26025468126,2804.9509118463297,0.0009660664054569226,,,
1.4107713077823446e-09,0.00047531059273538985,False,False,4159314.8689722116,7.325669045519251e-06,True,0.22,1200000,13614,5.6809339325299995e-06,130658.3480089197,2304.0334176998526,0.002175998779955945,162844.24941190265,2987.3492383363537,0.0007954840352454042,412.29579797747004,201.25736238803466,0.01989450423657784
5.850349072332162e-10,8.280561098770655e-05,False,False,831350.9518579782,1.461531645057747e-06,True,0.24,1200000,13559,1.0529951087175584e-06,140464.98881167584,2487.9875799942442,0.0015663644459044783,172915.40384290944,2765.878383566125,0.000905437685456398,2181.7399441602,247.92911395214492,0.015459684200717102
3.9486599257240745e-10,3.74765965045769e-05,False,False,383601.88024138415,7.183932522748487e-07,True,0.26,1200000,13600,5.237458334525011e-07,132237.49691174045,2330.9559518117685,0.001884190707261579,167614.10710219378,2655.478202463734,0.000976446419653652,4185.373957891925,245.97243152323676,0.014365396969522826
2.5097326206191695e-10,9.826428059067302e-06,False,False,78569.30497758224,1.970716592565622e-07,True,0.28,1200000,13786,1.7804403740306598e-07,107648.28034692198,2265.580104034058,0.0022425171084953293,122003.66172063244,3141.101769414778,0.0007972604135705977,3947.856589137194,300.1502625362919,0.010734937933131324
1.344110791052781e-10,2.1920166693100748e-06,False,False,24144.113688971902,5.775316321980854e-08,True,0.3,1200000,13850,5.2109744147949755e-08,105260.84730130387,2520.3664838236164,0.0017716803435344293,129232.64974605126,2871.4878142841135,0.000911874264676338,4689.638811680164,341.11405893079575,0.01279586898835459
1.0844664853364456e-10,1.3663132001523484e-06,False,False,15215.202044107082,3.805539707289509e-08,True,0.32,1200000,13712,3.4828899713116116e-08,105712.46465612002,2587.1423604812144,0.0014343114466072238,125196.42357672955,2788.1463884674895,0.0009037157779016451,6617.7627120287925,361.07500181614836,0.012496677043351667
9.357236872260753e-11,9.485724070141849e-07,False,False,10271.642852770216,2.7091263046212455e-08,True,0.34,1200000,13491,2.654891552282271e-08,107531.9838390148,2585.140412536352,0.001556532166477929,120696.21607806646,2738.486146351553,0.0009607229525562574,8599.595264639269,388.26740104563686,0.011032311344790225
8.210499759611384e-11,7.049698196299595e-07,False,False,7677.727620065415,2.0273161608917517e-08,True,0.36,1200000,13565,2.1221033087480963e-08,105046.43591944437,2566.1725131459825,0.0013114627100489276,120386.62349063567,2796.8155204488457,0.0008874126545642078,9827.082315995145,364.4901065047603,0.01057396003178193
7.258891160355412e-11,5.305900796929568e-07,False,False,6153.3461434135015,1.5704054471281085e-08,True,0.38,1200000,13665,1.7569448768376955e-08,108631.15016889955,2686.8209074368115,0.0012851568335023442,124247.99165210803,2943.719975323914,0.0008662918066588185,10979.992206366456,382.0050096430606,0.014651921736406226
6.656904424691204e-11,4.1591758537463035e-07,False,False,4689.894170420742,1.2289685525536674e-08,True,0.4,1200000,13417,1.4819914622524251e-08,106624.9642634523,2602.620949748297,0.0015552395515651928,120647.79904801495,2856.357964979352,0.000951653332133981,13751.860749973053,436.7897008306263,0.009580281913326692
5.93941082100446e-11,3.268416223622319e-07,False,False,3903.7421972311313,9.960367403098234e-09,True,0.42,1200000,13561,1.2580937910151426e-08,113182.27071593807,2707.650917459398,0.0012325631044068734,122542.32737149413,2920.126338452568,0.0008960821989448294,14662.88505599456,436.01798647395157,0.007945421102235277
5.431110781610041e-11,2.6973240411805697e-07,False,False,3182.443466138642,8.147421377384476e-09,True,0.44,1200000,13569,1.1020070969374117e-08,110490.42863151076,2671.0408043385164,0.0011562282536431183,122368.02450851108,2916.41373165269,0.000915696585578645,15618.968916406679,452.95782033347433,0.008801029943091395
5.023766958083259e-11,2.1679628000795852e-07,False,False,2751.4069711985117,6.985300695247758e-09,True,0.46,1200000,13499,9.68469345807143e-09,111867.9710113015,2736.3657164776,0.0013660671154858983,124088.6692038361,2967.0014829177126,0.0009528051241854405,16380.022023715102,441.73161815814944,0.010822132364771374
4.6068158385551907e-11,1.8254519460151578e-07,False,False,2326.9354440647576,5.753718525274363e-09,True,0.48,1200000,13512,8.618950423097826e-09,116458.92226937125,2796.904748454761,0.001225782613520813,126303.9080978662,3001.5882145503047,0.000919100760628839,17448.574921680614,448.2249182278287,0.010125072434055964
4.2667538173068395e-11,1.5185359748423995e-07,False,False,1983.7642055519302,4.8692789043107864e-09,True,0.5,1200000,13562,7.69559291381812e-09,116701.70584975147,2839.756595809829,0.0012287082879038607,124851.01663695695,2942.7331468873253,0.000902996342549766,19337.027147725075,468.0397857648884,0.009918935885569382
3.9990445115907495e-11,1.2508736336551593e-07,False,False,1677.1061471320097,4.143076466316646e-09,True,0.525,1200000,13478,6.816179340109921e-09,113163.01723989307,2769.9241739353643,0.0012706478124571512,122977.78177337232,2862.4363226690657,0.0009116942440930819,18023.19008709702,431.5129046141275,0.010050753296445815
3.6945526000328825e-11,1.0524966142015769e-07,False,False,1461.8534036614485,3.4630393292677774e-09,True,0.55,1200000,13322,6.1180659249252896e-09,118278.28981494671,2869.6586378238503,0.0011696488475065726,127644.69368514819,2921.474418726558,0.0009315706256453069,18777.76734714829,432.7542247445445,0.009587503989734996
3.4443550914371905e-11,8.83238143967447e-08,False,False,1226.5160947999414,3.0650718774607257e-09,True,0.575,1200000,13268,5.5128757724463975e-09,115517.54772370802,2807.8661381908782,0.0011169075497852565,122048.50496899917,2815.89297131196,0.0010064685520835095,19871.523902361914,445.30604434108466,0.010331177228881043
3.302445885560474e-11,7.311883065494328e-08,False,False,1085.8988051464878,2.6817108435439034e-09,True,0.6,1200000,13317,4.973791164391469e-09,113477.77381081655,2783.2080783482015,0.0012466554218200476,123427.47398640001,2820.771554180403,0.0008977656751049857,19807.230441251788,440.2172475429873,0.011967566907970979
2.993579836719769e-11,6.16967911439383e-08,False,False,932.9836496982913,2.2710500593290682e-09,True,0.625,1200000,13376,4.461349319919934e-09,118184.15667635978,2877.410495310065,0.0011403970930935106,126947.70325881212,2860.6392048169964,0.0009618390675315026,22995.065894732747,499.8323559782737,0.009014601681250255
2.8850070584058237e-11,5.13690353775549e-08,False,False,810.6334153904054,2.0231788524170876e-09,True,0.65,1200000,13127,4.056309939347524e-09,118313.5378939143,2857.2924348489573,0.0010566732044999302,123026.87477734497,2743.3171922206084,0.0008947530224664076,21710.57015875165,466.55791789897654,0.009126637438712165
2.6944805491975577e-11,4.444853341935341e-08,False,False,734.0487551190498,1.7680926261888189e-09,True,0.675,1200000,13381,3.6939208628058853e-09,121413.88253822272,2944.729867036652,0.0010069675319523642,129295.0014191425,2844.516682992697,0.0010123228288883368,21368.89899792048,445.6247632575515,0.010762537579319654
2.509140697400504e-11,3.741803139760939e-08,False,False,654.5989528767522,1.5368806184399308e-09,True,0.7,1200000,13015,3.3302607792113583e-09,124816.08489198072,2999.5583663992998,0.001192144287734426,130032.90475169546,2866.247329769668,0.000897933833364939,22433.013724535285,482.01863253720074,0.010249667554460712
2.393011681876967e-11,3.078833626948509e-08,False,False,538.9650116784416,1.3518903672927687e-09,True,0.725,1200000,13118,2.9840906308627993e-09,121444.2230340354,2905.8932144396704,0.000990623588899084,125178.98132520453,2739.3020968505853,0.0008705237105265435,22291.723226180544,489.42861271965864,0.0087897471193442
2.2511105640798593e-11,2.5647595306447407e-08,False,False,474.34752217926405,1.1643867998062304e-09,True,0.75,1200000,13142,2.6626605142923303e-09,123458.70325505103,2979.855465725236,0.0009732567907662236,127444.0227119451,2775.6970923917684,0.0009543240313501904,25597.423260308806,564.822519613093,0.00826204727802549
2.0685502895808166e-11,2.0506044902719136e-08,False,False,411.76412331532214,9.917195001530183e-10,True,0.775,1200000,13278,2.336647513441337e-09,126773.601991182,3050.2089938334348,0.0009995014063155076,129495.44296399507,2790.658390642163,0.0008890627540591602,23196.290713842256,504.32390049684767,0.008078101289164374
1.9164038531976702e-11,1.6496727296850367e-08,False,False,352.9105831377201,8.427103712067118e-10,True,0.8,1200000,13243,2.026694919264599e-09,126142.876104268,3048.3730909942096,0.0010617051322555679,130679.66689929445,2806.333129302683,0.0009078121800049753,26282.405539973548,610.3871653828592,0.007516683560620745
1.7999659193504855e-11,1.2894637785557264e-08,False,False,266.33812675357393,6.808958980314833e-10,True,0.825,1200000,13123,1.717255937881695e-09,126057.4093095123,3034.3633838308083,0.0009256119694574827,124147.09007483217,2688.4774169237257,0.0008938974771860134,25189.408745707504,589.2884889871821,0.00806977830533182
1.606597488186407e-11,9.526488035652982e-09,False,False,223.33860636817707,5.598308010611359e-10,True,0.85,1200000,13126,1.4226943281402625e-09,126907.30180877013,3077.3052687876266,0.0010293344706843682,128025.04608008433,2760.696419332819,0.000911905105493184,23606.299736277248,570.5702148161785,0.008557678975961876
1.429750220910762e-11,6.736715314145291e-09,False,False,176.0745999259588,4.2797828587621946e-10,True,0.875,1200000,13184,1.1434481587310963e-09,133142.5852876945,3163.4945465525725,0.0008450581764041764,129932.40031573261,2784.6274483631732,0.000858181940995916,23041.918292883573,588.6572564181724,0.009065281177395782
1.260830513486964e-11,4.631258520132564e-09,False,False,126.25126093093627,3.1757683702100584e-10,True,0.9,1200000,13262,8.649892315834952e-10,130308.23347352482,3160.372180961827,0.000809212236994077,129065.60711869586,2799.243601427922,0.0009116674983919369,22241.875298487117,571.5611439933331,0.008925276597518468
1.1028180237861348e-11,2.6790788340589577e-09,False,False,87.42403616932909,2.2698673268118611e-10,True,0.925,1200000,12901,6.147304095543956e-10,129981.08636820952,3108.412840456125,0.0009061655708762595,123107.4231715487,2654.611243150644,0.000981138479082357,23345.09122252956,618.2989792874953,0.008308425085535632
9.008640095177773e-12,1.435350489698756e-09,False,False,55.019664087235896,1.425752770961087e-10,True,0.95,1200000,13114,4.0088031141169306e-10,135364.3354841407,3236.90008794843,0.0008005046608349322,124500.09555396365,2686.452122906445,0.0009503553701312431,21986.525188503092,593.5667973760377,0.007614939183405656
7.398794149799898e-12,6.856886640670464e-10,False,False,32.26317193978845,8.581287192076715e-11,True,0.975,1200000,13072,2.468073903055674e-10,137124.29500143635,3226.720166064471,0.0008273606592512352,123099.325483279,2655.911016318548,0.0009026501994938049,24892.81399295938,667.2918044088893,0.007094801777650066
9.440179739088214e-12,1.2193856457151617e-09,False,False,45.589712613895536,1.329779291488121e-10,True,1.0,1200000,13079,3.901350355141164e-10,122449.8227051638,3254.2620796631895,0.0007964919811580735,113410.44127846914,2696.088763578062,0.0009466685500894677,18492.041555553486,560.2045707168644,0.008596689177192357
1.3471408649851869e-11,3.0250983426566426e-09,False,False,81.0154313591738,2.651200124841679e-10,True,1.05,1200000,13016,7.910310565701441e-10,106323.68598114046,3123.0492923346287,0.0008584160133631544,103381.02613281684,2642.4534393203567,0.0010288952183543335,19114.277673747332,566.1274925913798,0.008753684895056851
1.611227716857188e-11,5.108182973260457e-09,False,False,115.30372337712548,3.704111111957628e-10,True,1.1,1200000,12993,1.2011279659701794e-09,103380.71895657797,3206.979659585434,0.0008369617907315856,104890.56269174171,2740.6132570911827,0.0009944980722343046,18790.7923069777,551.4932905327635,0.008047590751624967
1.8224107315681072e-11,6.592740120582831e-09,False,False,135.4602846069249,4.6097001362117897e-10,True,1.15,1200000,13023,1.502417092551037e-09,97099.49058546795,3190.3555993190225,0.0008100865383705756,100274.52410058366,2639.424455519987,0.0009762040539702733,22866.174664593793,645.6457133529489,0.007328070131326594
1.902393377688846e-11,7.2067159064909574e-09,False,False,144.00497553550764,4.984756074443928e-10,True,1.2,1200000,12853,1.6719329950505755e-09,97246.99187925941,3217.632648802101,0.0007570093441853696,99583.93550242431,2559.589176741478,0.0010292796669712594,19315.436617702908,534.3574687575957,0.010553910908830653
1.9138036860555513e-11,6.796952987269591e-09,False,False,139.05056694584107,4.867203211318089e-10,True,1.25,1200000,12813,1.6978015006742113e-09,97879.58472045124,3217.748325579249,0.0007864763719460907,99949.26271459628,2570.2726827866204,0.001201830194556313,21300.3823234733,600.1514793614793,0.007941850339608906
1.8449008816764703e-11,5.749776882151784e-09,False,False,119.28747893860006,4.312679780568409e-10,True,1.3,1200000,12832,1.5636497835605536e-09,95440.83669314148,3205.49377230804,0.0008748320152537791,98712.0705320016,2527.377764794763,0.0010733695224223396,20712.24046412771,600.2981336552514,0.008561874336967654
1.8426124310224298e-11,5.334397354001552e-09,False,False,113.61345752021745,4.2501903403089374e-10,True,1.35,1200000,12653,1.5306399652474634e-09,96845.77906811381,3159.3168470970063,0.0007975394817841691,97464.72242325358,2458.0975515671976,0.0011837237768313955,22742.741940374704,660.9074024217553,0.008535836131908732
1.8105540873860108e-11,5.327658181225537e-09,False,False,117.81847453324426,4.1900545593934093e-10,True,1.4,1200000,12847,1.5696635437956067e-09,99902.82987751497,3265.1551293987745,0.0008465564212764857,101341.40355054254,2492.394907193722,0.0011180617020479062,19643.67323734637,560.1575387709521,0.009548859278643889
1.8478934935710165e-11,5.300533838263969e-09,False,False,114.73760007219103,4.2349602199743644e-10,True,1.45,1200000,12603,1.6368933087405017e-09,97928.98948013793,3193.626328205918,0.0008189937143932872,100272.41414668827,2441.2125632721077,0.0010264270028195609,20246.600179495264,579.969766859908,0.010751052876962852
1.884372035178783e-11,5.318626386885047e-09,False,False,113.66518850962623,4.2905916827799286e-10,True,1.5,1200000,12563,1.7080443989885835e-09,98289.1492981284,3138.425231917776,0.0008096142597645216,101604.50007847349,2445.376825209012,0.0011122915466132376,21458.915850367055,596.0358447556237,0.009883306586443298
1.8676026315184442e-11,5.339636445899545e-09,False,False,115.68076076061466,4.259128173323154e-10,True,1.55,1200000,12619,1.7279865740484328e-09,100342.8268235713,3134.0599467887396,0.0008280063234974366,103428.67042593553,2408.061743375506,0.001141496581762169,20182.153864003394,556.8947567742586,0.00846732243445054
1.8312288526291948e-11,5.038300651794128e-09,False,False,116.55418682154156,4.174686876840267e-10,True,1.6,1200000,12500,1.7296779160508923e-09,103214.34149493024,3176.207246883408,0.0007608822924340189,105915.65302092653,2391.8884949436033,0.0010733812961012388,21972.091814996624,586.2832190678006,0.009786785760052544
1.8418513290867878e-11,5.009384857908161e-09,False,False,117.59591608308396,4.204366471891289e-10,True,1.65,1200000,12451,1.7788800609065643e-09,106407.6274293718,3175.030961478056,0.0007646296260830687,110179.9132643561,2422.310673066813,0.0011166129615219798,22406.52691936484,570.5428733540723,0.010229954019202415
1.8290768429380538e-11,5.263259928802066e-09,False,False,122.12610346342524,4.251985064700659e-10,True,1.7,1200000,12558,1.894282380668613e-09,109410.95804841931,3185.7961411703964,0.0007283629668059729,114260.27023731572,2422.384481032551,0.0011077715387936662,22354.38444043631,569.6395197174896,0.008813292745161011
1.8853038180362093e-11,5.681249139343374e-09,False,False,128.0080463030561,4.527318990003218e-10,True,1.75,1200000,12481,2.0052231299028877e-09,109232.40441222634,3110.453641001229,0.000836834372117583,116125.81334375746,2366.988841525362,0.0010794179472827167,22744.372836050374,559.227506258222,0.01119573364232369
1.8773983271008882e-11,5.654600372062682e-09,False,False,134.31949352780396,4.6017016686550987e-10,True,1.8,1200000,12448,2.0770945767068617e-09,114998.410407852,3166.7579039760253,0.0007966955726044784,121286.29981475245,2404.5333280510804,0.0010774710197314543,22229.176731339405,521.4357140969179,0.010496117706301631
1.9139996744244595e-11,5.7116022584853965e-09,False,False,131.96622325462582,4.6155309746695374e-10,True,1.85,1200000,12299,2.1163001874514185e-09,112920.66638972676,3058.610060405689,0.0008135938468427214,120698.97108797515,2326.789075067022,0.0011501981118064754,24994.342951469076,571.9455557906771,0.008710003182575693
1.8807756861428786e-11,5.460910329848974e-09,False,False,132.34066493766656,4.595255565842272e-10,True,1.9,1200000,12476,2.1369285818734246e-09,117210.98935505278,3104.6787506629275,0.0008557817238489988,124685.73433759651,2337.2563815389162,0.0010438531491036025,27260.99365307581,594.6423793281742,0.008038092038418779
1.878084587308201e-11,5.470376905088121e-09,False,False,129.27869394771102,4.393583814518283e-10,True,1.95,1200000,12371,2.140502657300306e-09,121656.53746000618,3111.7152295127003,0.000833906832471894,129168.63566293388,2372.953777260349,0.0011222999895322433,27355.400997082703,586.4998759158544,0.007180545438161728
1.6282976425041937e-11,5.6817205966748434e-09,False,False,161.2054028667996,4.331698726598774e-10,True,2.0,1200000,12298,2.131844168673663e-09,156552.11940638383,3127.0230306302387,0.0007233636713409117,168868.36857003978,2361.9207587026435,0.0010934900271129405,31639.125523639726,525.5292022386533,0.009954455215500476
1.5999595396531288e-11,4.7100502810774485e-09,False,False,134.1566117760481,3.8738764070998383e-10,True,2.1,1200000,12289,1.9226767372183415e-09,152224.64441542575,3069.1111205724583,0.0008338689497041146,163943.08005435579,2297.1986850112703,0.0010543918162372933,38912.65455006806,631.4434833540265,0.007045420887044165
