axis,config_sha256,ctau_sin2th1_m,grid_sha256,has_sensitivity,mass_GeV,n_decay_samples_per_hit,n_events,n_hits,n_parent_pool,parent_pool_seed,peak_N,peak_u2,peak_u2_event_ess,peak_u2_max_event_fraction,peak_u2_sample_ess,production_seed,reconstruction_seed,u2_max,u2_max_event_ess,u2_max_max_event_fraction,u2_max_open,u2_max_sample_ess,u2_min,u2_min_event_ess,u2_min_max_event_fraction,u2_min_open,u2_min_sample_ess,variation,vector_sha256,width_scheme
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,0.008225047541947797,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.14,100,400000,4185,100000,3937877021,9242254564.050198,0.01,1887.2031076414396,0.0012021636355076372,102543.90391974003,3479263472,1956330072,,,,True,,6.500512018692593e-08,1269.6399006806835,0.0038300776717109467,False,65094.74416341678,central,5f0bcd229bf02d078e8915476ec90741e227585cd6f5e8024df3acd287736b2c,winkler
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,0.007196781762132392,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.16,100,400000,4102,100000,3937877021,8633857926.260078,0.01,1767.720551984506,0.0012600002064452193,98545.60825904645,4241090602,3834327572,,,,True,,5.469310734543971e-08,1324.2801327281043,0.003703740460066347,False,71218.17555126501,central,7f378a848f0ca6e6578bc9ac4f50322fad1bd255316a6d2d21b79bf9d7ec7768,winkler
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,0.006397057173966759,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.18,100,400000,4222,100000,3937877021,7266465885.345849,0.01,1563.414914971753,0.0015485944601174753,87583.62519788051,924662574,2121503315,,,,True,,4.8219313330024174e-08,1371.141918651529,0.0034485650939026138,False,76472.74835660287,central,9dd96e08e367492be4407e47fc90f90e9f0075d8f5b987c979e1410dd1e0ef7c,winkler
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,0.005757298559298276,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.2,100,400000,4069,100000,3937877021,5935992922.818283,0.01,1308.794411575534,0.0019201668206211531,73336.61746612284,2071667520,993988405,,,,True,,4.3324988496570334e-08,1240.3920530304647,0.004103159502519871,False,67699.4778560868,central,38563826a6c44bcfe5d94576858a774c041b538fee76ada8b3a0b50d54a8317c,winkler
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,5.6809339325299995e-06,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.22,100,400000,4166,100000,3937877021,4997727.626672696,7.146434936646835e-06,1606.3563197810145,0.0014749963810180597,86750.54074447272,2526105390,2727969590,0.00038095928211279037,3.190684452894093,0.5024784143869341,False,11.205135941175914,1.2883291519568556e-09,1318.0957920014325,0.004263651809263324,False,74945.8956981788,central,b9d393aeffc8b578ded7b6df6e82946c6985f765fb3bd321910a5701873bd3db,winkler
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,1.0529951087175584e-06,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.24,100,400000,4195,100000,3937877021,1018833.1515606259,1.4581725661271573e-06,1413.1026866673178,0.0016353793407786258,87619.71578178216,1966637285,1424799511,7.600968971453785e-05,2.7332665045701283,0.5700035709221021,False,37.92144048418021,5.344440950601958e-10,1354.2294510464887,0.00338461340990671,False,72949.46808993885,central,2a465610f2283d5de1b3cc647cbab03986f781cb0d1dc77bba54784b7dcd802a,winkler
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,5.237458334525011e-07,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.26,100,400000,4286,100000,3937877021,487369.8227854657,7.298260991897516e-07,1338.3771180480348,0.001926701228758229,83943.70209512358,373126792,226977839,3.3099678390601936e-05,3.5700135549160756,0.3916153756026777,False,71.54275566452685,3.4955192824731617e-10,1420.8123170356387,0.0027086067219815073,False,80694.92416113181,central,cf8bbe931739451984cf7a66ede4d4f1224e8ab0da098c08cf7f69208b26b58c,winkler
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,1.7804403740306598e-07,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.28,100,400000,4229,100000,3937877021,94156.9137241377,1.964733132453046e-07,1562.39229352129,0.001620574679256365,60213.668750128934,162269439,2576276920,8.426531105105155e-06,2.962731700893296,0.5314264856962742,False,42.715696141155355,2.2740103173502023e-10,1246.2761736328848,0.0033325100561839467,False,57547.30353900338,central,b40dbada0b40ae3138ab4bc7583f4f92d8128666f2ab8261a9cfd81088a4ad54,winkler
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,5.2109744147949755e-08,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.3,100,400000,4117,100000,3937877021,28537.351260515108,5.8064769181775726e-08,1395.4753709652834,0.0019788832997258646,61954.87443991136,2452327949,3322526013,1.8546102491077888e-06,4.770195284988031,0.38674893195783683,False,76.6386608929778,1.2400662874630519e-10,1359.7481205628783,0.002919686610080677,False,55367.25476355447,central,828310f708d6a8b2aab3954849afd240e54223417029214bb1670d739e09dc95,winkler
central,bbadad5abaf10b417f726f427d744adf17870ad73036e8ce7fba8c9fa3c02251,3.4828899713116116e-08,56ff19a422cb96f2770c4a35774d64b787605949c344dc76006d2eb16f8a7b1f,True,0.32,100,400000,4107,100000,3937877021,17803.10967324269,3.8530218346382806e-08,1326.3877531016092,0.0019695617175680955,59035.92513911818,3002072546,3911187360,1.1245625108208452e-06,6.364086900598539,0.32099011360554847,False,189.07928641284124,1.0092493835853408e-10,1441.981225086051,0.002579587559985067,False,57830.05615596221,central,fee577b3c3f3890b1cea76e984e0b84e7822dd58290ab51f421b389fd219b872,winkler
