curve,m_phi_GeV,gamma_GeV
4pi_etaeta_rhorho_extra,6.1529156092e-01,5.0125134253e-10
4pi_etaeta_rhorho_extra,6.1786323915e-01,5.1753756465e-10
4pi_etaeta_rhorho_extra,6.2213866565e-01,5.4423902956e-10
4pi_etaeta_rhorho_extra,6.2633918789e-01,5.7061268386e-10
4pi_etaeta_rhorho_extra,6.3095392049e-01,5.9941327313e-10
4pi_etaeta_rhorho_extra,6.3528460241e-01,6.2658796449e-10
4pi_etaeta_rhorho_extra,6.4000084044e-01,6.5653227035e-10
4pi_etaeta_rhorho_extra,6.4468036936e-01,6.8629647915e-10
4pi_etaeta_rhorho_extra,6.4906918014e-01,7.1435806970e-10
4pi_etaeta_rhorho_extra,6.5385138244e-01,7.4531262025e-10
4pi_etaeta_rhorho_extra,6.5833923517e-01,7.7479568753e-10
4pi_etaeta_rhorho_extra,6.6278416503e-01,8.0390131923e-10
4pi_etaeta_rhorho_extra,6.6766741639e-01,8.3623668736e-10
4pi_etaeta_rhorho_extra,6.7221270724e-01,8.6672613478e-10
4pi_etaeta_rhorho_extra,6.7720309284e-01,9.0062805819e-10
4pi_etaeta_rhorho_extra,6.8211670303e-01,9.3426149469e-10
4pi_etaeta_rhorho_extra,6.8676037032e-01,9.6646899994e-10
4pi_etaeta_rhorho_extra,6.9182027321e-01,1.0017067576e-09
4pi_etaeta_rhorho_extra,6.9656872386e-01,1.0355770021e-09
4pi_etaeta_rhorho_extra,7.0173992412e-01,1.0726482786e-09
4pi_etaeta_rhorho_extra,7.0687087405e-01,1.1100996899e-09
4pi_etaeta_rhorho_extra,7.1168306108e-01,1.1454353396e-09
4pi_etaeta_rhorho_extra,7.1696645724e-01,1.1846702626e-09
4pi_etaeta_rhorho_extra,7.2188751417e-01,1.2221190513e-09
4pi_etaeta_rhorho_extra,7.2680193045e-01,1.2594085764e-09
4pi_etaeta_rhorho_extra,7.3211612761e-01,1.3008826292e-09
4pi_etaeta_rhorho_extra,7.3714116763e-01,1.3400040400e-09
4pi_etaeta_rhorho_extra,7.4261355981e-01,1.3835422089e-09
4pi_etaeta_rhorho_extra,7.4800178205e-01,1.4272775684e-09
4pi_etaeta_rhorho_extra,7.5309396653e-01,1.4689470172e-09
4pi_etaeta_rhorho_extra,7.5864260111e-01,1.5150590701e-09
4pi_etaeta_rhorho_extra,7.6389218904e-01,1.5589588935e-09
4pi_etaeta_rhorho_extra,7.6900701970e-01,1.6027636489e-09
4pi_etaeta_rhorho_extra,7.7467289824e-01,1.6513154592e-09
4pi_etaeta_rhorho_extra,7.7994666324e-01,1.6977152236e-09
4pi_etaeta_rhorho_extra,7.8573683506e-01,1.7491433599e-09
4pi_etaeta_rhorho_extra,7.9117390727e-01,1.7979086944e-09
4pi_etaeta_rhorho_extra,7.9651570119e-01,1.8468522417e-09
4pi_etaeta_rhorho_extra,8.0238425778e-01,1.9011763878e-09
4pi_etaeta_rhorho_extra,8.0789159857e-01,1.9529311385e-09
4pi_etaeta_rhorho_extra,8.1388922813e-01,2.0103755372e-09
4pi_etaeta_rhorho_extra,8.1984019790e-01,2.0677457003e-09
4pi_etaeta_rhorho_extra,8.2542144974e-01,2.1226769914e-09
4pi_etaeta_rhorho_extra,8.3150296584e-01,2.1832520246e-09
4pi_etaeta_rhorho_extra,8.3725673839e-01,2.2412518321e-09
4pi_etaeta_rhorho_extra,8.4290967122e-01,2.2993215587e-09
4pi_etaeta_rhorho_extra,8.4907281966e-01,2.3634256152e-09
4pi_etaeta_rhorho_extra,8.5490061765e-01,2.4246608041e-09
4pi_etaeta_rhorho_extra,8.6124723301e-01,2.4922593988e-09
4pi_etaeta_rhorho_extra,8.6749623215e-01,2.5606505023e-09
4pi_etaeta_rhorho_extra,8.7340191347e-01,2.6253162580e-09
4pi_etaeta_rhorho_extra,8.7983693864e-01,2.6973587761e-09
4pi_etaeta_rhorho_extra,8.8587589292e-01,2.7660665869e-09
4pi_etaeta_rhorho_extra,8.9245246267e-01,2.8419714999e-09
4pi_etaeta_rhorho_extra,8.9897786863e-01,2.9180924720e-09
4pi_etaeta_rhorho_extra,9.0514820090e-01,2.9911474746e-09
4pi_etaeta_rhorho_extra,9.1181713842e-01,3.0712640604e-09
4pi_etaeta_rhorho_extra,9.1812664996e-01,3.1481537429e-09
4pi_etaeta_rhorho_extra,9.2432559473e-01,3.2255926630e-09
4pi_etaeta_rhorho_extra,9.3113582717e-01,3.3105771668e-09
4pi_etaeta_rhorho_extra,9.3752688266e-01,3.3920115961e-09
4pi_etaeta_rhorho_extra,9.4448689928e-01,3.4821230524e-09
4pi_etaeta_rhorho_extra,9.5133986506e-01,3.5731046619e-09
4pi_etaeta_rhorho_extra,9.5781631768e-01,3.6586563431e-09
4pi_etaeta_rhorho_extra,9.6487330257e-01,3.7542504499e-09
4pi_etaeta_rhorho_extra,9.7154994745e-01,3.8457784469e-09
4pi_etaeta_rhorho_extra,9.7810959199e-01,3.9370195583e-09
4pi_etaeta_rhorho_extra,9.8526130307e-01,4.0381649647e-09
4pi_etaeta_rhorho_extra,9.8734561865e-01,4.0675379154e-09
4pi_etaeta_rhorho_extra,9.8745543413e-01,4.0692722700e-09
4pi_etaeta_rhorho_extra,9.9933287938e-01,4.2419834246e-09
4pi_etaeta_rhorho_extra,1.0000000000e+00,4.2510355175e-09
4pi_etaeta_rhorho_extra,1.0062479746e+00,4.3435502266e-09
4pi_etaeta_rhorho_extra,1.0130982261e+00,4.4456530448e-09
4pi_etaeta_rhorho_extra,1.0205625307e+00,4.5598656813e-09
4pi_etaeta_rhorho_extra,1.0275673714e+00,4.6670533762e-09
4pi_etaeta_rhorho_extra,1.0351958458e+00,4.7869539769e-09
4pi_etaeta_rhorho_extra,1.0427649435e+00,4.9067960166e-09
4pi_etaeta_rhorho_extra,1.0498638071e+00,5.0221389216e-09
4pi_etaeta_rhorho_extra,1.0575989782e+00,5.1489662292e-09
4pi_etaeta_rhorho_extra,1.0649172580e+00,5.2700020604e-09
4pi_etaeta_rhorho_extra,1.0721072935e+00,5.3915835570e-09
4pi_etaeta_rhorho_extra,1.0800063498e+00,5.5253847230e-09
4pi_etaeta_rhorho_extra,1.0873587274e+00,5.6540633604e-09
4pi_etaeta_rhorho_extra,1.0954310820e+00,5.7956136006e-09
4pi_etaeta_rhorho_extra,1.0999483721e+00,5.8764743493e-09
